original_index,configuration_index,example_index,scene_type,reference_object,target_object,target_pixel_count,reference_pixel_count,target_count_diff,target_count_ratio,reference_count_diff,reference_count_ratio
0,0,0,Containment,Basket,BeachBall,9132,26717,0,1.0,0,1.0
1,0,1,Containment,Basket,Knight,6502,29950,0,1.0,0,1.0
2,0,2,Containment,Basket,Lego,6428,27180,0,1.0,0,1.0
3,0,3,Containment,Basket,Pineapple,5573,30336,0,1.0,0,1.0
4,0,4,Containment,Basket,PingPong,6437,27502,0,1.0,0,1.0
5,0,5,Containment,Basket,Robot,4425,30360,0,1.0,0,1.0
6,0,6,Containment,Basket,RubberDuck,3502,30442,0,1.0,0,1.0
7,0,7,Containment,Basket,Teddy,9202,28978,0,1.0,0,1.0
8,0,8,Containment,CardboardBoxNoFlaps,BeachBall,5142,44438,0,1.0,0,1.0
9,0,9,Containment,CardboardBoxNoFlaps,Knight,4679,45678,0,1.0,0,1.0
10,0,10,Containment,CardboardBoxNoFlaps,Lego,2059,45669,0,1.0,0,1.0
11,0,11,Containment,CardboardBoxNoFlaps,Pineapple,3710,46107,0,1.0,0,1.0
12,0,12,Containment,CardboardBoxNoFlaps,PingPong,2405,45461,0,1.0,0,1.0
13,0,13,Containment,CardboardBoxNoFlaps,Robot,2896,45888,0,1.0,0,1.0
14,0,14,Containment,CardboardBoxNoFlaps,RubberDuck,1650,46281,0,1.0,0,1.0
15,0,15,Containment,CardboardBoxNoFlaps,Teddy,6984,44886,0,1.0,0,1.0
16,0,16,Containment,ShortBoxNoFlaps,BeachBall,5143,31479,0,1.0,0,1.0
17,0,17,Containment,ShortBoxNoFlaps,Knight,4679,32720,0,1.0,0,1.0
18,0,18,Containment,ShortBoxNoFlaps,Lego,2061,32709,0,1.0,0,1.0
19,0,19,Containment,ShortBoxNoFlaps,Pineapple,3710,33149,0,1.0,0,1.0
20,0,20,Containment,ShortBoxNoFlaps,PingPong,2406,32502,0,1.0,0,1.0
21,0,21,Containment,ShortBoxNoFlaps,Robot,2896,32930,0,1.0,0,1.0
22,0,22,Containment,ShortBoxNoFlaps,RubberDuck,1651,33322,0,1.0,0,1.0
23,0,23,Containment,ShortBoxNoFlaps,Teddy,6984,31928,0,1.0,0,1.0
24,0,24,Containment,WoodenBasket,BeachBall,8507,29331,0,1.0,0,1.0
25,0,25,Containment,WoodenBasket,Knight,6364,32221,0,1.0,0,1.0
26,0,26,Containment,WoodenBasket,Lego,5666,30488,0,1.0,0,1.0
27,0,27,Containment,WoodenBasket,Pineapple,5341,32762,0,1.0,0,1.0
28,0,28,Containment,WoodenBasket,PingPong,5537,30683,0,1.0,0,1.0
29,0,29,Containment,WoodenBasket,Robot,4301,32810,0,1.0,0,1.0
30,0,30,Containment,WoodenBasket,RubberDuck,3424,32789,0,1.0,0,1.0
31,0,31,Containment,WoodenBasket,Teddy,8871,31263,0,1.0,0,1.0
32,0,0,High Containment,Basket,BeachBall,19137,26870,10005,2.095597897503285,153,1.005726690870981
33,0,1,High Containment,Basket,Knight,11434,34616,4932,1.758535835127653,4666,1.1557929883138565
34,0,2,High Containment,Basket,Lego,15611,30396,9183,2.428593652769135,3216,1.1183222958057395
35,0,3,High Containment,Basket,Pineapple,11225,34782,5652,2.014175488964651,4446,1.1465585443037976
36,0,4,High Containment,Basket,PingPong,11474,34533,5037,1.7825073792139194,7031,1.2556541342447822
37,0,5,High Containment,Basket,Robot,8192,37815,3767,1.8512994350282486,7455,1.2455533596837944
38,0,6,High Containment,Basket,RubberDuck,14697,31310,11195,4.196744717304398,868,1.0285132382892057
39,0,7,High Containment,Basket,Teddy,20190,25817,10988,2.1940882416865897,-3161,0.8909172475671199
40,0,8,High Containment,CardboardBoxNoFlaps,BeachBall,11994,47636,6852,2.3325554259043173,3198,1.0719654349880732
