,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
0,mobilenet-saycam(S),different_shapes,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,1,0,34,1024,False,1.2
1,mobilenet-saycam(S),split_text,0.990234375,0.09833747148513794,0.0030730459839105606,above_below,0,0,1,1,0,34,1024,False,1.2
2,mobilenet-saycam(S),random_color,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,1,0,34,1024,False,1.2
3,mobilenet-imagenet,different_shapes,0.8349609375,0.3712157905101776,0.01160049345344305,above_below,0,0,1,1,0,34,1024,False,1.2
4,mobilenet-imagenet,split_text,0.9130859375,0.28170907497406006,0.008803408592939377,above_below,0,0,1,1,0,34,1024,False,1.2
5,mobilenet-imagenet,random_color,0.7666015625,0.42299363017082214,0.013218550942838192,above_below,0,0,1,1,0,34,1024,False,1.2
6,mobilenet-random,different_shapes,0.5166015625,0.49972429871559143,0.015616384334862232,above_below,0,0,1,1,0,34,1024,False,1.2
7,mobilenet-random,split_text,0.501953125,0.4999961853027344,0.01562488079071045,above_below,0,0,1,1,0,34,1024,False,1.2
8,mobilenet-random,random_color,0.478515625,0.49953821301460266,0.015610569156706333,above_below,0,0,1,1,0,34,1024,False,1.2
9,resnext-saycam(S),different_shapes,1.0,0.0,0.0,above_below,0,0,1,1,0,34,1024,False,1.2
10,resnext-saycam(S),split_text,0.9951171875,0.06970632076263428,0.002178322523832321,above_below,0,0,1,1,0,34,1024,False,1.2
11,resnext-saycam(S),random_color,0.9951171875,0.06970632076263428,0.002178322523832321,above_below,0,0,1,1,0,34,1024,False,1.2
12,resnext-imagenet,different_shapes,0.841796875,0.3649313449859619,0.01140410453081131,above_below,0,0,1,1,0,34,1024,False,1.2
13,resnext-imagenet,split_text,0.939453125,0.2384972721338272,0.0074530397541821,above_below,0,0,1,1,0,34,1024,False,1.2
14,resnext-imagenet,random_color,0.8623046875,0.34457990527153015,0.010768122039735317,above_below,0,0,1,1,0,34,1024,False,1.2
15,resnext-random,different_shapes,0.5009765625,0.4999990463256836,0.015624970197677612,above_below,0,0,1,1,0,34,1024,False,1.2
16,resnext-random,split_text,0.4892578125,0.49988460540771484,0.015621393918991089,above_below,0,0,1,1,0,34,1024,False,1.2
17,resnext-random,random_color,0.48046875,0.49961838126182556,0.015613074414432049,above_below,0,0,1,1,0,34,1024,False,1.2
18,resnext-saycam(S)-s,different_shapes,0.9892578125,0.10308633744716644,0.0032214480452239513,above_below,0,0,1,1,0,34,1024,False,1.2
19,resnext-saycam(S)-s,split_text,0.9921875,0.08804240077733994,0.002751325024291873,above_below,0,0,1,1,0,34,1024,False,1.2
20,resnext-saycam(S)-s,random_color,0.9951171875,0.06970632076263428,0.002178322523832321,above_below,0,0,1,1,0,34,1024,False,1.2
21,resnext-saycam(S)-h,different_shapes,0.99609375,0.06237781047821045,0.0019493065774440765,above_below,0,0,1,1,0,34,1024,False,1.2
22,resnext-saycam(S)-h,split_text,0.982421875,0.131412073969841,0.004106627311557531,above_below,0,0,1,1,0,34,1024,False,1.2
23,resnext-saycam(S)-h,random_color,0.9873046875,0.11195597797632217,0.003498624311760068,above_below,0,0,1,1,0,34,1024,False,1.2
24,resnext-saycam(S)-v,different_shapes,0.4189453125,0.4933863878250122,0.015418324619531631,above_below,0,0,1,1,0,34,1024,False,1.2
25,resnext-saycam(S)-v,split_text,0.4384765625,0.49620044231414795,0.015506263822317123,above_below,0,0,1,1,0,34,1024,False,1.2
26,resnext-saycam(S)-v,random_color,0.3603515625,0.48010239005088806,0.015003199689090252,above_below,0,0,1,1,0,34,1024,False,1.2
27,resnext-saycam(S)-hv,different_shapes,0.701171875,0.4577443301677704,0.014304510317742825,above_below,0,0,1,1,0,34,1024,False,1.2
28,resnext-saycam(S)-hv,split_text,0.6328125,0.4820381999015808,0.0150636937469244,above_below,0,0,1,1,0,34,1024,False,1.2
29,resnext-saycam(S)-hv,random_color,0.662109375,0.47299107909202576,0.014780971221625805,above_below,0,0,1,1,0,34,1024,False,1.2
30,resnext-DINO-S,different_shapes,0.98828125,0.10761701315641403,0.0033630316611379385,above_below,0,0,1,1,0,34,1024,False,1.2
31,resnext-DINO-S,split_text,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,0,34,1024,False,1.2
32,resnext-DINO-S,random_color,0.9833984375,0.12777304649353027,0.003992907702922821,above_below,0,0,1,1,0,34,1024,False,1.2
33,resnext-DINO-ImageNet,different_shapes,0.8779296875,0.32736700773239136,0.01023021899163723,above_below,0,0,1,1,0,34,1024,False,1.2
34,resnext-DINO-ImageNet,split_text,0.96484375,0.18417461216449738,0.005755456630140543,above_below,0,0,1,1,0,34,1024,False,1.2
35,resnext-DINO-ImageNet,random_color,0.78515625,0.41071391105651855,0.012834809720516205,above_below,0,0,1,1,0,34,1024,False,1.2
