,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-imagenet,different_shapes,0.8701171875,0.33617445826530457,0.010505451820790768,above_below,0,0,1,1,0,34,1024,0
1,resnext-imagenet,split_text,0.9560546875,0.20497345924377441,0.0064054206013679504,above_below,0,0,1,1,0,34,1024,0
2,resnext-imagenet,random_color,0.8857421875,0.3181241452693939,0.00994137953966856,above_below,0,0,1,1,0,34,1024,0
3,mobilenet-imagenet,different_shapes,0.845703125,0.36123308539390564,0.011288533918559551,above_below,0,0,1,1,0,34,1024,0
4,mobilenet-imagenet,split_text,0.9384765625,0.24028795957565308,0.007508998736739159,above_below,0,0,1,1,0,34,1024,0
5,mobilenet-imagenet,random_color,0.8056640625,0.39568862318992615,0.012365269474685192,above_below,0,0,1,1,0,34,1024,0
6,resnext-imagenet,different_shapes,0.798828125,0.4008762240409851,0.012527382001280785,above_below,0,0,1,1,30,34,1024,0
7,resnext-imagenet,split_text,0.6728515625,0.4691719710826874,0.01466162409633398,above_below,0,0,1,1,30,34,1024,0
8,resnext-imagenet,random_color,0.7333984375,0.4421822726726532,0.013818196021020412,above_below,0,0,1,1,30,34,1024,0
9,mobilenet-imagenet,different_shapes,0.8896484375,0.31332746148109436,0.009791483171284199,above_below,0,0,1,1,30,34,1024,0
10,mobilenet-imagenet,split_text,0.8583984375,0.3486410081386566,0.01089503150433302,above_below,0,0,1,1,30,34,1024,0
11,mobilenet-imagenet,random_color,0.8271484375,0.3781189024448395,0.011816215701401234,above_below,0,0,1,1,30,34,1024,0
12,resnext-imagenet,different_shapes,0.5556640625,0.4968918561935425,0.015527870506048203,above_below,0,0,1,1,45,34,1024,0
13,resnext-imagenet,split_text,0.4091796875,0.4916824996471405,0.01536507811397314,above_below,0,0,1,1,45,34,1024,0
14,resnext-imagenet,random_color,0.560546875,0.49632054567337036,0.015510017052292824,above_below,0,0,1,1,45,34,1024,0
15,mobilenet-imagenet,different_shapes,0.72265625,0.4476875960826874,0.01399023737758398,above_below,0,0,1,1,45,34,1024,0
16,mobilenet-imagenet,split_text,0.7958984375,0.40304356813430786,0.01259511150419712,above_below,0,0,1,1,45,34,1024,0
17,mobilenet-imagenet,random_color,0.7099609375,0.4537801146507263,0.014180628582835197,above_below,0,0,1,1,45,34,1024,0
18,resnext-imagenet,different_shapes,0.3603515625,0.48010239005088806,0.015003199689090252,above_below,0,0,1,1,60,34,1024,0
19,resnext-imagenet,split_text,0.4677734375,0.49896037578582764,0.015592511743307114,above_below,0,0,1,1,60,34,1024,0
20,resnext-imagenet,random_color,0.3603515625,0.48010239005088806,0.015003199689090252,above_below,0,0,1,1,60,34,1024,0
21,mobilenet-imagenet,different_shapes,0.5869140625,0.4923880100250244,0.015387125313282013,above_below,0,0,1,1,60,34,1024,0
22,mobilenet-imagenet,split_text,0.6923828125,0.4615071415901184,0.0144220981746912,above_below,0,0,1,1,60,34,1024,0
23,mobilenet-imagenet,random_color,0.609375,0.48789048194885254,0.015246577560901642,above_below,0,0,1,1,60,34,1024,0
24,resnext-imagenet,different_shapes,0.212890625,0.4093509614467621,0.012792217545211315,above_below,0,0,1,1,90,34,1024,0
25,resnext-imagenet,split_text,0.5751953125,0.4943133294582367,0.015447291545569897,above_below,0,0,1,1,90,34,1024,0
26,resnext-imagenet,random_color,0.3037109375,0.45985934138298035,0.014370604418218136,above_below,0,0,1,1,90,34,1024,0
27,mobilenet-imagenet,different_shapes,0.35546875,0.4786550998687744,0.0149579718708992,above_below,0,0,1,1,90,34,1024,0
28,mobilenet-imagenet,split_text,0.6005859375,0.48977798223495483,0.015305561944842339,above_below,0,0,1,1,90,34,1024,0
29,mobilenet-imagenet,random_color,0.4345703125,0.495700478553772,0.015490639954805374,above_below,0,0,1,1,90,34,1024,0
30,resnext-imagenet,different_shapes,0.2998046875,0.4581722915172577,0.014317884109914303,above_below,0,0,1,1,120,34,1024,0
31,resnext-imagenet,split_text,0.4189453125,0.4933863878250122,0.015418324619531631,above_below,0,0,1,1,120,34,1024,0
32,resnext-imagenet,random_color,0.3955078125,0.48895949125289917,0.015279984101653099,above_below,0,0,1,1,120,34,1024,0
33,mobilenet-imagenet,different_shapes,0.6005859375,0.48977798223495483,0.015305561944842339,above_below,0,0,1,1,120,34,1024,0
34,mobilenet-imagenet,split_text,0.7177734375,0.45008301734924316,0.014065094292163849,above_below,0,0,1,1,120,34,1024,0
