,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
0,mobilenet-saycam(S),different_shapes,0.9990234375,0.0312347374856472,0.000976085546426475,above_below,0,0,1,1,0,34,1024,False,1.3
1,mobilenet-saycam(S),split_text,0.9873046875,0.11195597797632217,0.003498624311760068,above_below,0,0,1,1,0,34,1024,False,1.3
2,mobilenet-saycam(S),random_color,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,0,34,1024,False,1.3
3,mobilenet-imagenet,different_shapes,0.8173828125,0.3863523602485657,0.012073511257767677,above_below,0,0,1,1,0,34,1024,False,1.3
4,mobilenet-imagenet,split_text,0.9091796875,0.28735342621803284,0.008979794569313526,above_below,0,0,1,1,0,34,1024,False,1.3
5,mobilenet-imagenet,random_color,0.7646484375,0.4242183566093445,0.013256823644042015,above_below,0,0,1,1,0,34,1024,False,1.3
6,mobilenet-random,different_shapes,0.51171875,0.4998626410961151,0.015620707534253597,above_below,0,0,1,1,0,34,1024,False,1.3
7,mobilenet-random,split_text,0.501953125,0.4999961853027344,0.01562488079071045,above_below,0,0,1,1,0,34,1024,False,1.3
8,mobilenet-random,random_color,0.50390625,0.4999847412109375,0.015624523162841797,above_below,0,0,1,1,0,34,1024,False,1.3
9,resnext-saycam(S),different_shapes,0.9990234375,0.0312347374856472,0.000976085546426475,above_below,0,0,1,1,0,34,1024,False,1.3
10,resnext-saycam(S),split_text,0.9921875,0.08804240077733994,0.002751325024291873,above_below,0,0,1,1,0,34,1024,False,1.3
11,resnext-saycam(S),random_color,0.9951171875,0.06970632076263428,0.002178322523832321,above_below,0,0,1,1,0,34,1024,False,1.3
12,resnext-imagenet,different_shapes,0.8427734375,0.36401423811912537,0.011375444941222668,above_below,0,0,1,1,0,34,1024,False,1.3
13,resnext-imagenet,split_text,0.9228515625,0.2668268382549286,0.008338338695466518,above_below,0,0,1,1,0,34,1024,False,1.3
14,resnext-imagenet,random_color,0.8359375,0.370332270860672,0.011572883464396,above_below,0,0,1,1,0,34,1024,False,1.3
15,resnext-random,different_shapes,0.5234375,0.4994503855705261,0.015607824549078941,above_below,0,0,1,1,0,34,1024,False,1.3
16,resnext-random,split_text,0.5263671875,0.49930429458618164,0.015603259205818176,above_below,0,0,1,1,0,34,1024,False,1.3
