,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
0,mobilenet-saycam(S),different_shapes,0.896484375,0.30463114380836487,0.009519723244011402,above_below,0,0,1,1,0,34,1024,False,ends
1,mobilenet-saycam(S),split_text,0.6337890625,0.48176807165145874,0.015055252239108086,above_below,0,0,1,1,0,34,1024,False,ends
2,mobilenet-saycam(S),random_color,0.8984375,0.30207210779190063,0.009439753368496895,above_below,0,0,1,1,0,34,1024,False,ends
3,mobilenet-imagenet,different_shapes,0.9267578125,0.2605336308479309,0.008141675963997841,above_below,0,0,1,1,0,34,1024,False,ends
4,mobilenet-imagenet,split_text,0.8427734375,0.36401423811912537,0.011375444941222668,above_below,0,0,1,1,0,34,1024,False,ends
5,mobilenet-imagenet,random_color,0.8291015625,0.37642019987106323,0.011763131245970726,above_below,0,0,1,1,0,34,1024,False,ends
6,mobilenet-random,different_shapes,0.482421875,0.4996909201145172,0.015615341253578663,above_below,0,0,1,1,0,34,1024,False,ends
7,mobilenet-random,split_text,0.501953125,0.4999961853027344,0.01562488079071045,above_below,0,0,1,1,0,34,1024,False,ends
8,mobilenet-random,random_color,0.4853515625,0.4997853636741638,0.01561829261481762,above_below,0,0,1,1,0,34,1024,False,ends
9,resnext-saycam(S),different_shapes,0.9990234375,0.0312347374856472,0.000976085546426475,above_below,0,0,1,1,0,34,1024,False,ends
10,resnext-saycam(S),split_text,0.9580078125,0.20057129859924316,0.006267853081226349,above_below,0,0,1,1,0,34,1024,False,ends
11,resnext-saycam(S),random_color,0.98828125,0.10761701315641403,0.0033630316611379385,above_below,0,0,1,1,0,34,1024,False,ends
12,resnext-imagenet,different_shapes,0.888671875,0.31453803181648254,0.00982931349426508,above_below,0,0,1,1,0,34,1024,False,ends
13,resnext-imagenet,split_text,0.9013671875,0.2981683909893036,0.009317762218415737,above_below,0,0,1,1,0,34,1024,False,ends
14,resnext-imagenet,random_color,0.8837890625,0.320477694272995,0.010014927946031094,above_below,0,0,1,1,0,34,1024,False,ends
15,resnext-random,different_shapes,0.56640625,0.4955706000328064,0.0154865812510252,above_below,0,0,1,1,0,34,1024,False,ends
16,resnext-random,split_text,0.5888671875,0.4920392632484436,0.015376226976513863,above_below,0,0,1,1,0,34,1024,False,ends
17,resnext-random,random_color,0.5966796875,0.4905639886856079,0.015330124646425247,above_below,0,0,1,1,0,34,1024,False,ends
18,mobilenet-saycam(S),different_shapes,0.7490234375,0.4335750639438629,0.013549220748245716,above_below,0,0,1,1,30,34,1024,False,ends
19,mobilenet-saycam(S),split_text,0.7373046875,0.44009825587272644,0.013753070496022701,above_below,0,0,1,1,30,34,1024,False,ends
20,mobilenet-saycam(S),random_color,0.7099609375,0.4537801146507263,0.014180628582835197,above_below,0,0,1,1,30,34,1024,False,ends
21,mobilenet-imagenet,different_shapes,0.6025390625,0.48937278985977173,0.015292899683117867,above_below,0,0,1,1,30,34,1024,False,ends
22,mobilenet-imagenet,split_text,0.541015625,0.49831488728523254,0.015572340227663517,above_below,0,0,1,1,30,34,1024,False,ends
23,mobilenet-imagenet,random_color,0.43359375,0.4955706000328064,0.0154865812510252,above_below,0,0,1,1,30,34,1024,False,ends
24,mobilenet-random,different_shapes,0.48046875,0.49961838126182556,0.015613074414432049,above_below,0,0,1,1,30,34,1024,False,ends
25,mobilenet-random,split_text,0.5205078125,0.4995792508125305,0.015611851587891579,above_below,0,0,1,1,30,34,1024,False,ends
26,mobilenet-random,random_color,0.4970703125,0.49999141693115234,0.01562473177909851,above_below,0,0,1,1,30,34,1024,False,ends
27,resnext-saycam(S),different_shapes,0.865234375,0.3414730727672577,0.010671033523976803,above_below,0,0,1,1,30,34,1024,False,ends
28,resnext-saycam(S),split_text,0.8017578125,0.3986755907535553,0.012458612211048603,above_below,0,0,1,1,30,34,1024,False,ends
29,resnext-saycam(S),random_color,0.830078125,0.3755641579627991,0.011736379936337471,above_below,0,0,1,1,30,34,1024,False,ends
30,resnext-imagenet,different_shapes,0.509765625,0.4999046325683594,0.01562201976776123,above_below,0,0,1,1,30,34,1024,False,ends
31,resnext-imagenet,split_text,0.3544921875,0.4783591628074646,0.014948723837733269,above_below,0,0,1,1,30,34,1024,False,ends
32,resnext-imagenet,random_color,0.466796875,0.4988963305950165,0.015590510331094265,above_below,0,0,1,1,30,34,1024,False,ends
33,resnext-random,different_shapes,0.4306640625,0.49516919255256653,0.015474037267267704,above_below,0,0,1,1,30,34,1024,False,ends
34,resnext-random,split_text,0.4384765625,0.49620044231414795,0.015506263822317123,above_below,0,0,1,1,30,34,1024,False,ends
35,resnext-random,random_color,0.3798828125,0.48535746335983276,0.015167420729994774,above_below,0,0,1,1,30,34,1024,False,ends
36,mobilenet-saycam(S),different_shapes,0.466796875,0.4988963305950165,0.015590510331094265,above_below,0,0,1,1,45,34,1024,False,ends
37,mobilenet-saycam(S),split_text,0.501953125,0.4999961853027344,0.01562488079071045,above_below,0,0,1,1,45,34,1024,False,ends
38,mobilenet-saycam(S),random_color,0.3388671875,0.47332465648651123,0.014791395515203476,above_below,0,0,1,1,45,34,1024,False,ends
39,mobilenet-imagenet,different_shapes,0.15625,0.36309218406677246,0.01134663075208664,above_below,0,0,1,1,45,34,1024,False,ends
40,mobilenet-imagenet,split_text,0.2353515625,0.4242183566093445,0.013256823644042015,above_below,0,0,1,1,45,34,1024,False,ends
41,mobilenet-imagenet,random_color,0.236328125,0.4248260259628296,0.013275813311338425,above_below,0,0,1,1,45,34,1024,False,ends
42,mobilenet-random,different_shapes,0.525390625,0.49935489892959595,0.015604840591549873,above_below,0,0,1,1,45,34,1024,False,ends
43,mobilenet-random,split_text,0.486328125,0.499813050031662,0.015619157813489437,above_below,0,0,1,1,45,34,1024,False,ends
44,mobilenet-random,random_color,0.49609375,0.4999847412109375,0.015624523162841797,above_below,0,0,1,1,45,34,1024,False,ends
45,resnext-saycam(S),different_shapes,0.4765625,0.4994503855705261,0.015607824549078941,above_below,0,0,1,1,45,34,1024,False,ends
46,resnext-saycam(S),split_text,0.607421875,0.48832422494888306,0.015260132029652596,above_below,0,0,1,1,45,34,1024,False,ends
47,resnext-saycam(S),random_color,0.345703125,0.47559696435928345,0.014862405136227608,above_below,0,0,1,1,45,34,1024,False,ends
48,resnext-imagenet,different_shapes,0.12890625,0.335096150636673,0.01047175470739603,above_below,0,0,1,1,45,34,1024,False,ends
49,resnext-imagenet,split_text,0.1298828125,0.33617445826530457,0.010505451820790768,above_below,0,0,1,1,45,34,1024,False,ends
50,resnext-imagenet,random_color,0.2099609375,0.40728041529655457,0.01272751297801733,above_below,0,0,1,1,45,34,1024,False,ends
51,resnext-random,different_shapes,0.380859375,0.485598087310791,0.01517494022846222,above_below,0,0,1,1,45,34,1024,False,ends
52,resnext-random,split_text,0.41015625,0.49186187982559204,0.015370683744549751,above_below,0,0,1,1,45,34,1024,False,ends
53,resnext-random,random_color,0.37890625,0.485114723443985,0.01515983510762453,above_below,0,0,1,1,45,34,1024,False,ends
