,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-saycam(S),different_shapes,0.9990234375,0.0312347374856472,0.000976085546426475,above_below,0,0,1,1,0,34,1024,0
1,resnext-saycam(S),split_text,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,1,0,34,1024,0
2,resnext-saycam(S),random_color,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,1,0,34,1024,0
3,mobilenet-saycam(S),different_shapes,0.9990234375,0.0312347374856472,0.000976085546426475,above_below,0,0,1,1,0,34,1024,0
4,mobilenet-saycam(S),split_text,0.998046875,0.04415099322795868,0.0013797185383737087,above_below,0,0,1,1,0,34,1024,0
5,mobilenet-saycam(S),random_color,0.998046875,0.04415099322795868,0.0013797185383737087,above_below,0,0,1,1,0,34,1024,0
6,resnext-saycam(S),different_shapes,0.978515625,0.144992396235466,0.004531012382358313,above_below,0,0,1,1,30,34,1024,0
7,resnext-saycam(S),split_text,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,30,34,1024,0
8,resnext-saycam(S),random_color,0.9697265625,0.17133872210979462,0.005354335065931082,above_below,0,0,1,1,30,34,1024,0
9,mobilenet-saycam(S),different_shapes,1.0,0.0,0.0,above_below,0,0,1,1,30,34,1024,0
10,mobilenet-saycam(S),split_text,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,1,30,34,1024,0
11,mobilenet-saycam(S),random_color,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,1,30,34,1024,0
12,resnext-saycam(S),different_shapes,0.9267578125,0.2605336308479309,0.008141675963997841,above_below,0,0,1,1,45,34,1024,0
13,resnext-saycam(S),split_text,0.9775390625,0.14817707240581512,0.004630533512681723,above_below,0,0,1,1,45,34,1024,0
14,resnext-saycam(S),random_color,0.927734375,0.25892722606658936,0.008091475814580917,above_below,0,0,1,1,45,34,1024,0
