,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-random,different_shapes,0.62890625,0.48309749364852905,0.015096796676516533,above_below,0,0,1,1,0,34,1024,0
1,resnext-random,split_text,0.5703125,0.495031476020813,0.015469733625650406,above_below,0,0,1,1,0,34,1024,0
2,resnext-random,random_color,0.583984375,0.492896169424057,0.015403005294501781,above_below,0,0,1,1,0,34,1024,0
3,mobilenet-random,different_shapes,0.4931640625,0.4999532699584961,0.015623539686203003,above_below,0,0,1,1,0,34,1024,0
4,mobilenet-random,split_text,0.5048828125,0.49997615814208984,0.015624254941940308,above_below,0,0,1,1,0,34,1024,0
5,mobilenet-random,random_color,0.4873046875,0.49983879923820496,0.015619962476193905,above_below,0,0,1,1,0,34,1024,0
6,resnext-random,different_shapes,0.48046875,0.49961838126182556,0.015613074414432049,above_below,0,0,1,1,30,34,1024,0
7,resnext-random,split_text,0.5029296875,0.49999141693115234,0.01562473177909851,above_below,0,0,1,1,30,34,1024,0
8,resnext-random,random_color,0.478515625,0.49953821301460266,0.015610569156706333,above_below,0,0,1,1,30,34,1024,0
9,mobilenet-random,different_shapes,0.50390625,0.4999847412109375,0.015624523162841797,above_below,0,0,1,1,30,34,1024,0
10,mobilenet-random,split_text,0.5048828125,0.49997615814208984,0.015624254941940308,above_below,0,0,1,1,30,34,1024,0
11,mobilenet-random,random_color,0.4404296875,0.4964386820793152,0.0155137088149786,above_below,0,0,1,1,30,34,1024,0
12,resnext-random,different_shapes,0.5556640625,0.4968918561935425,0.015527870506048203,above_below,0,0,1,1,45,34,1024,0
13,resnext-random,split_text,0.5048828125,0.49997615814208984,0.015624254941940308,above_below,0,0,1,1,45,34,1024,0
14,resnext-random,random_color,0.5205078125,0.4995792508125305,0.015611851587891579,above_below,0,0,1,1,45,34,1024,0
15,mobilenet-random,different_shapes,0.4873046875,0.49983879923820496,0.015619962476193905,above_below,0,0,1,1,45,34,1024,0
16,mobilenet-random,split_text,0.498046875,0.4999961853027344,0.01562488079071045,above_below,0,0,1,1,45,34,1024,0
17,mobilenet-random,random_color,0.47265625,0.49925175309181213,0.01560161728411913,above_below,0,0,1,1,45,34,1024,0
18,resnext-random,different_shapes,0.4658203125,0.4988303780555725,0.015588449314236641,above_below,0,0,1,1,60,34,1024,0
19,resnext-random,split_text,0.5068359375,0.4999532699584961,0.015623539686203003,above_below,0,0,1,1,60,34,1024,0
20,resnext-random,random_color,0.466796875,0.4988963305950165,0.015590510331094265,above_below,0,0,1,1,60,34,1024,0
21,mobilenet-random,different_shapes,0.5078125,0.49993896484375,0.015623092651367188,above_below,0,0,1,1,60,34,1024,0
22,mobilenet-random,split_text,0.5087890625,0.4999227523803711,0.015622586011886597,above_below,0,0,1,1,60,34,1024,0
23,mobilenet-random,random_color,0.4892578125,0.49988460540771484,0.015621393918991089,above_below,0,0,1,1,60,34,1024,0
24,resnext-random,different_shapes,0.591796875,0.4915010929107666,0.015359409153461456,above_below,0,0,1,1,90,34,1024,0
25,resnext-random,split_text,0.576171875,0.49416378140449524,0.015442618168890476,above_below,0,0,1,1,90,34,1024,0
26,resnext-random,random_color,0.5595703125,0.4964386820793152,0.0155137088149786,above_below,0,0,1,1,90,34,1024,0
27,mobilenet-random,different_shapes,0.498046875,0.4999961853027344,0.01562488079071045,above_below,0,0,1,1,90,34,1024,0
28,mobilenet-random,split_text,0.49609375,0.4999847412109375,0.015624523162841797,above_below,0,0,1,1,90,34,1024,0
29,mobilenet-random,random_color,0.4951171875,0.49997615814208984,0.015624254941940308,above_below,0,0,1,1,90,34,1024,0
30,resnext-random,different_shapes,0.4951171875,0.49997615814208984,0.015624254941940308,above_below,0,0,1,1,120,34,1024,0
31,resnext-random,split_text,0.478515625,0.49953821301460266,0.015610569156706333,above_below,0,0,1,1,120,34,1024,0
32,resnext-random,random_color,0.494140625,0.4999656677246094,0.015623927116394043,above_below,0,0,1,1,120,34,1024,0
33,mobilenet-random,different_shapes,0.5234375,0.4994503855705261,0.015607824549078941,above_below,0,0,1,1,120,34,1024,0
34,mobilenet-random,split_text,0.50390625,0.4999847412109375,0.015624523162841797,above_below,0,0,1,1,120,34,1024,0
35,mobilenet-random,random_color,0.5107421875,0.49988460540771484,0.015621393918991089,above_below,0,0,1,1,120,34,1024,0
36,resnext-random,different_shapes,0.5947265625,0.49094489216804504,0.015342027880251408,above_below,0,0,1,1,135,34,1024,0
37,resnext-random,split_text,0.5029296875,0.49999141693115234,0.01562473177909851,above_below,0,0,1,1,135,34,1024,0
38,resnext-random,random_color,0.5322265625,0.49896037578582764,0.015592511743307114,above_below,0,0,1,1,135,34,1024,0
39,mobilenet-random,different_shapes,0.49609375,0.4999847412109375,0.015624523162841797,above_below,0,0,1,1,135,34,1024,0
