,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,mobilenet-saycam(S),different_shapes,1.0,0.0,0.0,above_below,0,0,1,1,0,34,1024,0
1,mobilenet-saycam(S),split_text,0.9931640625,0.08239664882421494,0.0025748952757567167,above_below,0,0,1,1,0,34,1024,0
2,mobilenet-saycam(S),random_color,1.0,0.0,0.0,above_below,0,0,1,1,0,34,1024,0
3,resnext-saycam(S),different_shapes,0.9208984375,0.2698972225189209,0.008434288203716278,above_below,0,0,1,1,0,34,1024,0
4,resnext-saycam(S),split_text,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,0,34,1024,0
5,resnext-saycam(S),random_color,1.0,0.0,0.0,above_below,0,0,1,1,0,34,1024,0
6,mobilenet-saycam(S),different_shapes,0.958984375,0.19832634925842285,0.006197698414325714,above_below,0,0,1,1,30,34,1024,0
7,mobilenet-saycam(S),split_text,0.9814453125,0.13494595885276794,0.004217061214148998,above_below,0,0,1,1,30,34,1024,0
8,mobilenet-saycam(S),random_color,0.958984375,0.19832634925842285,0.006197698414325714,above_below,0,0,1,1,30,34,1024,0
9,resnext-saycam(S),different_shapes,0.853515625,0.3535911440849304,0.011049723252654076,above_below,0,0,1,1,30,34,1024,0
10,resnext-saycam(S),split_text,0.982421875,0.131412073969841,0.004106627311557531,above_below,0,0,1,1,30,34,1024,0
11,resnext-saycam(S),random_color,0.9580078125,0.20057129859924316,0.006267853081226349,above_below,0,0,1,1,30,34,1024,0
12,mobilenet-saycam(S),different_shapes,0.935546875,0.24555838108062744,0.0076736994087696075,above_below,0,0,1,1,45,34,1024,0
13,mobilenet-saycam(S),split_text,0.98046875,0.13838273286819458,0.004324460402131081,above_below,0,0,1,1,45,34,1024,0
14,mobilenet-saycam(S),random_color,0.8955078125,0.305897980928421,0.009559311904013157,above_below,0,0,1,1,45,34,1024,0
15,resnext-saycam(S),different_shapes,0.76953125,0.421132892370224,0.0131604028865695,above_below,0,0,1,1,45,34,1024,0
16,resnext-saycam(S),split_text,0.9599609375,0.19605085253715515,0.0061265891417860985,above_below,0,0,1,1,45,34,1024,0
17,resnext-saycam(S),random_color,0.8935546875,0.3084067106246948,0.009637709707021713,above_below,0,0,1,1,45,34,1024,0
18,mobilenet-saycam(S),different_shapes,0.8681640625,0.3383123278617859,0.010572260245680809,above_below,0,0,1,1,60,34,1024,0
