,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-saycam(S)-s,different_shapes,0.9990234375,0.0312347374856472,0.000976085546426475,above_below,0,0,1,1,0,34,1024,0
1,resnext-saycam(S)-s,split_text,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,0,34,1024,0
2,resnext-saycam(S)-s,random_color,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,1,0,34,1024,0
3,resnext-saycam(S)-s,different_shapes,0.951171875,0.2155085653066635,0.006734642665833235,above_below,0,0,1,1,30,34,1024,0
4,resnext-saycam(S)-s,split_text,0.9599609375,0.19605085253715515,0.0061265891417860985,above_below,0,0,1,1,30,34,1024,0
5,resnext-saycam(S)-s,random_color,0.951171875,0.2155085653066635,0.006734642665833235,above_below,0,0,1,1,30,34,1024,0
6,resnext-saycam(S)-s,different_shapes,0.876953125,0.3284910023212433,0.010265343822538853,above_below,0,0,1,1,45,34,1024,0
7,resnext-saycam(S)-s,split_text,0.9365234375,0.24381814897060394,0.007619317155331373,above_below,0,0,1,1,45,34,1024,0
8,resnext-saycam(S)-s,random_color,0.8662109375,0.3404255509376526,0.010638298466801643,above_below,0,0,1,1,45,34,1024,0
9,resnext-saycam(S)-s,different_shapes,0.810546875,0.39186814427375793,0.012245879508554935,above_below,0,0,1,1,60,34,1024,0
10,resnext-saycam(S)-s,split_text,0.9296875,0.2556729316711426,0.007989779114723206,above_below,0,0,1,1,60,34,1024,0
11,resnext-saycam(S)-s,random_color,0.83203125,0.37383854389190674,0.011682454496622086,above_below,0,0,1,1,60,34,1024,0
12,resnext-saycam(S)-s,different_shapes,0.666015625,0.471634179353714,0.014738568104803562,above_below,0,0,1,1,90,34,1024,0
13,resnext-saycam(S)-s,split_text,0.8037109375,0.3971897065639496,0.012412178330123425,above_below,0,0,1,1,90,34,1024,0
14,resnext-saycam(S)-s,random_color,0.5771484375,0.4940122663974762,0.015437883324921131,above_below,0,0,1,1,90,34,1024,0
15,resnext-saycam(S)-s,different_shapes,0.7958984375,0.40304356813430786,0.01259511150419712,above_below,0,0,1,1,120,34,1024,0
16,resnext-saycam(S)-s,split_text,0.7890625,0.40797409415245056,0.01274919044226408,above_below,0,0,1,1,120,34,1024,0
17,resnext-saycam(S)-s,random_color,0.7470703125,0.4346909821033478,0.013584093190729618,above_below,0,0,1,1,120,34,1024,0
18,resnext-saycam(S)-s,different_shapes,0.91015625,0.28595778346061707,0.008936180733144283,above_below,0,0,1,1,135,34,1024,0
19,resnext-saycam(S)-s,split_text,0.9111328125,0.2845519483089447,0.008892248384654522,above_below,0,0,1,1,135,34,1024,0
20,resnext-saycam(S)-s,random_color,0.92578125,0.26212653517723083,0.008191454224288464,above_below,0,0,1,1,135,34,1024,0
21,resnext-saycam(S)-s,different_shapes,0.958984375,0.19832634925842285,0.006197698414325714,above_below,0,0,1,1,150,34,1024,0
22,resnext-saycam(S)-s,split_text,0.9716796875,0.16588632762432098,0.005183947738260031,above_below,0,0,1,1,150,34,1024,0
23,resnext-saycam(S)-s,random_color,0.9716796875,0.16588632762432098,0.005183947738260031,above_below,0,0,1,1,150,34,1024,0
24,resnext-saycam(S)-s,different_shapes,1.0,0.0,0.0,above_below,0,0,1,4,0,34,1024,0
25,resnext-saycam(S)-s,split_text,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,4,0,34,1024,0
26,resnext-saycam(S)-s,random_color,0.9990234375,0.0312347374856472,0.000976085546426475,above_below,0,0,1,4,0,34,1024,0
27,resnext-saycam(S)-s,different_shapes,0.9853515625,0.12014100700616837,0.0037544064689427614,above_below,0,0,1,4,30,34,1024,0
28,resnext-saycam(S)-s,split_text,0.951171875,0.2155085653066635,0.006734642665833235,above_below,0,0,1,4,30,34,1024,0
