,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,transpose_stimuli,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-saycam(S)-s,different_shapes,0.7763671875,0.4166787564754486,0.013021211139857769,above_below,0,0,1,0,1,,34,1024,5
1,resnext-saycam(S)-s,split_text,0.16015625,0.36675089597702026,0.011460965499281883,above_below,0,0,1,0,1,,34,1024,5
2,resnext-saycam(S)-s,random_color,0.7783203125,0.4153766930103302,0.012980521656572819,above_below,0,0,1,0,1,,34,1024,5
3,resnext-saycam(S)-s,different_shapes,0.5927734375,0.4913177192211151,0.015353678725659847,above_below,0,0,1,0,1,30,34,1024,5
4,resnext-saycam(S)-s,split_text,0.1083984375,0.31088295578956604,0.009715092368423939,above_below,0,0,1,0,1,30,34,1024,5
5,resnext-saycam(S)-s,random_color,0.591796875,0.4915010929107666,0.015359409153461456,above_below,0,0,1,0,1,30,34,1024,5
6,resnext-saycam(S)-s,different_shapes,0.4833984375,0.49972429871559143,0.015616384334862232,above_below,0,0,1,0,1,45,34,1024,5
7,resnext-saycam(S)-s,split_text,0.078125,0.2683681845664978,0.008386505767703056,above_below,0,0,1,0,1,45,34,1024,5
8,resnext-saycam(S)-s,random_color,0.501953125,0.4999961853027344,0.01562488079071045,above_below,0,0,1,0,1,45,34,1024,5
9,resnext-saycam(S)-s,different_shapes,0.4423828125,0.4966691732406616,0.015520911663770676,above_below,0,0,1,0,1,60,34,1024,5
10,resnext-saycam(S)-s,split_text,0.078125,0.2683681845664978,0.008386505767703056,above_below,0,0,1,0,1,60,34,1024,5
11,resnext-saycam(S)-s,random_color,0.4716796875,0.4991973042488098,0.015599915757775307,above_below,0,0,1,0,1,60,34,1024,5
12,resnext-saycam(S)-s,different_shapes,0.810546875,0.39186814427375793,0.012245879508554935,above_below,0,0,1,0,4,,34,1024,5
13,resnext-saycam(S)-s,split_text,0.1396484375,0.34662190079689026,0.01083193439990282,above_below,0,0,1,0,4,,34,1024,5
14,resnext-saycam(S)-s,random_color,0.7978515625,0.4016023576259613,0.01255007367581129,above_below,0,0,1,0,4,,34,1024,5
15,resnext-saycam(S)-s,different_shapes,0.541015625,0.49831488728523254,0.015572340227663517,above_below,0,0,1,0,4,30,34,1024,5
16,resnext-saycam(S)-s,split_text,0.0771484375,0.2668268382549286,0.008338338695466518,above_below,0,0,1,0,4,30,34,1024,5
17,resnext-saycam(S)-s,random_color,0.5556640625,0.4968918561935425,0.015527870506048203,above_below,0,0,1,0,4,30,34,1024,5
18,resnext-saycam(S)-s,different_shapes,0.3857421875,0.4867701232433319,0.015211566351354122,above_below,0,0,1,0,4,45,34,1024,5
19,resnext-saycam(S)-s,split_text,0.05859375,0.2348627746105194,0.0073394617065787315,above_below,0,0,1,0,4,45,34,1024,5
20,resnext-saycam(S)-s,random_color,0.4130859375,0.4923880100250244,0.015387125313282013,above_below,0,0,1,0,4,45,34,1024,5
21,resnext-saycam(S)-s,different_shapes,0.322265625,0.4673440754413605,0.014604502357542515,above_below,0,0,1,0,4,60,34,1024,5
22,resnext-saycam(S)-s,split_text,0.0478515625,0.21345208585262299,0.006670377682894468,above_below,0,0,1,0,4,60,34,1024,5
23,resnext-saycam(S)-s,random_color,0.359375,0.479817271232605,0.014994289726018906,above_below,0,0,1,0,4,60,34,1024,5
24,resnext-saycam(S)-s,different_shapes,0.365234375,0.48149582743644714,0.015046744607388973,above_below,0,0,1,1,1,,34,1024,5
25,resnext-saycam(S)-s,split_text,0.095703125,0.2941836714744568,0.009193239733576775,above_below,0,0,1,1,1,,34,1024,5
26,resnext-saycam(S)-s,random_color,0.3740234375,0.483869731426239,0.01512092910706997,above_below,0,0,1,1,1,,34,1024,5
27,resnext-saycam(S)-s,different_shapes,0.3896484375,0.48767051100730896,0.015239703468978405,above_below,0,0,1,1,1,30,34,1024,5
28,resnext-saycam(S)-s,split_text,0.0732421875,0.2605336308479309,0.008141675963997841,above_below,0,0,1,1,1,30,34,1024,5
29,resnext-saycam(S)-s,random_color,0.4013671875,0.4901750385761261,0.01531796995550394,above_below,0,0,1,1,1,30,34,1024,5
30,resnext-saycam(S)-s,different_shapes,0.49609375,0.4999847412109375,0.015624523162841797,above_below,0,0,1,1,1,45,34,1024,5
31,resnext-saycam(S)-s,split_text,0.0869140625,0.28170907497406006,0.008803408592939377,above_below,0,0,1,1,1,45,34,1024,5
32,resnext-saycam(S)-s,random_color,0.4990234375,0.4999990463256836,0.015624970197677612,above_below,0,0,1,1,1,45,34,1024,5
33,resnext-saycam(S)-s,different_shapes,0.685546875,0.46429771184921265,0.014509303495287895,above_below,0,0,1,1,1,60,34,1024,5
34,resnext-saycam(S)-s,split_text,0.115234375,0.31930458545684814,0.009978268295526505,above_below,0,0,1,1,1,60,34,1024,5
35,resnext-saycam(S)-s,random_color,0.6865234375,0.46390625834465027,0.014497070573270321,above_below,0,0,1,1,1,60,34,1024,5
36,resnext-saycam(S)-s,different_shapes,0.3427734375,0.4746364951133728,0.0148323904722929,above_below,0,0,1,1,4,,34,1024,5
37,resnext-saycam(S)-s,split_text,0.09765625,0.2968493103981018,0.009276540949940681,above_below,0,0,1,1,4,,34,1024,5
38,resnext-saycam(S)-s,random_color,0.33984375,0.47365596890449524,0.014801749028265476,above_below,0,0,1,1,4,,34,1024,5
39,resnext-saycam(S)-s,different_shapes,0.3330078125,0.4712893068790436,0.014727790839970112,above_below,0,0,1,1,4,30,34,1024,5
40,resnext-saycam(S)-s,split_text,0.0576171875,0.23301813006401062,0.007281816564500332,above_below,0,0,1,1,4,30,34,1024,5
41,resnext-saycam(S)-s,random_color,0.34765625,0.47622618079185486,0.014882068149745464,above_below,0,0,1,1,4,30,34,1024,5
42,resnext-saycam(S)-s,different_shapes,0.4287109375,0.4948917627334595,0.015465367585420609,above_below,0,0,1,1,4,45,34,1024,5
43,resnext-saycam(S)-s,split_text,0.0615234375,0.24028795957565308,0.007508998736739159,above_below,0,0,1,1,4,45,34,1024,5
44,resnext-saycam(S)-s,random_color,0.44921875,0.49741458892822266,0.015544205904006958,above_below,0,0,1,1,4,45,34,1024,5
45,resnext-saycam(S)-s,different_shapes,0.6201171875,0.48535746335983276,0.015167420729994774,above_below,0,0,1,1,4,60,34,1024,5
46,resnext-saycam(S)-s,split_text,0.0634765625,0.24381814897060394,0.007619317155331373,above_below,0,0,1,1,4,60,34,1024,5
47,resnext-saycam(S)-s,random_color,0.6376953125,0.48066622018814087,0.015020819380879402,above_below,0,0,1,1,4,60,34,1024,5
48,resnext-saycam(S)-s,different_shapes,0.7421875,0.4374302327632904,0.013669694773852825,above_below,0,0,2,0,1,,34,1024,5
49,resnext-saycam(S)-s,split_text,0.09765625,0.2968493103981018,0.009276540949940681,above_below,0,0,2,0,1,,34,1024,5
50,resnext-saycam(S)-s,random_color,0.759765625,0.4272257387638092,0.013350804336369038,above_below,0,0,2,0,1,,34,1024,5
51,resnext-saycam(S)-s,different_shapes,0.5693359375,0.49516919255256653,0.015474037267267704,above_below,0,0,2,0,1,30,34,1024,5
52,resnext-saycam(S)-s,split_text,0.0927734375,0.2901146709918976,0.0090660834684968,above_below,0,0,2,0,1,30,34,1024,5
53,resnext-saycam(S)-s,random_color,0.576171875,0.49416378140449524,0.015442618168890476,above_below,0,0,2,0,1,30,34,1024,5
54,resnext-saycam(S)-s,different_shapes,0.4892578125,0.49988460540771484,0.015621393918991089,above_below,0,0,2,0,1,45,34,1024,5
55,resnext-saycam(S)-s,split_text,0.0947265625,0.29283687472343445,0.009151152335107327,above_below,0,0,2,0,1,45,34,1024,5
56,resnext-saycam(S)-s,random_color,0.494140625,0.4999656677246094,0.015623927116394043,above_below,0,0,2,0,1,45,34,1024,5
57,resnext-saycam(S)-s,different_shapes,0.4169921875,0.4930615723133087,0.015408174134790897,above_below,0,0,2,0,1,60,34,1024,5
58,resnext-saycam(S)-s,split_text,0.09765625,0.2968493103981018,0.009276540949940681,above_below,0,0,2,0,1,60,34,1024,5
59,resnext-saycam(S)-s,random_color,0.4365234375,0.49595436453819275,0.015498573891818523,above_below,0,0,2,0,1,60,34,1024,5
60,resnext-saycam(S)-s,different_shapes,0.787109375,0.4093509614467621,0.012792217545211315,above_below,0,0,2,0,4,,34,1024,5
61,resnext-saycam(S)-s,split_text,0.1064453125,0.3084067106246948,0.009637709707021713,above_below,0,0,2,0,4,,34,1024,5
62,resnext-saycam(S)-s,random_color,0.7685546875,0.4217562973499298,0.013179884292185307,above_below,0,0,2,0,4,,34,1024,5
63,resnext-saycam(S)-s,different_shapes,0.56640625,0.4955706000328064,0.0154865812510252,above_below,0,0,2,0,4,30,34,1024,5
64,resnext-saycam(S)-s,split_text,0.109375,0.3121091425418854,0.009753410704433918,above_below,0,0,2,0,4,30,34,1024,5
65,resnext-saycam(S)-s,random_color,0.560546875,0.49632054567337036,0.015510017052292824,above_below,0,0,2,0,4,30,34,1024,5
66,resnext-saycam(S)-s,different_shapes,0.4306640625,0.49516919255256653,0.015474037267267704,above_below,0,0,2,0,4,45,34,1024,5
67,resnext-saycam(S)-s,split_text,0.103515625,0.30463114380836487,0.009519723244011402,above_below,0,0,2,0,4,45,34,1024,5
68,resnext-saycam(S)-s,random_color,0.431640625,0.4953049421310425,0.015478279441595078,above_below,0,0,2,0,4,45,34,1024,5
69,resnext-saycam(S)-s,different_shapes,0.3427734375,0.4746364951133728,0.0148323904722929,above_below,0,0,2,0,4,60,34,1024,5
70,resnext-saycam(S)-s,split_text,0.1005859375,0.30077967047691345,0.009399364702403545,above_below,0,0,2,0,4,60,34,1024,5
71,resnext-saycam(S)-s,random_color,0.3916015625,0.488108366727829,0.015253386460244656,above_below,0,0,2,0,4,60,34,1024,5
72,resnext-saycam(S)-s,different_shapes,0.384765625,0.4865398705005646,0.015204370953142643,above_below,0,0,2,1,1,,34,1024,5
73,resnext-saycam(S)-s,split_text,0.09765625,0.2968493103981018,0.009276540949940681,above_below,0,0,2,1,1,,34,1024,5
74,resnext-saycam(S)-s,random_color,0.34765625,0.47622618079185486,0.014882068149745464,above_below,0,0,2,1,1,,34,1024,5
75,resnext-saycam(S)-s,different_shapes,0.3955078125,0.48895949125289917,0.015279984101653099,above_below,0,0,2,1,1,30,34,1024,5
76,resnext-saycam(S)-s,split_text,0.0966796875,0.2955211102962494,0.009235034696757793,above_below,0,0,2,1,1,30,34,1024,5
77,resnext-saycam(S)-s,random_color,0.40625,0.49113228917121887,0.01534788403660059,above_below,0,0,2,1,1,30,34,1024,5
78,resnext-saycam(S)-s,different_shapes,0.5078125,0.49993896484375,0.015623092651367188,above_below,0,0,2,1,1,45,34,1024,5
79,resnext-saycam(S)-s,split_text,0.1005859375,0.30077967047691345,0.009399364702403545,above_below,0,0,2,1,1,45,34,1024,5
80,resnext-saycam(S)-s,random_color,0.515625,0.4997557997703552,0.0156173687428236,above_below,0,0,2,1,1,45,34,1024,5
81,resnext-saycam(S)-s,different_shapes,0.666015625,0.471634179353714,0.014738568104803562,above_below,0,0,2,1,1,60,34,1024,5
82,resnext-saycam(S)-s,split_text,0.0966796875,0.2955211102962494,0.009235034696757793,above_below,0,0,2,1,1,60,34,1024,5
83,resnext-saycam(S)-s,random_color,0.6904296875,0.46231648325920105,0.014447390101850033,above_below,0,0,2,1,1,60,34,1024,5
84,resnext-saycam(S)-s,different_shapes,0.369140625,0.482572078704834,0.015080377459526062,above_below,0,0,2,1,4,,34,1024,5
85,resnext-saycam(S)-s,split_text,0.107421875,0.30964887142181396,0.009676527231931686,above_below,0,0,2,1,4,,34,1024,5
86,resnext-saycam(S)-s,random_color,0.359375,0.479817271232605,0.014994289726018906,above_below,0,0,2,1,4,,34,1024,5
87,resnext-saycam(S)-s,different_shapes,0.37109375,0.48309749364852905,0.015096796676516533,above_below,0,0,2,1,4,30,34,1024,5
88,resnext-saycam(S)-s,split_text,0.1025390625,0.3033559024333954,0.009479871951043606,above_below,0,0,2,1,4,30,34,1024,5
89,resnext-saycam(S)-s,random_color,0.380859375,0.485598087310791,0.01517494022846222,above_below,0,0,2,1,4,30,34,1024,5
90,resnext-saycam(S)-s,different_shapes,0.4365234375,0.49595436453819275,0.015498573891818523,above_below,0,0,2,1,4,45,34,1024,5
91,resnext-saycam(S)-s,split_text,0.103515625,0.30463114380836487,0.009519723244011402,above_below,0,0,2,1,4,45,34,1024,5
92,resnext-saycam(S)-s,random_color,0.4775390625,0.4994952380657196,0.015609226189553738,above_below,0,0,2,1,4,45,34,1024,5
93,resnext-saycam(S)-s,different_shapes,0.6298828125,0.4828358590602875,0.015088620595633984,above_below,0,0,2,1,4,60,34,1024,5
94,resnext-saycam(S)-s,split_text,0.1005859375,0.30077967047691345,0.009399364702403545,above_below,0,0,2,1,4,60,34,1024,5
95,resnext-saycam(S)-s,random_color,0.658203125,0.474311888217926,0.014822246506810188,above_below,0,0,2,1,4,60,34,1024,5
96,resnext-saycam(S)-s,different_shapes,0.7861328125,0.4100341498851776,0.0128135671839118,above_below,1,0,1,0,1,,34,1024,5
97,resnext-saycam(S)-s,split_text,0.1640625,0.370332270860672,0.011572883464396,above_below,1,0,1,0,1,,34,1024,5
98,resnext-saycam(S)-s,random_color,0.7890625,0.40797409415245056,0.01274919044226408,above_below,1,0,1,0,1,,34,1024,5
99,resnext-saycam(S)-s,different_shapes,0.5625,0.49607837200164795,0.015502449125051498,above_below,1,0,1,0,1,30,34,1024,5
100,resnext-saycam(S)-s,split_text,0.099609375,0.2994784712791443,0.009358702227473259,above_below,1,0,1,0,1,30,34,1024,5
101,resnext-saycam(S)-s,random_color,0.5712890625,0.4948917627334595,0.015465367585420609,above_below,1,0,1,0,1,30,34,1024,5
102,resnext-saycam(S)-s,different_shapes,0.4716796875,0.4991973042488098,0.015599915757775307,above_below,1,0,1,0,1,45,34,1024,5
103,resnext-saycam(S)-s,split_text,0.06640625,0.24899087846279144,0.007780964951962233,above_below,1,0,1,0,1,45,34,1024,5
104,resnext-saycam(S)-s,random_color,0.4794921875,0.4995792508125305,0.015611851587891579,above_below,1,0,1,0,1,45,34,1024,5
105,resnext-saycam(S)-s,different_shapes,0.4296875,0.495031476020813,0.015469733625650406,above_below,1,0,1,0,1,60,34,1024,5
106,resnext-saycam(S)-s,split_text,0.0751953125,0.263706237077713,0.008240819908678532,above_below,1,0,1,0,1,60,34,1024,5
107,resnext-saycam(S)-s,random_color,0.4443359375,0.4968918561935425,0.015527870506048203,above_below,1,0,1,0,1,60,34,1024,5
108,resnext-saycam(S)-s,different_shapes,0.8203125,0.38392695784568787,0.011997717432677746,above_below,1,0,1,0,4,,34,1024,5
109,resnext-saycam(S)-s,split_text,0.15234375,0.35935378074645996,0.011229805648326874,above_below,1,0,1,0,4,,34,1024,5
110,resnext-saycam(S)-s,random_color,0.8046875,0.3964410722255707,0.012388783507049084,above_below,1,0,1,0,4,,34,1024,5
111,resnext-saycam(S)-s,different_shapes,0.5458984375,0.49788886308670044,0.015559026971459389,above_below,1,0,1,0,4,30,34,1024,5
112,resnext-saycam(S)-s,split_text,0.0673828125,0.25068381428718567,0.007833869196474552,above_below,1,0,1,0,4,30,34,1024,5
