,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,transpose_stimuli,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,mobilenet-imagenet,different_shapes,0.611328125,0.487448513507843,0.015232766047120094,above_below,0,0,1,0,1,,34,1024,5
1,mobilenet-imagenet,split_text,0.1474609375,0.3545648157596588,0.011080150492489338,above_below,0,0,1,0,1,,34,1024,5
2,mobilenet-imagenet,random_color,0.5576171875,0.4966691732406616,0.015520911663770676,above_below,0,0,1,0,1,,34,1024,5
3,resnext-imagenet,different_shapes,0.734375,0.4416654407978058,0.01380204502493143,above_below,0,0,1,0,1,,34,1024,5
4,resnext-imagenet,split_text,0.1708984375,0.37642019987106323,0.011763131245970726,above_below,0,0,1,0,1,,34,1024,5
5,resnext-imagenet,random_color,0.6826171875,0.4654577970504761,0.014545556157827377,above_below,0,0,1,0,1,,34,1024,5
6,mobilenet-imagenet,different_shapes,0.544921875,0.49797794222831726,0.015561810694634914,above_below,0,0,1,0,1,30,34,1024,5
7,mobilenet-imagenet,split_text,0.1259765625,0.3318229615688324,0.010369467549026012,above_below,0,0,1,0,1,30,34,1024,5
8,mobilenet-imagenet,random_color,0.5146484375,0.4997853636741638,0.01561829261481762,above_below,0,0,1,0,1,30,34,1024,5
9,resnext-imagenet,different_shapes,0.6533203125,0.4759126901626587,0.014872271567583084,above_below,0,0,1,0,1,30,34,1024,5
10,resnext-imagenet,split_text,0.138671875,0.3456037938594818,0.010800118558108807,above_below,0,0,1,0,1,30,34,1024,5
11,resnext-imagenet,random_color,0.66796875,0.4709421396255493,0.014716941863298416,above_below,0,0,1,0,1,30,34,1024,5
12,mobilenet-imagenet,different_shapes,0.572265625,0.49475011229515076,0.015460941009223461,above_below,0,0,1,0,1,45,34,1024,5
13,mobilenet-imagenet,split_text,0.1240234375,0.329608291387558,0.010300259105861187,above_below,0,0,1,0,1,45,34,1024,5
14,mobilenet-imagenet,random_color,0.583984375,0.492896169424057,0.015403005294501781,above_below,0,0,1,0,1,45,34,1024,5
15,resnext-imagenet,different_shapes,0.5986328125,0.4901750385761261,0.01531796995550394,above_below,0,0,1,0,1,45,34,1024,5
16,resnext-imagenet,split_text,0.123046875,0.3284910023212433,0.010265343822538853,above_below,0,0,1,0,1,45,34,1024,5
17,resnext-imagenet,random_color,0.623046875,0.4846230149269104,0.01514446921646595,above_below,0,0,1,0,1,45,34,1024,5
18,mobilenet-imagenet,different_shapes,0.65234375,0.47622618079185486,0.014882068149745464,above_below,0,0,1,0,1,60,34,1024,5
19,mobilenet-imagenet,split_text,0.1240234375,0.329608291387558,0.010300259105861187,above_below,0,0,1,0,1,60,34,1024,5
