,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,transpose_stimuli,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,mobilenet-random,different_shapes,0.5087890625,0.4999227523803711,0.015622586011886597,above_below,0,0,1,0,1,,34,1024,5
1,mobilenet-random,split_text,0.1171875,0.32164356112480164,0.010051361285150051,above_below,0,0,1,0,1,,34,1024,5
2,mobilenet-random,random_color,0.4931640625,0.4999532699584961,0.015623539686203003,above_below,0,0,1,0,1,,34,1024,5
3,resnext-random,different_shapes,0.4697265625,0.49908268451690674,0.015596333891153336,above_below,0,0,1,0,1,,34,1024,5
4,resnext-random,split_text,0.115234375,0.31930458545684814,0.009978268295526505,above_below,0,0,1,0,1,,34,1024,5
5,resnext-random,random_color,0.44140625,0.4965549111366272,0.0155173409730196,above_below,0,0,1,0,1,,34,1024,5
6,mobilenet-random,different_shapes,0.4892578125,0.49988460540771484,0.015621393918991089,above_below,0,0,1,0,1,30,34,1024,5
7,mobilenet-random,split_text,0.1142578125,0.3181241452693939,0.00994137953966856,above_below,0,0,1,0,1,30,34,1024,5
8,mobilenet-random,random_color,0.486328125,0.499813050031662,0.015619157813489437,above_below,0,0,1,0,1,30,34,1024,5
9,resnext-random,different_shapes,0.4560546875,0.4980650544166565,0.015564532950520515,above_below,0,0,1,0,1,30,34,1024,5
10,resnext-random,split_text,0.1162109375,0.320477694272995,0.010014927946031094,above_below,0,0,1,0,1,30,34,1024,5
11,resnext-random,random_color,0.4033203125,0.4905639886856079,0.015330124646425247,above_below,0,0,1,0,1,30,34,1024,5
12,mobilenet-random,different_shapes,0.4560546875,0.4980650544166565,0.015564532950520515,above_below,0,0,1,0,1,45,34,1024,5
13,mobilenet-random,split_text,0.1015625,0.30207210779190063,0.009439753368496895,above_below,0,0,1,0,1,45,34,1024,5
14,mobilenet-random,random_color,0.4775390625,0.4994952380657196,0.015609226189553738,above_below,0,0,1,0,1,45,34,1024,5
15,resnext-random,different_shapes,0.443359375,0.49678146839141846,0.015524420887231827,above_below,0,0,1,0,1,45,34,1024,5
16,resnext-random,split_text,0.111328125,0.31453803181648254,0.00982931349426508,above_below,0,0,1,0,1,45,34,1024,5
17,resnext-random,random_color,0.3896484375,0.48767051100730896,0.015239703468978405,above_below,0,0,1,0,1,45,34,1024,5
18,mobilenet-random,different_shapes,0.4814453125,0.4996556043624878,0.015614237636327744,above_below,0,0,1,0,1,60,34,1024,5
19,mobilenet-random,split_text,0.1162109375,0.320477694272995,0.010014927946031094,above_below,0,0,1,0,1,60,34,1024,5
20,mobilenet-random,random_color,0.490234375,0.4999046325683594,0.01562201976776123,above_below,0,0,1,0,1,60,34,1024,5
21,resnext-random,different_shapes,0.4384765625,0.49620044231414795,0.015506263822317123,above_below,0,0,1,0,1,60,34,1024,5
22,resnext-random,split_text,0.111328125,0.31453803181648254,0.00982931349426508,above_below,0,0,1,0,1,60,34,1024,5
23,resnext-random,random_color,0.40625,0.49113228917121887,0.01534788403660059,above_below,0,0,1,0,1,60,34,1024,5
24,mobilenet-random,different_shapes,0.5205078125,0.4995792508125305,0.015611851587891579,above_below,0,0,1,0,4,,34,1024,5
25,mobilenet-random,split_text,0.099609375,0.2994784712791443,0.009358702227473259,above_below,0,0,1,0,4,,34,1024,5
26,mobilenet-random,random_color,0.51171875,0.4998626410961151,0.015620707534253597,above_below,0,0,1,0,4,,34,1024,5
27,resnext-random,different_shapes,0.4365234375,0.49595436453819275,0.015498573891818523,above_below,0,0,1,0,4,,34,1024,5
28,resnext-random,split_text,0.109375,0.3121091425418854,0.009753410704433918,above_below,0,0,1,0,4,,34,1024,5
29,resnext-random,random_color,0.388671875,0.487448513507843,0.015232766047120094,above_below,0,0,1,0,4,,34,1024,5
30,mobilenet-random,different_shapes,0.4970703125,0.49999141693115234,0.01562473177909851,above_below,0,0,1,0,4,30,34,1024,5
31,mobilenet-random,split_text,0.109375,0.3121091425418854,0.009753410704433918,above_below,0,0,1,0,4,30,34,1024,5
32,mobilenet-random,random_color,0.521484375,0.49953821301460266,0.015610569156706333,above_below,0,0,1,0,4,30,34,1024,5
33,resnext-random,different_shapes,0.451171875,0.49761009216308594,0.015550315380096436,above_below,0,0,1,0,4,30,34,1024,5
34,resnext-random,split_text,0.0869140625,0.28170907497406006,0.008803408592939377,above_below,0,0,1,0,4,30,34,1024,5
35,resnext-random,random_color,0.4150390625,0.4927287697792053,0.015397774055600166,above_below,0,0,1,0,4,30,34,1024,5
36,mobilenet-random,different_shapes,0.5,0.5,0.015625,above_below,0,0,1,0,4,45,34,1024,5
37,mobilenet-random,split_text,0.0869140625,0.28170907497406006,0.008803408592939377,above_below,0,0,1,0,4,45,34,1024,5
38,mobilenet-random,random_color,0.5048828125,0.49997615814208984,0.015624254941940308,above_below,0,0,1,0,4,45,34,1024,5
39,resnext-random,different_shapes,0.4580078125,0.49823352694511414,0.015569797717034817,above_below,0,0,1,0,4,45,34,1024,5
40,resnext-random,split_text,0.1015625,0.30207210779190063,0.009439753368496895,above_below,0,0,1,0,4,45,34,1024,5
41,resnext-random,random_color,0.4052734375,0.49094489216804504,0.015342027880251408,above_below,0,0,1,0,4,45,34,1024,5
42,mobilenet-random,different_shapes,0.486328125,0.499813050031662,0.015619157813489437,above_below,0,0,1,0,4,60,34,1024,5
43,mobilenet-random,split_text,0.1064453125,0.3084067106246948,0.009637709707021713,above_below,0,0,1,0,4,60,34,1024,5
44,mobilenet-random,random_color,0.486328125,0.499813050031662,0.015619157813489437,above_below,0,0,1,0,4,60,34,1024,5
