,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
0,resnext-DINO-S,different_shapes,0.98828125,0.10761701315641403,0.0033630316611379385,above_below,0,0,1,1,0,34,1024,False,1.2
1,resnext-DINO-S,split_text,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,0,34,1024,False,1.2
2,resnext-DINO-S,random_color,0.9833984375,0.12777304649353027,0.003992907702922821,above_below,0,0,1,1,0,34,1024,False,1.2
3,resnext-DINO-ImageNet,different_shapes,0.8779296875,0.32736700773239136,0.01023021899163723,above_below,0,0,1,1,0,34,1024,False,1.2
4,resnext-DINO-ImageNet,split_text,0.96484375,0.18417461216449738,0.005755456630140543,above_below,0,0,1,1,0,34,1024,False,1.2
5,resnext-DINO-ImageNet,random_color,0.78515625,0.41071391105651855,0.012834809720516205,above_below,0,0,1,1,0,34,1024,False,1.2
6,resnext-DINO-S,different_shapes,0.94921875,0.2195507138967514,0.006860959809273481,above_below,0,0,1,1,30,34,1024,False,1.2
7,resnext-DINO-S,split_text,0.96875,0.17399263381958008,0.0054372698068618774,above_below,0,0,1,1,30,34,1024,False,1.2
8,resnext-DINO-S,random_color,0.9365234375,0.24381814897060394,0.007619317155331373,above_below,0,0,1,1,30,34,1024,False,1.2
9,resnext-DINO-ImageNet,different_shapes,0.828125,0.37727177143096924,0.011789742857217789,above_below,0,0,1,1,30,34,1024,False,1.2
10,resnext-DINO-ImageNet,split_text,0.7587890625,0.4278179705142975,0.013369311578571796,above_below,0,0,1,1,30,34,1024,False,1.2
11,resnext-DINO-ImageNet,random_color,0.6611328125,0.47332465648651123,0.014791395515203476,above_below,0,0,1,1,30,34,1024,False,1.2
12,resnext-DINO-S,different_shapes,0.9580078125,0.20057129859924316,0.006267853081226349,above_below,0,0,1,1,45,34,1024,False,1.2
13,resnext-DINO-S,split_text,0.984375,0.12401959300041199,0.0038756122812628746,above_below,0,0,1,1,45,34,1024,False,1.2
14,resnext-DINO-S,random_color,0.8916015625,0.31088295578956604,0.009715092368423939,above_below,0,0,1,1,45,34,1024,False,1.2
15,resnext-DINO-ImageNet,different_shapes,0.7587890625,0.4278179705142975,0.013369311578571796,above_below,0,0,1,1,45,34,1024,False,1.2
16,resnext-DINO-ImageNet,split_text,0.765625,0.42360755801200867,0.01323773618787527,above_below,0,0,1,1,45,34,1024,False,1.2
17,resnext-DINO-ImageNet,random_color,0.7197265625,0.4491327702999115,0.014035399071872234,above_below,0,0,1,1,45,34,1024,False,1.2
18,resnext-DINO-S,different_shapes,0.962890625,0.18902981281280518,0.005907181650400162,above_below,0,0,1,1,60,34,1024,False,1.2
19,resnext-DINO-S,split_text,0.94921875,0.2195507138967514,0.006860959809273481,above_below,0,0,1,1,60,34,1024,False,1.2
20,resnext-DINO-S,random_color,0.90625,0.2914806008338928,0.00910876877605915,above_below,0,0,1,1,60,34,1024,False,1.2
21,resnext-DINO-ImageNet,different_shapes,0.7177734375,0.45008301734924316,0.014065094292163849,above_below,0,0,1,1,60,34,1024,False,1.2
