,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
0,resnext-DINO-S,different_shapes,0.744140625,0.43634316325187683,0.013635723851621151,above_below,0,0,1,1,0,34,1024,False,ends
1,resnext-DINO-S,split_text,0.8359375,0.370332270860672,0.011572883464396,above_below,0,0,1,1,0,34,1024,False,ends
2,resnext-DINO-S,random_color,0.767578125,0.4223765432834625,0.013199266977608204,above_below,0,0,1,1,0,34,1024,False,ends
3,resnext-DINO-ImageNet,different_shapes,0.7412109375,0.43796950578689575,0.013686547055840492,above_below,0,0,1,1,0,34,1024,False,ends
4,resnext-DINO-ImageNet,split_text,0.8505859375,0.3564961552619934,0.011140504851937294,above_below,0,0,1,1,0,34,1024,False,ends
5,resnext-DINO-ImageNet,random_color,0.6787109375,0.4669715166091919,0.014592859894037247,above_below,0,0,1,1,0,34,1024,False,ends
6,resnext-DINO-S,different_shapes,0.5185546875,0.4996556043624878,0.015614237636327744,above_below,0,0,1,1,30,34,1024,False,ends
7,resnext-DINO-S,split_text,0.517578125,0.4996909201145172,0.015615341253578663,above_below,0,0,1,1,30,34,1024,False,ends
8,resnext-DINO-S,random_color,0.4189453125,0.4933863878250122,0.015418324619531631,above_below,0,0,1,1,30,34,1024,False,ends
9,resnext-DINO-ImageNet,different_shapes,0.380859375,0.485598087310791,0.01517494022846222,above_below,0,0,1,1,30,34,1024,False,ends
10,resnext-DINO-ImageNet,split_text,0.58984375,0.49186187982559204,0.015370683744549751,above_below,0,0,1,1,30,34,1024,False,ends
11,resnext-DINO-ImageNet,random_color,0.2998046875,0.4581722915172577,0.014317884109914303,above_below,0,0,1,1,30,34,1024,False,ends
12,resnext-DINO-S,different_shapes,0.537109375,0.49862098693847656,0.015581905841827393,above_below,0,0,1,1,45,34,1024,False,ends
13,resnext-DINO-S,split_text,0.5263671875,0.49930429458618164,0.015603259205818176,above_below,0,0,1,1,45,34,1024,False,ends
14,resnext-DINO-S,random_color,0.3408203125,0.47398504614830017,0.01481203269213438,above_below,0,0,1,1,45,34,1024,False,ends
15,resnext-DINO-ImageNet,different_shapes,0.126953125,0.33292046189308167,0.010403764434158802,above_below,0,0,1,1,45,34,1024,False,ends
16,resnext-DINO-ImageNet,split_text,0.59765625,0.4903705418109894,0.015324079431593418,above_below,0,0,1,1,45,34,1024,False,ends
17,resnext-DINO-ImageNet,random_color,0.1572265625,0.36401423811912537,0.011375444941222668,above_below,0,0,1,1,45,34,1024,False,ends
18,resnext-DINO-S,different_shapes,0.2919921875,0.4546787440776825,0.014208710752427578,above_below,0,0,1,1,60,34,1024,False,ends
19,resnext-DINO-S,split_text,0.4384765625,0.49620044231414795,0.015506263822317123,above_below,0,0,1,1,60,34,1024,False,ends
20,resnext-DINO-S,random_color,0.1494140625,0.3564961552619934,0.011140504851937294,above_below,0,0,1,1,60,34,1024,False,ends
21,resnext-DINO-ImageNet,different_shapes,0.0859375,0.2802717387676239,0.008758491836488247,above_below,0,0,1,1,60,34,1024,False,ends
22,resnext-DINO-ImageNet,split_text,0.296875,0.45688098669052124,0.014277530834078789,above_below,0,0,1,1,60,34,1024,False,ends
23,resnext-DINO-ImageNet,random_color,0.064453125,0.24555838108062744,0.0076736994087696075,above_below,0,0,1,1,60,34,1024,False,ends
24,resnext-DINO-S,different_shapes,0.126953125,0.33292046189308167,0.010403764434158802,above_below,0,0,1,1,90,34,1024,False,ends
25,resnext-DINO-S,split_text,0.4462890625,0.49710676074028015,0.015534586273133755,above_below,0,0,1,1,90,34,1024,False,ends
26,resnext-DINO-S,random_color,0.0400390625,0.19605085253715515,0.0061265891417860985,above_below,0,0,1,1,90,34,1024,False,ends
27,resnext-DINO-ImageNet,different_shapes,0.033203125,0.17916661500930786,0.005598956719040871,above_below,0,0,1,1,90,34,1024,False,ends
28,resnext-DINO-ImageNet,split_text,0.291015625,0.4542306959629059,0.014194709248840809,above_below,0,0,1,1,90,34,1024,False,ends
29,resnext-DINO-ImageNet,random_color,0.0126953125,0.11195597797632217,0.003498624311760068,above_below,0,0,1,1,90,34,1024,False,ends
30,resnext-DINO-S,different_shapes,0.126953125,0.33292046189308167,0.010403764434158802,above_below,0,0,1,1,120,34,1024,False,ends
31,resnext-DINO-S,split_text,0.3759765625,0.4843740165233612,0.015136688016355038,above_below,0,0,1,1,120,34,1024,False,ends
32,resnext-DINO-S,random_color,0.255859375,0.43634316325187683,0.013635723851621151,above_below,0,0,1,1,120,34,1024,False,ends
33,resnext-DINO-ImageNet,different_shapes,0.0537109375,0.22544638812541962,0.007045199628919363,above_below,0,0,1,1,120,34,1024,False,ends
34,resnext-DINO-ImageNet,split_text,0.3720703125,0.4833570122718811,0.015104906633496284,above_below,0,0,1,1,120,34,1024,False,ends
35,resnext-DINO-ImageNet,random_color,0.0234375,0.15128840506076813,0.004727762658149004,above_below,0,0,1,1,120,34,1024,False,ends
36,resnext-DINO-S,different_shapes,0.365234375,0.48149582743644714,0.015046744607388973,above_below,0,0,1,1,135,34,1024,False,ends
37,resnext-DINO-S,split_text,0.4345703125,0.495700478553772,0.015490639954805374,above_below,0,0,1,1,135,34,1024,False,ends
38,resnext-DINO-S,random_color,0.3818359375,0.4858366549015045,0.015182395465672016,above_below,0,0,1,1,135,34,1024,False,ends
39,resnext-DINO-ImageNet,different_shapes,0.109375,0.3121091425418854,0.009753410704433918,above_below,0,0,1,1,135,34,1024,False,ends
40,resnext-DINO-ImageNet,split_text,0.5322265625,0.49896037578582764,0.015592511743307114,above_below,0,0,1,1,135,34,1024,False,ends
41,resnext-DINO-ImageNet,random_color,0.0341796875,0.1816904991865158,0.005677828099578619,above_below,0,0,1,1,135,34,1024,False,ends
42,resnext-DINO-S,different_shapes,0.521484375,0.49953821301460266,0.015610569156706333,above_below,0,0,1,1,150,34,1024,False,ends
43,resnext-DINO-S,split_text,0.59765625,0.4903705418109894,0.015324079431593418,above_below,0,0,1,1,150,34,1024,False,ends
44,resnext-DINO-S,random_color,0.509765625,0.4999046325683594,0.01562201976776123,above_below,0,0,1,1,150,34,1024,False,ends
45,resnext-DINO-ImageNet,different_shapes,0.470703125,0.4991409480571747,0.015598154626786709,above_below,0,0,1,1,150,34,1024,False,ends
46,resnext-DINO-ImageNet,split_text,0.4609375,0.49847179651260376,0.015577243641018867,above_below,0,0,1,1,150,34,1024,False,ends
47,resnext-DINO-ImageNet,random_color,0.205078125,0.403758704662323,0.012617459520697594,above_below,0,0,1,1,150,34,1024,False,ends
48,resnext-DINO-S,different_shapes,0.8076171875,0.39417213201522827,0.012317879125475883,above_below,0,0,1,4,0,34,1024,False,ends
49,resnext-DINO-S,split_text,0.87109375,0.335096150636673,0.01047175470739603,above_below,0,0,1,4,0,34,1024,False,ends
50,resnext-DINO-S,random_color,0.8017578125,0.3986755907535553,0.012458612211048603,above_below,0,0,1,4,0,34,1024,False,ends
51,resnext-DINO-ImageNet,different_shapes,0.7880859375,0.4086642861366272,0.0127707589417696,above_below,0,0,1,4,0,34,1024,False,ends
52,resnext-DINO-ImageNet,split_text,0.8740234375,0.3318229615688324,0.010369467549026012,above_below,0,0,1,4,0,34,1024,False,ends
53,resnext-DINO-ImageNet,random_color,0.7490234375,0.4335750639438629,0.013549220748245716,above_below,0,0,1,4,0,34,1024,False,ends
54,resnext-DINO-S,different_shapes,0.544921875,0.49797794222831726,0.015561810694634914,above_below,0,0,1,4,30,34,1024,False,ends
55,resnext-DINO-S,split_text,0.5849609375,0.4927287697792053,0.015397774055600166,above_below,0,0,1,4,30,34,1024,False,ends
56,resnext-DINO-S,random_color,0.474609375,0.49935489892959595,0.015604840591549873,above_below,0,0,1,4,30,34,1024,False,ends
57,resnext-DINO-ImageNet,different_shapes,0.4248046875,0.4943133294582367,0.015447291545569897,above_below,0,0,1,4,30,34,1024,False,ends
58,resnext-DINO-ImageNet,split_text,0.5986328125,0.4901750385761261,0.01531796995550394,above_below,0,0,1,4,30,34,1024,False,ends
59,resnext-DINO-ImageNet,random_color,0.3291015625,0.4698869287967682,0.014683966524899006,above_below,0,0,1,4,30,34,1024,False,ends
60,resnext-DINO-S,different_shapes,0.595703125,0.49075543880462646,0.015336107462644577,above_below,0,0,1,4,45,34,1024,False,ends
61,resnext-DINO-S,split_text,0.6005859375,0.48977798223495483,0.015305561944842339,above_below,0,0,1,4,45,34,1024,False,ends
62,resnext-DINO-S,random_color,0.3916015625,0.488108366727829,0.015253386460244656,above_below,0,0,1,4,45,34,1024,False,ends
63,resnext-DINO-ImageNet,different_shapes,0.1572265625,0.36401423811912537,0.011375444941222668,above_below,0,0,1,4,45,34,1024,False,ends
64,resnext-DINO-ImageNet,split_text,0.6572265625,0.4746364951133728,0.0148323904722929,above_below,0,0,1,4,45,34,1024,False,ends
65,resnext-DINO-ImageNet,random_color,0.1943359375,0.39568862318992615,0.012365269474685192,above_below,0,0,1,4,45,34,1024,False,ends
66,resnext-DINO-S,different_shapes,0.3134765625,0.46390625834465027,0.014497070573270321,above_below,0,0,1,4,60,34,1024,False,ends
67,resnext-DINO-S,split_text,0.533203125,0.4988963305950165,0.015590510331094265,above_below,0,0,1,4,60,34,1024,False,ends
68,resnext-DINO-S,random_color,0.1630859375,0.3694440722465515,0.011545127257704735,above_below,0,0,1,4,60,34,1024,False,ends
69,resnext-DINO-ImageNet,different_shapes,0.0927734375,0.2901146709918976,0.0090660834684968,above_below,0,0,1,4,60,34,1024,False,ends
70,resnext-DINO-ImageNet,split_text,0.3134765625,0.46390625834465027,0.014497070573270321,above_below,0,0,1,4,60,34,1024,False,ends
71,resnext-DINO-ImageNet,random_color,0.0712890625,0.2573070824146271,0.008040846325457096,above_below,0,0,1,4,60,34,1024,False,ends
72,resnext-DINO-S,different_shapes,0.109375,0.3121091425418854,0.009753410704433918,above_below,0,0,1,4,90,34,1024,False,ends
73,resnext-DINO-S,split_text,0.6005859375,0.48977798223495483,0.015305561944842339,above_below,0,0,1,4,90,34,1024,False,ends
74,resnext-DINO-S,random_color,0.0283203125,0.16588632762432098,0.005183947738260031,above_below,0,0,1,4,90,34,1024,False,ends
75,resnext-DINO-ImageNet,different_shapes,0.0107421875,0.10308633744716644,0.0032214480452239513,above_below,0,0,1,4,90,34,1024,False,ends
76,resnext-DINO-ImageNet,split_text,0.3408203125,0.47398504614830017,0.01481203269213438,above_below,0,0,1,4,90,34,1024,False,ends
77,resnext-DINO-ImageNet,random_color,0.0078125,0.08804240077733994,0.002751325024291873,above_below,0,0,1,4,90,34,1024,False,ends
78,resnext-DINO-S,different_shapes,0.169921875,0.3755641579627991,0.011736379936337471,above_below,0,0,1,4,120,34,1024,False,ends
79,resnext-DINO-S,split_text,0.4716796875,0.4991973042488098,0.015599915757775307,above_below,0,0,1,4,120,34,1024,False,ends
