,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio,unpooled_output
0,vitb14-DINO-ImageNet,different_shapes,0.96484375,0.18417461216449738,0.005755456630140543,above_below,0,0,1,1,0,34,1024,False,1.2,False
1,vitb14-DINO-ImageNet,split_text,0.8310546875,0.37470361590385437,0.011709487996995449,above_below,0,0,1,1,0,34,1024,False,1.2,False
2,vitb14-DINO-ImageNet,random_color,0.8974609375,0.3033559024333954,0.009479871951043606,above_below,0,0,1,1,0,34,1024,False,1.2,False
3,vitb14-DINO-ImageNet,different_shapes,0.951171875,0.2155085653066635,0.006734642665833235,above_below,0,0,1,1,30,34,1024,False,1.2,False
4,vitb14-DINO-ImageNet,split_text,0.6865234375,0.46390625834465027,0.014497070573270321,above_below,0,0,1,1,30,34,1024,False,1.2,False
5,vitb14-DINO-ImageNet,random_color,0.923828125,0.26527291536331177,0.008289778605103493,above_below,0,0,1,1,30,34,1024,False,1.2,False
6,vitb14-DINO-ImageNet,different_shapes,0.802734375,0.39793452620506287,0.012435453943908215,above_below,0,0,1,1,45,34,1024,False,1.2,False
7,vitb14-DINO-ImageNet,split_text,0.6181640625,0.4858366549015045,0.015182395465672016,above_below,0,0,1,1,45,34,1024,False,1.2,False
8,vitb14-DINO-ImageNet,random_color,0.7861328125,0.4100341498851776,0.0128135671839118,above_below,0,0,1,1,45,34,1024,False,1.2,False
9,vitb14-DINO-ImageNet,different_shapes,0.6416015625,0.4795299768447876,0.014985311776399612,above_below,0,0,1,1,60,34,1024,False,1.2,False
10,vitb14-DINO-ImageNet,split_text,0.5146484375,0.4997853636741638,0.01561829261481762,above_below,0,0,1,1,60,34,1024,False,1.2,False
11,vitb14-DINO-ImageNet,random_color,0.6298828125,0.4828358590602875,0.015088620595633984,above_below,0,0,1,1,60,34,1024,False,1.2,False
12,vitb14-DINO-ImageNet,different_shapes,0.392578125,0.48832422494888306,0.015260132029652596,above_below,0,0,1,1,90,34,1024,False,1.2,False
13,vitb14-DINO-ImageNet,split_text,0.4609375,0.49847179651260376,0.015577243641018867,above_below,0,0,1,1,90,34,1024,False,1.2,False
14,vitb14-DINO-ImageNet,random_color,0.3330078125,0.4712893068790436,0.014727790839970112,above_below,0,0,1,1,90,34,1024,False,1.2,False
15,vitb14-DINO-ImageNet,different_shapes,0.666015625,0.471634179353714,0.014738568104803562,above_below,0,0,1,1,120,34,1024,False,1.2,False
16,vitb14-DINO-ImageNet,split_text,0.5126953125,0.49983879923820496,0.015619962476193905,above_below,0,0,1,1,120,34,1024,False,1.2,False
17,vitb14-DINO-ImageNet,random_color,0.6865234375,0.46390625834465027,0.014497070573270321,above_below,0,0,1,1,120,34,1024,False,1.2,False
18,vitb14-DINO-ImageNet,different_shapes,0.7998046875,0.4001464247703552,0.0125045757740736,above_below,0,0,1,1,135,34,1024,False,1.2,False
19,vitb14-DINO-ImageNet,split_text,0.654296875,0.47559696435928345,0.014862405136227608,above_below,0,0,1,1,135,34,1024,False,1.2,False
20,vitb14-DINO-ImageNet,random_color,0.8115234375,0.3910922408103943,0.012221632525324821,above_below,0,0,1,1,135,34,1024,False,1.2,False
21,vitb14-DINO-ImageNet,different_shapes,0.939453125,0.2384972721338272,0.0074530397541821,above_below,0,0,1,1,150,34,1024,False,1.2,False
22,vitb14-DINO-ImageNet,split_text,0.671875,0.4695306122303009,0.014672831632196903,above_below,0,0,1,1,150,34,1024,False,1.2,False
23,vitb14-DINO-ImageNet,random_color,0.912109375,0.2831357717514038,0.008847992867231369,above_below,0,0,1,1,150,34,1024,False,1.2,False
24,vitb14-DINO-ImageNet,different_shapes,0.9287109375,0.2573070824146271,0.008040846325457096,above_below,0,0,1,4,0,34,1024,False,1.2,False
25,vitb14-DINO-ImageNet,split_text,0.8642578125,0.34251460433006287,0.010703581385314465,above_below,0,0,1,4,0,34,1024,False,1.2,False
26,vitb14-DINO-ImageNet,random_color,0.927734375,0.25892722606658936,0.008091475814580917,above_below,0,0,1,4,0,34,1024,False,1.2,False
27,vitb14-DINO-ImageNet,different_shapes,0.9755859375,0.15433086454868317,0.004822839517146349,above_below,0,0,1,4,30,34,1024,False,1.2,False
28,vitb14-DINO-ImageNet,split_text,0.763671875,0.4248260259628296,0.013275813311338425,above_below,0,0,1,4,30,34,1024,False,1.2,False
29,vitb14-DINO-ImageNet,random_color,0.9404296875,0.2366890162229538,0.007396531756967306,above_below,0,0,1,4,30,34,1024,False,1.2,False
30,vitb14-DINO-ImageNet,different_shapes,0.8681640625,0.3383123278617859,0.010572260245680809,above_below,0,0,1,4,45,34,1024,False,1.2,False
31,vitb14-DINO-ImageNet,split_text,0.6435546875,0.4789488911628723,0.01496715284883976,above_below,0,0,1,4,45,34,1024,False,1.2,False
32,vitb14-DINO-ImageNet,random_color,0.85546875,0.3516275882720947,0.01098836213350296,above_below,0,0,1,4,45,34,1024,False,1.2,False
33,vitb14-DINO-ImageNet,different_shapes,0.65234375,0.47622618079185486,0.014882068149745464,above_below,0,0,1,4,60,34,1024,False,1.2,False
34,vitb14-DINO-ImageNet,split_text,0.4921875,0.49993896484375,0.015623092651367188,above_below,0,0,1,4,60,34,1024,False,1.2,False
35,vitb14-DINO-ImageNet,random_color,0.6787109375,0.4669715166091919,0.014592859894037247,above_below,0,0,1,4,60,34,1024,False,1.2,False
36,vitb14-DINO-ImageNet,different_shapes,0.2802734375,0.4491327702999115,0.014035399071872234,above_below,0,0,1,4,90,34,1024,False,1.2,False
37,vitb14-DINO-ImageNet,split_text,0.375,0.4841229319572449,0.015128841623663902,above_below,0,0,1,4,90,34,1024,False,1.2,False
38,vitb14-DINO-ImageNet,random_color,0.2568359375,0.4368881285190582,0.01365275401622057,above_below,0,0,1,4,90,34,1024,False,1.2,False
39,vitb14-DINO-ImageNet,different_shapes,0.6787109375,0.4669715166091919,0.014592859894037247,above_below,0,0,1,4,120,34,1024,False,1.2,False
40,vitb14-DINO-ImageNet,split_text,0.515625,0.4997557997703552,0.0156173687428236,above_below,0,0,1,4,120,34,1024,False,1.2,False
41,vitb14-DINO-ImageNet,random_color,0.7333984375,0.4421822726726532,0.013818196021020412,above_below,0,0,1,4,120,34,1024,False,1.2,False
42,vitb14-DINO-ImageNet,different_shapes,0.88671875,0.31693628430366516,0.009904258884489536,above_below,0,0,1,4,135,34,1024,False,1.2,False
43,vitb14-DINO-ImageNet,split_text,0.658203125,0.474311888217926,0.014822246506810188,above_below,0,0,1,4,135,34,1024,False,1.2,False
44,vitb14-DINO-ImageNet,random_color,0.8564453125,0.35063761472702026,0.010957425460219383,above_below,0,0,1,4,135,34,1024,False,1.2,False
45,vitb14-DINO-ImageNet,different_shapes,0.970703125,0.16863738000392914,0.005269918125122786,above_below,0,0,1,4,150,34,1024,False,1.2,False
46,vitb14-DINO-ImageNet,split_text,0.7431640625,0.4368881285190582,0.01365275401622057,above_below,0,0,1,4,150,34,1024,False,1.2,False
47,vitb14-DINO-ImageNet,random_color,0.947265625,0.22350271046161652,0.006984459701925516,above_below,0,0,1,4,150,34,1024,False,1.2,False
48,vitb14-DINO-ImageNet,different_shapes,0.7822265625,0.4127325713634491,0.012897892855107784,above_below,0,0,2,1,0,34,1024,False,1.2,False
