,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio,unpooled_output
0,vitb14-DINO-S,different_shapes,0.97265625,0.163083016872406,0.005096344277262688,above_below,0,0,1,1,0,34,1024,False,ends,False
1,vitb14-DINO-S,split_text,0.8486328125,0.3584064245223999,0.011200200766324997,above_below,0,0,1,1,0,34,1024,False,ends,False
2,vitb14-DINO-S,random_color,0.962890625,0.18902981281280518,0.005907181650400162,above_below,0,0,1,1,0,34,1024,False,ends,False
3,vitb14-DINO-S,different_shapes,0.8427734375,0.36401423811912537,0.011375444941222668,above_below,0,0,1,1,30,34,1024,False,ends,False
4,vitb14-DINO-S,split_text,0.53125,0.4990224838256836,0.015594452619552612,above_below,0,0,1,1,30,34,1024,False,ends,False
5,vitb14-DINO-S,random_color,0.681640625,0.46583977341651917,0.014557492919266224,above_below,0,0,1,1,30,34,1024,False,ends,False
6,vitb14-DINO-S,different_shapes,0.5048828125,0.49997615814208984,0.015624254941940308,above_below,0,0,1,1,45,34,1024,False,ends,False
7,vitb14-DINO-S,split_text,0.39453125,0.48874977231025696,0.01527343038469553,above_below,0,0,1,1,45,34,1024,False,ends,False
8,vitb14-DINO-S,random_color,0.3720703125,0.4833570122718811,0.015104906633496284,above_below,0,0,1,1,45,34,1024,False,ends,False
9,vitb14-DINO-S,different_shapes,0.083984375,0.2773643732070923,0.008667636662721634,above_below,0,0,1,1,60,34,1024,False,ends,False
10,vitb14-DINO-S,split_text,0.216796875,0.4120630919933319,0.012876971624791622,above_below,0,0,1,1,60,34,1024,False,ends,False
11,vitb14-DINO-S,random_color,0.0791015625,0.2698972225189209,0.008434288203716278,above_below,0,0,1,1,60,34,1024,False,ends,False
12,vitb14-DINO-S,different_shapes,0.0947265625,0.29283687472343445,0.009151152335107327,above_below,0,0,1,1,90,34,1024,False,ends,False
13,vitb14-DINO-S,split_text,0.1123046875,0.3157409429550171,0.009866904467344284,above_below,0,0,1,1,90,34,1024,False,ends,False
14,vitb14-DINO-S,random_color,0.052734375,0.22350271046161652,0.006984459701925516,above_below,0,0,1,1,90,34,1024,False,ends,False
