,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-saycam(S)-h,different_shapes,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,1,0,34,1024,0
1,resnext-saycam(S)-h,split_text,0.9921875,0.08804240077733994,0.002751325024291873,above_below,0,0,1,1,0,34,1024,0
2,resnext-saycam(S)-h,random_color,0.9873046875,0.11195597797632217,0.003498624311760068,above_below,0,0,1,1,0,34,1024,0
3,resnext-saycam(S)-h,different_shapes,0.9736328125,0.16022472083568573,0.005007022526115179,above_below,0,0,1,1,30,34,1024,0
4,resnext-saycam(S)-h,split_text,0.9443359375,0.22927182912826538,0.007164744660258293,above_below,0,0,1,1,30,34,1024,0
5,resnext-saycam(S)-h,random_color,0.982421875,0.131412073969841,0.004106627311557531,above_below,0,0,1,1,30,34,1024,0
6,resnext-saycam(S)-h,different_shapes,0.955078125,0.20713256299495697,0.006472892593592405,above_below,0,0,1,1,45,34,1024,0
7,resnext-saycam(S)-h,split_text,0.8984375,0.30207210779190063,0.009439753368496895,above_below,0,0,1,1,45,34,1024,0
8,resnext-saycam(S)-h,random_color,0.91015625,0.28595778346061707,0.008936180733144283,above_below,0,0,1,1,45,34,1024,0
9,resnext-saycam(S)-h,different_shapes,0.7578125,0.4284071922302246,0.013387724757194519,above_below,0,0,1,1,60,34,1024,0
10,resnext-saycam(S)-h,split_text,0.818359375,0.38554805517196655,0.012048376724123955,above_below,0,0,1,1,60,34,1024,0
11,resnext-saycam(S)-h,random_color,0.6640625,0.4723171591758728,0.014759911224246025,above_below,0,0,1,1,60,34,1024,0
12,resnext-saycam(S)-h,different_shapes,0.24609375,0.4307337999343872,0.0134604312479496,above_below,0,0,1,1,90,34,1024,0
13,resnext-saycam(S)-h,split_text,0.4169921875,0.4930615723133087,0.015408174134790897,above_below,0,0,1,1,90,34,1024,0
