,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,transpose_stimuli,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-saycam(S)-h,different_shapes,0.8974609375,0.3033559024333954,0.009479871951043606,above_below,0,0,1,0,1,,34,1024,5
1,resnext-saycam(S)-h,split_text,0.2041015625,0.40304356813430786,0.01259511150419712,above_below,0,0,1,0,1,,34,1024,5
2,resnext-saycam(S)-h,random_color,0.876953125,0.3284910023212433,0.010265343822538853,above_below,0,0,1,0,1,,34,1024,5
3,resnext-saycam(S)-v,different_shapes,0.35546875,0.4786550998687744,0.0149579718708992,above_below,0,0,1,0,1,,34,1024,5
4,resnext-saycam(S)-v,split_text,0.087890625,0.2831357717514038,0.008847992867231369,above_below,0,0,1,0,1,,34,1024,5
5,resnext-saycam(S)-v,random_color,0.359375,0.479817271232605,0.014994289726018906,above_below,0,0,1,0,1,,34,1024,5
6,resnext-saycam(S)-h,different_shapes,0.74609375,0.435244619846344,0.01360139437019825,above_below,0,0,1,0,1,30,34,1024,5
7,resnext-saycam(S)-h,split_text,0.158203125,0.3649313449859619,0.01140410453081131,above_below,0,0,1,0,1,30,34,1024,5
8,resnext-saycam(S)-h,random_color,0.7373046875,0.44009825587272644,0.013753070496022701,above_below,0,0,1,0,1,30,34,1024,5
9,resnext-saycam(S)-v,different_shapes,0.38671875,0.4869983196258545,0.015218697488307953,above_below,0,0,1,0,1,30,34,1024,5
10,resnext-saycam(S)-v,split_text,0.0810546875,0.27291908860206604,0.008528721518814564,above_below,0,0,1,0,1,30,34,1024,5
11,resnext-saycam(S)-v,random_color,0.3935546875,0.4885380268096924,0.015266813337802887,above_below,0,0,1,0,1,30,34,1024,5
12,resnext-saycam(S)-h,different_shapes,0.5224609375,0.4994952380657196,0.015609226189553738,above_below,0,0,1,0,1,45,34,1024,5
13,resnext-saycam(S)-h,split_text,0.1064453125,0.3084067106246948,0.009637709707021713,above_below,0,0,1,0,1,45,34,1024,5
14,resnext-saycam(S)-h,random_color,0.55078125,0.49741458892822266,0.015544205904006958,above_below,0,0,1,0,1,45,34,1024,5
15,resnext-saycam(S)-v,different_shapes,0.546875,0.4977978765964508,0.015556183643639088,above_below,0,0,1,0,1,45,34,1024,5
16,resnext-saycam(S)-v,split_text,0.1083984375,0.31088295578956604,0.009715092368423939,above_below,0,0,1,0,1,45,34,1024,5
17,resnext-saycam(S)-v,random_color,0.5458984375,0.49788886308670044,0.015559026971459389,above_below,0,0,1,0,1,45,34,1024,5
18,resnext-saycam(S)-h,different_shapes,0.3740234375,0.483869731426239,0.01512092910706997,above_below,0,0,1,0,1,60,34,1024,5
19,resnext-saycam(S)-h,split_text,0.0615234375,0.24028795957565308,0.007508998736739159,above_below,0,0,1,0,1,60,34,1024,5
20,resnext-saycam(S)-h,random_color,0.400390625,0.48997750878334045,0.01531179714947939,above_below,0,0,1,0,1,60,34,1024,5
21,resnext-saycam(S)-v,different_shapes,0.8134765625,0.3895284831523895,0.012172765098512173,above_below,0,0,1,0,1,60,34,1024,5
22,resnext-saycam(S)-v,split_text,0.1474609375,0.3545648157596588,0.011080150492489338,above_below,0,0,1,0,1,60,34,1024,5
23,resnext-saycam(S)-v,random_color,0.81640625,0.3871525228023529,0.012098516337573528,above_below,0,0,1,0,1,60,34,1024,5
24,resnext-saycam(S)-h,different_shapes,0.904296875,0.2941836714744568,0.009193239733576775,above_below,0,0,1,0,4,,34,1024,5
25,resnext-saycam(S)-h,split_text,0.177734375,0.38228899240493774,0.011946531012654305,above_below,0,0,1,0,4,,34,1024,5
26,resnext-saycam(S)-h,random_color,0.896484375,0.30463114380836487,0.009519723244011402,above_below,0,0,1,0,4,,34,1024,5
27,resnext-saycam(S)-v,different_shapes,0.287109375,0.45241305232048035,0.01413790788501501,above_below,0,0,1,0,4,,34,1024,5
28,resnext-saycam(S)-v,split_text,0.064453125,0.24555838108062744,0.0076736994087696075,above_below,0,0,1,0,4,,34,1024,5
29,resnext-saycam(S)-v,random_color,0.2919921875,0.4546787440776825,0.014208710752427578,above_below,0,0,1,0,4,,34,1024,5
30,resnext-saycam(S)-h,different_shapes,0.7626953125,0.425430566072464,0.0132947051897645,above_below,0,0,1,0,4,30,34,1024,5
