,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-saycam(S)-hv,different_shapes,0.7265625,0.4457235038280487,0.013928859494626522,above_below,0,0,1,1,0,34,1024,0
1,resnext-saycam(S)-hv,split_text,0.673828125,0.46881103515625,0.014650344848632812,above_below,0,0,1,1,0,34,1024,0
2,resnext-saycam(S)-hv,random_color,0.703125,0.45688098669052124,0.014277530834078789,above_below,0,0,1,1,0,34,1024,0
3,resnext-saycam(S)-hv,different_shapes,0.583984375,0.492896169424057,0.015403005294501781,above_below,0,0,1,1,30,34,1024,0
4,resnext-saycam(S)-hv,split_text,0.658203125,0.474311888217926,0.014822246506810188,above_below,0,0,1,1,30,34,1024,0
5,resnext-saycam(S)-hv,random_color,0.5830078125,0.4930615723133087,0.015408174134790897,above_below,0,0,1,1,30,34,1024,0
6,resnext-saycam(S)-hv,different_shapes,0.66015625,0.47365596890449524,0.014801749028265476,above_below,0,0,1,1,45,34,1024,0
7,resnext-saycam(S)-hv,split_text,0.7646484375,0.4242183566093445,0.013256823644042015,above_below,0,0,1,1,45,34,1024,0
8,resnext-saycam(S)-hv,random_color,0.6171875,0.4860731363296509,0.01518978551030159,above_below,0,0,1,1,45,34,1024,0
9,resnext-saycam(S)-hv,different_shapes,0.7587890625,0.4278179705142975,0.013369311578571796,above_below,0,0,1,1,60,34,1024,0
10,resnext-saycam(S)-hv,split_text,0.783203125,0.4120630919933319,0.012876971624791622,above_below,0,0,1,1,60,34,1024,0
11,resnext-saycam(S)-hv,random_color,0.6025390625,0.48937278985977173,0.015292899683117867,above_below,0,0,1,1,60,34,1024,0
12,resnext-saycam(S)-hv,different_shapes,0.7041015625,0.456445574760437,0.014263924211263657,above_below,0,0,1,1,90,34,1024,0
13,resnext-saycam(S)-hv,split_text,0.712890625,0.45241305232048035,0.01413790788501501,above_below,0,0,1,1,90,34,1024,0
14,resnext-saycam(S)-hv,random_color,0.548828125,0.49761009216308594,0.015550315380096436,above_below,0,0,1,1,90,34,1024,0
15,resnext-saycam(S)-hv,different_shapes,0.5771484375,0.4940122663974762,0.015437883324921131,above_below,0,0,1,1,120,34,1024,0
16,resnext-saycam(S)-hv,split_text,0.669921875,0.4702409505844116,0.014695029705762863,above_below,0,0,1,1,120,34,1024,0
17,resnext-saycam(S)-hv,random_color,0.4873046875,0.49983879923820496,0.015619962476193905,above_below,0,0,1,1,120,34,1024,0
18,resnext-saycam(S)-hv,different_shapes,0.5654296875,0.495700478553772,0.015490639954805374,above_below,0,0,1,1,135,34,1024,0
19,resnext-saycam(S)-hv,split_text,0.6435546875,0.4789488911628723,0.01496715284883976,above_below,0,0,1,1,135,34,1024,0
