,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
0,resnext-saycam(S)-s,different_shapes,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,0,34,1024,False,1.1
1,resnext-saycam(S)-s,split_text,0.9951171875,0.06970632076263428,0.002178322523832321,above_below,0,0,1,1,0,34,1024,False,1.1
2,resnext-saycam(S)-s,random_color,0.9931640625,0.08239664882421494,0.0025748952757567167,above_below,0,0,1,1,0,34,1024,False,1.1
3,resnext-saycam(S)-h,different_shapes,0.998046875,0.04415099322795868,0.0013797185383737087,above_below,0,0,1,1,0,34,1024,False,1.1
4,resnext-saycam(S)-h,split_text,0.9892578125,0.10308633744716644,0.0032214480452239513,above_below,0,0,1,1,0,34,1024,False,1.1
5,resnext-saycam(S)-h,random_color,0.9873046875,0.11195597797632217,0.003498624311760068,above_below,0,0,1,1,0,34,1024,False,1.1
6,resnext-saycam(S)-v,different_shapes,0.4658203125,0.4988303780555725,0.015588449314236641,above_below,0,0,1,1,0,34,1024,False,1.1
7,resnext-saycam(S)-v,split_text,0.4833984375,0.49972429871559143,0.015616384334862232,above_below,0,0,1,1,0,34,1024,False,1.1
8,resnext-saycam(S)-v,random_color,0.419921875,0.4935458302497864,0.015423307195305824,above_below,0,0,1,1,0,34,1024,False,1.1
9,resnext-saycam(S)-hv,different_shapes,0.7197265625,0.4491327702999115,0.014035399071872234,above_below,0,0,1,1,0,34,1024,False,1.1
10,resnext-saycam(S)-hv,split_text,0.6494140625,0.477153480052948,0.014911046251654625,above_below,0,0,1,1,0,34,1024,False,1.1
11,resnext-saycam(S)-hv,random_color,0.65234375,0.47622618079185486,0.014882068149745464,above_below,0,0,1,1,0,34,1024,False,1.1
12,resnext-saycam(S)-s,different_shapes,0.97265625,0.163083016872406,0.005096344277262688,above_below,0,0,1,1,30,34,1024,False,1.1
13,resnext-saycam(S)-s,split_text,0.9560546875,0.20497345924377441,0.0064054206013679504,above_below,0,0,1,1,30,34,1024,False,1.1
14,resnext-saycam(S)-s,random_color,0.98046875,0.13838273286819458,0.004324460402131081,above_below,0,0,1,1,30,34,1024,False,1.1
