,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
0,resnext-saycam(S)-s,different_shapes,0.9384765625,0.24028795957565308,0.007508998736739159,above_below,0,0,1,1,0,34,1024,False,ends
1,resnext-saycam(S)-s,split_text,0.8466796875,0.36029598116874695,0.011259249411523342,above_below,0,0,1,1,0,34,1024,False,ends
2,resnext-saycam(S)-s,random_color,0.9599609375,0.19605085253715515,0.0061265891417860985,above_below,0,0,1,1,0,34,1024,False,ends
3,resnext-saycam(S)-h,different_shapes,0.9658203125,0.1816904991865158,0.005677828099578619,above_below,0,0,1,1,0,34,1024,False,ends
4,resnext-saycam(S)-h,split_text,0.8955078125,0.305897980928421,0.009559311904013157,above_below,0,0,1,1,0,34,1024,False,ends
5,resnext-saycam(S)-h,random_color,0.888671875,0.31453803181648254,0.00982931349426508,above_below,0,0,1,1,0,34,1024,False,ends
6,resnext-saycam(S)-v,different_shapes,0.052734375,0.22350271046161652,0.006984459701925516,above_below,0,0,1,1,0,34,1024,False,ends
7,resnext-saycam(S)-v,split_text,0.072265625,0.25892722606658936,0.008091475814580917,above_below,0,0,1,1,0,34,1024,False,ends
8,resnext-saycam(S)-v,random_color,0.0634765625,0.24381814897060394,0.007619317155331373,above_below,0,0,1,1,0,34,1024,False,ends
9,resnext-saycam(S)-hv,different_shapes,0.5029296875,0.49999141693115234,0.01562473177909851,above_below,0,0,1,1,0,34,1024,False,ends
10,resnext-saycam(S)-hv,split_text,0.3935546875,0.4885380268096924,0.015266813337802887,above_below,0,0,1,1,0,34,1024,False,ends
11,resnext-saycam(S)-hv,random_color,0.4833984375,0.49972429871559143,0.015616384334862232,above_below,0,0,1,1,0,34,1024,False,ends
12,resnext-saycam(S)-s,different_shapes,0.666015625,0.471634179353714,0.014738568104803562,above_below,0,0,1,1,30,34,1024,False,ends
13,resnext-saycam(S)-s,split_text,0.646484375,0.4780610203742981,0.014939406886696815,above_below,0,0,1,1,30,34,1024,False,ends
14,resnext-saycam(S)-s,random_color,0.748046875,0.43413448333740234,0.013566702604293823,above_below,0,0,1,1,30,34,1024,False,ends
15,resnext-saycam(S)-h,different_shapes,0.806640625,0.3949322998523712,0.0123416343703866,above_below,0,0,1,1,30,34,1024,False,ends
16,resnext-saycam(S)-h,split_text,0.5732421875,0.49460649490356445,0.01545645296573639,above_below,0,0,1,1,30,34,1024,False,ends
17,resnext-saycam(S)-h,random_color,0.6904296875,0.46231648325920105,0.014447390101850033,above_below,0,0,1,1,30,34,1024,False,ends
18,resnext-saycam(S)-v,different_shapes,0.1484375,0.3555331230163574,0.01111041009426117,above_below,0,0,1,1,30,34,1024,False,ends
19,resnext-saycam(S)-v,split_text,0.353515625,0.4780610203742981,0.014939406886696815,above_below,0,0,1,1,30,34,1024,False,ends
20,resnext-saycam(S)-v,random_color,0.09375,0.2914806008338928,0.00910876877605915,above_below,0,0,1,1,30,34,1024,False,ends
21,resnext-saycam(S)-hv,different_shapes,0.49609375,0.4999847412109375,0.015624523162841797,above_below,0,0,1,1,30,34,1024,False,ends
22,resnext-saycam(S)-hv,split_text,0.4873046875,0.49983879923820496,0.015619962476193905,above_below,0,0,1,1,30,34,1024,False,ends
23,resnext-saycam(S)-hv,random_color,0.44921875,0.49741458892822266,0.015544205904006958,above_below,0,0,1,1,30,34,1024,False,ends
24,resnext-saycam(S)-s,different_shapes,0.2958984375,0.456445574760437,0.014263924211263657,above_below,0,0,1,1,45,34,1024,False,ends
25,resnext-saycam(S)-s,split_text,0.521484375,0.49953821301460266,0.015610569156706333,above_below,0,0,1,1,45,34,1024,False,ends
26,resnext-saycam(S)-s,random_color,0.3125,0.4635123908519745,0.014484762214124203,above_below,0,0,1,1,45,34,1024,False,ends
27,resnext-saycam(S)-h,different_shapes,0.486328125,0.499813050031662,0.015619157813489437,above_below,0,0,1,1,45,34,1024,False,ends
28,resnext-saycam(S)-h,split_text,0.5244140625,0.49940359592437744,0.015606362372636795,above_below,0,0,1,1,45,34,1024,False,ends
29,resnext-saycam(S)-h,random_color,0.3271484375,0.4691719710826874,0.01466162409633398,above_below,0,0,1,1,45,34,1024,False,ends
30,resnext-saycam(S)-v,different_shapes,0.2568359375,0.4368881285190582,0.01365275401622057,above_below,0,0,1,1,45,34,1024,False,ends
31,resnext-saycam(S)-v,split_text,0.431640625,0.4953049421310425,0.015478279441595078,above_below,0,0,1,1,45,34,1024,False,ends
32,resnext-saycam(S)-v,random_color,0.203125,0.4023247957229614,0.012572649866342545,above_below,0,0,1,1,45,34,1024,False,ends
33,resnext-saycam(S)-hv,different_shapes,0.53515625,0.4987625181674957,0.015586328692734241,above_below,0,0,1,1,45,34,1024,False,ends
34,resnext-saycam(S)-hv,split_text,0.5576171875,0.4966691732406616,0.015520911663770676,above_below,0,0,1,1,45,34,1024,False,ends
35,resnext-saycam(S)-hv,random_color,0.4658203125,0.4988303780555725,0.015588449314236641,above_below,0,0,1,1,45,34,1024,False,ends
36,resnext-saycam(S)-s,different_shapes,0.1708984375,0.37642019987106323,0.011763131245970726,above_below,0,0,1,1,60,34,1024,False,ends
37,resnext-saycam(S)-s,split_text,0.3798828125,0.48535746335983276,0.015167420729994774,above_below,0,0,1,1,60,34,1024,False,ends
38,resnext-saycam(S)-s,random_color,0.162109375,0.368551105260849,0.011517222039401531,above_below,0,0,1,1,60,34,1024,False,ends
39,resnext-saycam(S)-h,different_shapes,0.0419921875,0.20057129859924316,0.006267853081226349,above_below,0,0,1,1,60,34,1024,False,ends
40,resnext-saycam(S)-h,split_text,0.35546875,0.4786550998687744,0.0149579718708992,above_below,0,0,1,1,60,34,1024,False,ends
41,resnext-saycam(S)-h,random_color,0.037109375,0.18902981281280518,0.005907181650400162,above_below,0,0,1,1,60,34,1024,False,ends
42,resnext-saycam(S)-v,different_shapes,0.3994140625,0.48977798223495483,0.015305561944842339,above_below,0,0,1,1,60,34,1024,False,ends
43,resnext-saycam(S)-v,split_text,0.5390625,0.49847179651260376,0.015577243641018867,above_below,0,0,1,1,60,34,1024,False,ends
44,resnext-saycam(S)-v,random_color,0.37890625,0.485114723443985,0.01515983510762453,above_below,0,0,1,1,60,34,1024,False,ends
45,resnext-saycam(S)-hv,different_shapes,0.51953125,0.49961838126182556,0.015613074414432049,above_below,0,0,1,1,60,34,1024,False,ends
46,resnext-saycam(S)-hv,split_text,0.568359375,0.4953049421310425,0.015478279441595078,above_below,0,0,1,1,60,34,1024,False,ends
47,resnext-saycam(S)-hv,random_color,0.435546875,0.49582839012145996,0.015494637191295624,above_below,0,0,1,1,60,34,1024,False,ends
48,resnext-saycam(S)-s,different_shapes,0.0791015625,0.2698972225189209,0.008434288203716278,above_below,0,0,1,1,90,34,1024,False,ends
49,resnext-saycam(S)-s,split_text,0.10546875,0.3071564733982086,0.00959863979369402,above_below,0,0,1,1,90,34,1024,False,ends
50,resnext-saycam(S)-s,random_color,0.0654296875,0.24728251993656158,0.0077275787480175495,above_below,0,0,1,1,90,34,1024,False,ends
51,resnext-saycam(S)-h,different_shapes,0.00390625,0.06237781047821045,0.0019493065774440765,above_below,0,0,1,1,90,34,1024,False,ends
52,resnext-saycam(S)-h,split_text,0.0126953125,0.11195597797632217,0.003498624311760068,above_below,0,0,1,1,90,34,1024,False,ends
53,resnext-saycam(S)-h,random_color,0.0146484375,0.12014100700616837,0.0037544064689427614,above_below,0,0,1,1,90,34,1024,False,ends
54,resnext-saycam(S)-v,different_shapes,0.80078125,0.3994128704071045,0.012481652200222015,above_below,0,0,1,1,90,34,1024,False,ends
55,resnext-saycam(S)-v,split_text,0.79296875,0.40517812967300415,0.01266181655228138,above_below,0,0,1,1,90,34,1024,False,ends
56,resnext-saycam(S)-v,random_color,0.638671875,0.48038536310195923,0.015012042596936226,above_below,0,0,1,1,90,34,1024,False,ends
