,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose
0,resnext-saycam(S)-hv,different_shapes,0.6357421875,0.48122143745422363,0.015038169920444489,above_below,0,0,1,1,0,34,1024,True
1,resnext-saycam(S)-hv,split_text,0.6962890625,0.45985934138298035,0.014370604418218136,above_below,0,0,1,1,0,34,1024,True
2,resnext-saycam(S)-hv,random_color,0.5517578125,0.497313916683197,0.015541059896349907,above_below,0,0,1,1,0,34,1024,True
3,resnext-saycam(S)-hv,different_shapes,0.6787109375,0.4669715166091919,0.014592859894037247,above_below,0,0,1,1,30,34,1024,True
4,resnext-saycam(S)-hv,split_text,0.7978515625,0.4016023576259613,0.01255007367581129,above_below,0,0,1,1,30,34,1024,True
5,resnext-saycam(S)-hv,random_color,0.615234375,0.4865398705005646,0.015204370953142643,above_below,0,0,1,1,30,34,1024,True
6,resnext-saycam(S)-hv,different_shapes,0.60546875,0.48874977231025696,0.01527343038469553,above_below,0,0,1,1,45,34,1024,True
7,resnext-saycam(S)-hv,split_text,0.7255859375,0.4462185502052307,0.01394432969391346,above_below,0,0,1,1,45,34,1024,True
8,resnext-saycam(S)-hv,random_color,0.6083984375,0.488108366727829,0.015253386460244656,above_below,0,0,1,1,45,34,1024,True
9,resnext-saycam(S)-hv,different_shapes,0.51953125,0.49961838126182556,0.015613074414432049,above_below,0,0,1,1,60,34,1024,True
10,resnext-saycam(S)-hv,split_text,0.658203125,0.474311888217926,0.014822246506810188,above_below,0,0,1,1,60,34,1024,True
11,resnext-saycam(S)-hv,random_color,0.546875,0.4977978765964508,0.015556183643639088,above_below,0,0,1,1,60,34,1024,True
12,resnext-saycam(S)-hv,different_shapes,0.6982421875,0.459020733833313,0.014344397932291031,above_below,0,0,1,1,90,34,1024,True
13,resnext-saycam(S)-hv,split_text,0.693359375,0.461098849773407,0.014409339055418968,above_below,0,0,1,1,90,34,1024,True
14,resnext-saycam(S)-hv,random_color,0.6845703125,0.464686781167984,0.0145214619114995,above_below,0,0,1,1,90,34,1024,True
15,resnext-saycam(S)-hv,different_shapes,0.4638671875,0.49869272112846375,0.015584147535264492,above_below,0,0,1,1,120,34,1024,True
16,resnext-saycam(S)-hv,split_text,0.533203125,0.4988963305950165,0.015590510331094265,above_below,0,0,1,1,120,34,1024,True
17,resnext-saycam(S)-hv,random_color,0.4716796875,0.4991973042488098,0.015599915757775307,above_below,0,0,1,1,120,34,1024,True
18,resnext-saycam(S)-hv,different_shapes,0.4599609375,0.49839428067207336,0.015574821271002293,above_below,0,0,1,1,135,34,1024,True
19,resnext-saycam(S)-hv,split_text,0.580078125,0.4935458302497864,0.015423307195305824,above_below,0,0,1,1,135,34,1024,True
20,resnext-saycam(S)-hv,random_color,0.4326171875,0.49543875455856323,0.015482461079955101,above_below,0,0,1,1,135,34,1024,True
21,resnext-saycam(S)-hv,different_shapes,0.517578125,0.4996909201145172,0.015615341253578663,above_below,0,0,1,1,150,34,1024,True
22,resnext-saycam(S)-hv,split_text,0.646484375,0.4780610203742981,0.014939406886696815,above_below,0,0,1,1,150,34,1024,True
23,resnext-saycam(S)-hv,random_color,0.474609375,0.49935489892959595,0.015604840591549873,above_below,0,0,1,1,150,34,1024,True
24,resnext-saycam(S)-hv,different_shapes,0.630859375,0.482572078704834,0.015080377459526062,above_below,0,0,1,4,0,34,1024,True
25,resnext-saycam(S)-hv,split_text,0.673828125,0.46881103515625,0.014650344848632812,above_below,0,0,1,4,0,34,1024,True
26,resnext-saycam(S)-hv,random_color,0.51953125,0.49961838126182556,0.015613074414432049,above_below,0,0,1,4,0,34,1024,True
27,resnext-saycam(S)-hv,different_shapes,0.689453125,0.46271753311157227,0.014459922909736633,above_below,0,0,1,4,30,34,1024,True
28,resnext-saycam(S)-hv,split_text,0.8046875,0.3964410722255707,0.012388783507049084,above_below,0,0,1,4,30,34,1024,True
29,resnext-saycam(S)-hv,random_color,0.6318359375,0.48230621218681335,0.015072069130837917,above_below,0,0,1,4,30,34,1024,True
30,resnext-saycam(S)-hv,different_shapes,0.623046875,0.4846230149269104,0.01514446921646595,above_below,0,0,1,4,45,34,1024,True
31,resnext-saycam(S)-hv,split_text,0.755859375,0.4295765161514282,0.013424266129732132,above_below,0,0,1,4,45,34,1024,True
32,resnext-saycam(S)-hv,random_color,0.615234375,0.4865398705005646,0.015204370953142643,above_below,0,0,1,4,45,34,1024,True
33,resnext-saycam(S)-hv,different_shapes,0.5625,0.49607837200164795,0.015502449125051498,above_below,0,0,1,4,60,34,1024,True
34,resnext-saycam(S)-hv,split_text,0.65234375,0.47622618079185486,0.014882068149745464,above_below,0,0,1,4,60,34,1024,True
35,resnext-saycam(S)-hv,random_color,0.5673828125,0.49543875455856323,0.015482461079955101,above_below,0,0,1,4,60,34,1024,True
36,resnext-saycam(S)-hv,different_shapes,0.6806640625,0.46621936559677124,0.014569355174899101,above_below,0,0,1,4,90,34,1024,True
37,resnext-saycam(S)-hv,split_text,0.662109375,0.47299107909202576,0.014780971221625805,above_below,0,0,1,4,90,34,1024,True
