,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose
0,resnext-saycam(S)-s,different_shapes,0.8232421875,0.3814636170864105,0.011920738033950329,above_below,0,0,1,1,0,34,1024,True
1,resnext-saycam(S)-s,split_text,0.880859375,0.32395389676094055,0.010123559273779392,above_below,0,0,1,1,0,34,1024,True
2,resnext-saycam(S)-s,random_color,0.8486328125,0.3584064245223999,0.011200200766324997,above_below,0,0,1,1,0,34,1024,True
3,resnext-saycam(S)-s,different_shapes,0.9658203125,0.1816904991865158,0.005677828099578619,above_below,0,0,1,1,30,34,1024,True
4,resnext-saycam(S)-s,split_text,0.9375,0.24206146597862244,0.007564420811831951,above_below,0,0,1,1,30,34,1024,True
5,resnext-saycam(S)-s,random_color,0.951171875,0.2155085653066635,0.006734642665833235,above_below,0,0,1,1,30,34,1024,True
6,resnext-saycam(S)-s,different_shapes,0.96484375,0.18417461216449738,0.005755456630140543,above_below,0,0,1,1,45,34,1024,True
7,resnext-saycam(S)-s,split_text,0.939453125,0.2384972721338272,0.0074530397541821,above_below,0,0,1,1,45,34,1024,True
8,resnext-saycam(S)-s,random_color,0.931640625,0.25236159563064575,0.00788629986345768,above_below,0,0,1,1,45,34,1024,True
9,resnext-saycam(S)-s,different_shapes,0.9755859375,0.15433086454868317,0.004822839517146349,above_below,0,0,1,1,60,34,1024,True
10,resnext-saycam(S)-s,split_text,0.9697265625,0.17133872210979462,0.005354335065931082,above_below,0,0,1,1,60,34,1024,True
11,resnext-saycam(S)-s,random_color,0.982421875,0.131412073969841,0.004106627311557531,above_below,0,0,1,1,60,34,1024,True
12,resnext-saycam(S)-s,different_shapes,0.9853515625,0.12014100700616837,0.0037544064689427614,above_below,0,0,1,1,90,34,1024,True
13,resnext-saycam(S)-s,split_text,0.99609375,0.06237781047821045,0.0019493065774440765,above_below,0,0,1,1,90,34,1024,True
14,resnext-saycam(S)-s,random_color,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,90,34,1024,True
15,resnext-saycam(S)-s,different_shapes,0.927734375,0.25892722606658936,0.008091475814580917,above_below,0,0,1,1,120,34,1024,True
16,resnext-saycam(S)-s,split_text,0.9638671875,0.1866205632686615,0.005831892602145672,above_below,0,0,1,1,120,34,1024,True
17,resnext-saycam(S)-s,random_color,0.9892578125,0.10308633744716644,0.0032214480452239513,above_below,0,0,1,1,120,34,1024,True
18,resnext-saycam(S)-s,different_shapes,0.966796875,0.17916661500930786,0.005598956719040871,above_below,0,0,1,1,135,34,1024,True
19,resnext-saycam(S)-s,split_text,0.9375,0.24206146597862244,0.007564420811831951,above_below,0,0,1,1,135,34,1024,True
20,resnext-saycam(S)-s,random_color,0.974609375,0.157308429479599,0.004915888421237469,above_below,0,0,1,1,135,34,1024,True
21,resnext-saycam(S)-s,different_shapes,0.9423828125,0.23301813006401062,0.007281816564500332,above_below,0,0,1,1,150,34,1024,True
22,resnext-saycam(S)-s,split_text,0.8525390625,0.3545648157596588,0.011080150492489338,above_below,0,0,1,1,150,34,1024,True
23,resnext-saycam(S)-s,random_color,0.9384765625,0.24028795957565308,0.007508998736739159,above_below,0,0,1,1,150,34,1024,True
24,resnext-saycam(S)-s,different_shapes,0.810546875,0.39186814427375793,0.012245879508554935,above_below,0,0,1,4,0,34,1024,True
25,resnext-saycam(S)-s,split_text,0.8671875,0.3393719792366028,0.010605374351143837,above_below,0,0,1,4,0,34,1024,True
26,resnext-saycam(S)-s,random_color,0.7822265625,0.4127325713634491,0.012897892855107784,above_below,0,0,1,4,0,34,1024,True
27,resnext-saycam(S)-s,different_shapes,0.9619140625,0.19140376150608063,0.00598136754706502,above_below,0,0,1,4,30,34,1024,True
28,resnext-saycam(S)-s,split_text,0.9169921875,0.27589401602745056,0.00862168800085783,above_below,0,0,1,4,30,34,1024,True
29,resnext-saycam(S)-s,random_color,0.9482421875,0.22153767943382263,0.006923052482306957,above_below,0,0,1,4,30,34,1024,True
30,resnext-saycam(S)-s,different_shapes,0.9580078125,0.20057129859924316,0.006267853081226349,above_below,0,0,1,4,45,34,1024,True
31,resnext-saycam(S)-s,split_text,0.9375,0.24206146597862244,0.007564420811831951,above_below,0,0,1,4,45,34,1024,True
32,resnext-saycam(S)-s,random_color,0.953125,0.21137107908725739,0.006605346221476793,above_below,0,0,1,4,45,34,1024,True
33,resnext-saycam(S)-s,different_shapes,0.98046875,0.13838273286819458,0.004324460402131081,above_below,0,0,1,4,60,34,1024,True
34,resnext-saycam(S)-s,split_text,0.978515625,0.144992396235466,0.004531012382358313,above_below,0,0,1,4,60,34,1024,True
35,resnext-saycam(S)-s,random_color,0.9814453125,0.13494595885276794,0.004217061214148998,above_below,0,0,1,4,60,34,1024,True
36,resnext-saycam(S)-s,different_shapes,0.99609375,0.06237781047821045,0.0019493065774440765,above_below,0,0,1,4,90,34,1024,True
37,resnext-saycam(S)-s,split_text,0.9970703125,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,4,90,34,1024,True
38,resnext-saycam(S)-s,random_color,0.9931640625,0.08239664882421494,0.0025748952757567167,above_below,0,0,1,4,90,34,1024,True
39,resnext-saycam(S)-s,different_shapes,0.94140625,0.2348627746105194,0.0073394617065787315,above_below,0,0,1,4,120,34,1024,True
40,resnext-saycam(S)-s,split_text,0.9716796875,0.16588632762432098,0.005183947738260031,above_below,0,0,1,4,120,34,1024,True
41,resnext-saycam(S)-s,random_color,0.9931640625,0.08239664882421494,0.0025748952757567167,above_below,0,0,1,4,120,34,1024,True
42,resnext-saycam(S)-s,different_shapes,0.9609375,0.19374370574951172,0.006054490804672241,above_below,0,0,1,4,135,34,1024,True
43,resnext-saycam(S)-s,split_text,0.93359375,0.24899087846279144,0.007780964951962233,above_below,0,0,1,4,135,34,1024,True
44,resnext-saycam(S)-s,random_color,0.9755859375,0.15433086454868317,0.004822839517146349,above_below,0,0,1,4,135,34,1024,True
45,resnext-saycam(S)-s,different_shapes,0.951171875,0.2155085653066635,0.006734642665833235,above_below,0,0,1,4,150,34,1024,True
46,resnext-saycam(S)-s,split_text,0.8115234375,0.3910922408103943,0.012221632525324821,above_below,0,0,1,4,150,34,1024,True
47,resnext-saycam(S)-s,random_color,0.921875,0.2683681845664978,0.008386505767703056,above_below,0,0,1,4,150,34,1024,True
48,resnext-saycam(S)-s,different_shapes,0.7939453125,0.40447020530700684,0.012639693915843964,above_below,0,0,2,1,0,34,1024,True
49,resnext-saycam(S)-s,split_text,0.84765625,0.35935378074645996,0.011229805648326874,above_below,0,0,2,1,0,34,1024,True
50,resnext-saycam(S)-s,random_color,0.7998046875,0.4001464247703552,0.0125045757740736,above_below,0,0,2,1,0,34,1024,True
51,resnext-saycam(S)-s,different_shapes,0.9287109375,0.2573070824146271,0.008040846325457096,above_below,0,0,2,1,30,34,1024,True
52,resnext-saycam(S)-s,split_text,0.89453125,0.3071564733982086,0.00959863979369402,above_below,0,0,2,1,30,34,1024,True
53,resnext-saycam(S)-s,random_color,0.9248046875,0.263706237077713,0.008240819908678532,above_below,0,0,2,1,30,34,1024,True
54,resnext-saycam(S)-s,different_shapes,0.92578125,0.26212653517723083,0.008191454224288464,above_below,0,0,2,1,45,34,1024,True
55,resnext-saycam(S)-s,split_text,0.9150390625,0.2788235545158386,0.008713236078619957,above_below,0,0,2,1,45,34,1024,True
