,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,transpose_stimuli,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,mobilenet-saycam(S),different_shapes,0.787109375,0.4093509614467621,0.012792217545211315,above_below,0,0,1,0,1,,34,1024,5
1,mobilenet-saycam(S),split_text,0.171875,0.37727177143096924,0.011789742857217789,above_below,0,0,1,0,1,,34,1024,5
2,mobilenet-saycam(S),random_color,0.7392578125,0.43903952836990356,0.013719985261559486,above_below,0,0,1,0,1,,34,1024,5
3,resnext-saycam(S),different_shapes,0.955078125,0.20713256299495697,0.006472892593592405,above_below,0,0,1,0,1,,34,1024,5
4,resnext-saycam(S),split_text,0.2099609375,0.40728041529655457,0.01272751297801733,above_below,0,0,1,0,1,,34,1024,5
5,resnext-saycam(S),random_color,0.9482421875,0.22153767943382263,0.006923052482306957,above_below,0,0,1,0,1,,34,1024,5
6,mobilenet-saycam(S),different_shapes,0.703125,0.45688098669052124,0.014277530834078789,above_below,0,0,1,0,1,30,34,1024,5
7,mobilenet-saycam(S),split_text,0.130859375,0.33724650740623474,0.010538953356444836,above_below,0,0,1,0,1,30,34,1024,5
8,mobilenet-saycam(S),random_color,0.70703125,0.45512422919273376,0.01422263216227293,above_below,0,0,1,0,1,30,34,1024,5
9,resnext-saycam(S),different_shapes,0.8125,0.3903123736381531,0.012197261676192284,above_below,0,0,1,0,1,30,34,1024,5
10,resnext-saycam(S),split_text,0.193359375,0.3949322998523712,0.0123416343703866,above_below,0,0,1,0,1,30,34,1024,5
11,resnext-saycam(S),random_color,0.8115234375,0.3910922408103943,0.012221632525324821,above_below,0,0,1,0,1,30,34,1024,5
12,mobilenet-saycam(S),different_shapes,0.5849609375,0.4927287697792053,0.015397774055600166,above_below,0,0,1,0,1,45,34,1024,5
13,mobilenet-saycam(S),split_text,0.10546875,0.3071564733982086,0.00959863979369402,above_below,0,0,1,0,1,45,34,1024,5
14,mobilenet-saycam(S),random_color,0.61328125,0.4869983196258545,0.015218697488307953,above_below,0,0,1,0,1,45,34,1024,5
15,resnext-saycam(S),different_shapes,0.580078125,0.4935458302497864,0.015423307195305824,above_below,0,0,1,0,1,45,34,1024,5
16,resnext-saycam(S),split_text,0.1279296875,0.3340114951133728,0.0104378592222929,above_below,0,0,1,0,1,45,34,1024,5
17,resnext-saycam(S),random_color,0.5615234375,0.49620044231414795,0.015506263822317123,above_below,0,0,1,0,1,45,34,1024,5
18,mobilenet-saycam(S),different_shapes,0.5107421875,0.49988460540771484,0.015621393918991089,above_below,0,0,1,0,1,60,34,1024,5
19,mobilenet-saycam(S),split_text,0.083984375,0.2773643732070923,0.008667636662721634,above_below,0,0,1,0,1,60,34,1024,5
20,mobilenet-saycam(S),random_color,0.583984375,0.492896169424057,0.015403005294501781,above_below,0,0,1,0,1,60,34,1024,5
21,resnext-saycam(S),different_shapes,0.294921875,0.45600762963294983,0.014250238426029682,above_below,0,0,1,0,1,60,34,1024,5
22,resnext-saycam(S),split_text,0.0576171875,0.23301813006401062,0.007281816564500332,above_below,0,0,1,0,1,60,34,1024,5
23,resnext-saycam(S),random_color,0.2998046875,0.4581722915172577,0.014317884109914303,above_below,0,0,1,0,1,60,34,1024,5
24,mobilenet-saycam(S),different_shapes,0.8251953125,0.3797999620437622,0.011868748813867569,above_below,0,0,1,0,4,,34,1024,5
