,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,transpose_stimuli,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-saycam(S)-h,different_shapes,1.0,0.0,0.0,above_below,0,0,1,0,1,,34,1024,0
1,resnext-saycam(S)-h,split_text,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,0,1,,34,1024,0
2,resnext-saycam(S)-h,random_color,0.994140625,0.07632196694612503,0.002385061467066407,above_below,0,0,1,0,1,,34,1024,0
3,resnext-saycam(S)-v,different_shapes,0.3740234375,0.483869731426239,0.01512092910706997,above_below,0,0,1,0,1,,34,1024,0
4,resnext-saycam(S)-v,split_text,0.54296875,0.4981502592563629,0.015567195601761341,above_below,0,0,1,0,1,,34,1024,0
5,resnext-saycam(S)-v,random_color,0.37890625,0.485114723443985,0.01515983510762453,above_below,0,0,1,0,1,,34,1024,0
6,resnext-saycam(S)-h,different_shapes,0.9736328125,0.16022472083568573,0.005007022526115179,above_below,0,0,1,0,1,30,34,1024,0
7,resnext-saycam(S)-h,split_text,0.9384765625,0.24028795957565308,0.007508998736739159,above_below,0,0,1,0,1,30,34,1024,0
8,resnext-saycam(S)-h,random_color,0.9453125,0.2273692488670349,0.007105289027094841,above_below,0,0,1,0,1,30,34,1024,0
9,resnext-saycam(S)-v,different_shapes,0.54296875,0.4981502592563629,0.015567195601761341,above_below,0,0,1,0,1,30,34,1024,0
10,resnext-saycam(S)-v,split_text,0.8095703125,0.39264005422592163,0.012270001694560051,above_below,0,0,1,0,1,30,34,1024,0
11,resnext-saycam(S)-v,random_color,0.5693359375,0.49516919255256653,0.015474037267267704,above_below,0,0,1,0,1,30,34,1024,0
12,resnext-saycam(S)-h,different_shapes,0.9052734375,0.29283687472343445,0.009151152335107327,above_below,0,0,1,0,1,45,34,1024,0
13,resnext-saycam(S)-h,split_text,0.9072265625,0.2901146709918976,0.0090660834684968,above_below,0,0,1,0,1,45,34,1024,0
14,resnext-saycam(S)-h,random_color,0.8583984375,0.3486410081386566,0.01089503150433302,above_below,0,0,1,0,1,45,34,1024,0
15,resnext-saycam(S)-v,different_shapes,0.66796875,0.4709421396255493,0.014716941863298416,above_below,0,0,1,0,1,45,34,1024,0
16,resnext-saycam(S)-v,split_text,0.865234375,0.3414730727672577,0.010671033523976803,above_below,0,0,1,0,1,45,34,1024,0
17,resnext-saycam(S)-v,random_color,0.75390625,0.4307337999343872,0.0134604312479496,above_below,0,0,1,0,1,45,34,1024,0
18,resnext-saycam(S)-h,different_shapes,0.73828125,0.4395703077316284,0.013736572116613388,above_below,0,0,1,0,1,60,34,1024,0
19,resnext-saycam(S)-h,split_text,0.830078125,0.3755641579627991,0.011736379936337471,above_below,0,0,1,0,1,60,34,1024,0
20,resnext-saycam(S)-h,random_color,0.599609375,0.48997750878334045,0.01531179714947939,above_below,0,0,1,0,1,60,34,1024,0
21,resnext-saycam(S)-v,different_shapes,0.8037109375,0.3971897065639496,0.012412178330123425,above_below,0,0,1,0,1,60,34,1024,0
22,resnext-saycam(S)-v,split_text,0.8603515625,0.34662190079689026,0.01083193439990282,above_below,0,0,1,0,1,60,34,1024,0
23,resnext-saycam(S)-v,random_color,0.8310546875,0.37470361590385437,0.011709487996995449,above_below,0,0,1,0,1,60,34,1024,0
24,resnext-saycam(S)-h,different_shapes,0.9990234375,0.0312347374856472,0.000976085546426475,above_below,0,0,1,0,4,,34,1024,0
25,resnext-saycam(S)-h,split_text,0.9931640625,0.08239664882421494,0.0025748952757567167,above_below,0,0,1,0,4,,34,1024,0
26,resnext-saycam(S)-h,random_color,0.99609375,0.06237781047821045,0.0019493065774440765,above_below,0,0,1,0,4,,34,1024,0
27,resnext-saycam(S)-v,different_shapes,0.2490234375,0.4324474036693573,0.013513981364667416,above_below,0,0,1,0,4,,34,1024,0
28,resnext-saycam(S)-v,split_text,0.4130859375,0.4923880100250244,0.015387125313282013,above_below,0,0,1,0,4,,34,1024,0
29,resnext-saycam(S)-v,random_color,0.2421875,0.4284071922302246,0.013387724757194519,above_below,0,0,1,0,4,,34,1024,0
30,resnext-saycam(S)-h,different_shapes,0.982421875,0.131412073969841,0.004106627311557531,above_below,0,0,1,0,4,30,34,1024,0
31,resnext-saycam(S)-h,split_text,0.9453125,0.2273692488670349,0.007105289027094841,above_below,0,0,1,0,4,30,34,1024,0
32,resnext-saycam(S)-h,random_color,0.9501953125,0.21754121780395508,0.006798163056373596,above_below,0,0,1,0,4,30,34,1024,0
33,resnext-saycam(S)-v,different_shapes,0.560546875,0.49632054567337036,0.015510017052292824,above_below,0,0,1,0,4,30,34,1024,0
34,resnext-saycam(S)-v,split_text,0.8017578125,0.3986755907535553,0.012458612211048603,above_below,0,0,1,0,4,30,34,1024,0
35,resnext-saycam(S)-v,random_color,0.5751953125,0.4943133294582367,0.015447291545569897,above_below,0,0,1,0,4,30,34,1024,0
36,resnext-saycam(S)-h,different_shapes,0.935546875,0.24555838108062744,0.0076736994087696075,above_below,0,0,1,0,4,45,34,1024,0
37,resnext-saycam(S)-h,split_text,0.88671875,0.31693628430366516,0.009904258884489536,above_below,0,0,1,0,4,45,34,1024,0
38,resnext-saycam(S)-h,random_color,0.8671875,0.3393719792366028,0.010605374351143837,above_below,0,0,1,0,4,45,34,1024,0
39,resnext-saycam(S)-v,different_shapes,0.693359375,0.461098849773407,0.014409339055418968,above_below,0,0,1,0,4,45,34,1024,0
40,resnext-saycam(S)-v,split_text,0.8701171875,0.33617445826530457,0.010505451820790768,above_below,0,0,1,0,4,45,34,1024,0
41,resnext-saycam(S)-v,random_color,0.7412109375,0.43796950578689575,0.013686547055840492,above_below,0,0,1,0,4,45,34,1024,0
42,resnext-saycam(S)-h,different_shapes,0.65234375,0.47622618079185486,0.014882068149745464,above_below,0,0,1,0,4,60,34,1024,0
43,resnext-saycam(S)-h,split_text,0.759765625,0.4272257387638092,0.013350804336369038,above_below,0,0,1,0,4,60,34,1024,0
44,resnext-saycam(S)-h,random_color,0.4970703125,0.49999141693115234,0.01562473177909851,above_below,0,0,1,0,4,60,34,1024,0
45,resnext-saycam(S)-v,different_shapes,0.7861328125,0.4100341498851776,0.0128135671839118,above_below,0,0,1,0,4,60,34,1024,0
46,resnext-saycam(S)-v,split_text,0.8740234375,0.3318229615688324,0.010369467549026012,above_below,0,0,1,0,4,60,34,1024,0
47,resnext-saycam(S)-v,random_color,0.8779296875,0.32736700773239136,0.01023021899163723,above_below,0,0,1,0,4,60,34,1024,0
48,resnext-saycam(S)-h,different_shapes,0.10546875,0.3071564733982086,0.00959863979369402,above_below,0,0,1,1,1,,34,1024,0
49,resnext-saycam(S)-h,split_text,0.4443359375,0.4968918561935425,0.015527870506048203,above_below,0,0,1,1,1,,34,1024,0
50,resnext-saycam(S)-h,random_color,0.154296875,0.36123308539390564,0.011288533918559551,above_below,0,0,1,1,1,,34,1024,0
51,resnext-saycam(S)-v,different_shapes,0.9697265625,0.17133872210979462,0.005354335065931082,above_below,0,0,1,1,1,,34,1024,0
52,resnext-saycam(S)-v,split_text,0.9814453125,0.13494595885276794,0.004217061214148998,above_below,0,0,1,1,1,,34,1024,0
53,resnext-saycam(S)-v,random_color,0.9111328125,0.2845519483089447,0.008892248384654522,above_below,0,0,1,1,1,,34,1024,0
54,resnext-saycam(S)-h,different_shapes,0.64453125,0.4786550998687744,0.0149579718708992,above_below,0,0,1,1,1,30,34,1024,0
55,resnext-saycam(S)-h,split_text,0.81640625,0.3871525228023529,0.012098516337573528,above_below,0,0,1,1,1,30,34,1024,0
56,resnext-saycam(S)-h,random_color,0.5517578125,0.497313916683197,0.015541059896349907,above_below,0,0,1,1,1,30,34,1024,0
57,resnext-saycam(S)-v,different_shapes,0.677734375,0.4673440754413605,0.014604502357542515,above_below,0,0,1,1,1,30,34,1024,0
58,resnext-saycam(S)-v,split_text,0.828125,0.37727177143096924,0.011789742857217789,above_below,0,0,1,1,1,30,34,1024,0
59,resnext-saycam(S)-v,random_color,0.7822265625,0.4127325713634491,0.012897892855107784,above_below,0,0,1,1,1,30,34,1024,0
60,resnext-saycam(S)-h,different_shapes,0.876953125,0.3284910023212433,0.010265343822538853,above_below,0,0,1,1,1,45,34,1024,0
61,resnext-saycam(S)-h,split_text,0.9033203125,0.2955211102962494,0.009235034696757793,above_below,0,0,1,1,1,45,34,1024,0
62,resnext-saycam(S)-h,random_color,0.8720703125,0.3340114951133728,0.0104378592222929,above_below,0,0,1,1,1,45,34,1024,0
63,resnext-saycam(S)-v,different_shapes,0.6435546875,0.4789488911628723,0.01496715284883976,above_below,0,0,1,1,1,45,34,1024,0
64,resnext-saycam(S)-v,split_text,0.8232421875,0.3814636170864105,0.011920738033950329,above_below,0,0,1,1,1,45,34,1024,0
65,resnext-saycam(S)-v,random_color,0.732421875,0.44269636273384094,0.01383426133543253,above_below,0,0,1,1,1,45,34,1024,0
66,resnext-saycam(S)-h,different_shapes,0.955078125,0.20713256299495697,0.006472892593592405,above_below,0,0,1,1,1,60,34,1024,0
67,resnext-saycam(S)-h,split_text,0.9609375,0.19374370574951172,0.006054490804672241,above_below,0,0,1,1,1,60,34,1024,0
68,resnext-saycam(S)-h,random_color,0.9453125,0.2273692488670349,0.007105289027094841,above_below,0,0,1,1,1,60,34,1024,0
69,resnext-saycam(S)-v,different_shapes,0.5791015625,0.49370330572128296,0.015428228303790092,above_below,0,0,1,1,1,60,34,1024,0
70,resnext-saycam(S)-v,split_text,0.8388671875,0.36765339970588684,0.011489168740808964,above_below,0,0,1,1,1,60,34,1024,0
71,resnext-saycam(S)-v,random_color,0.578125,0.49385878443717957,0.015433087013661861,above_below,0,0,1,1,1,60,34,1024,0
72,resnext-saycam(S)-h,different_shapes,0.021484375,0.144992396235466,0.004531012382358313,above_below,0,0,1,1,4,,34,1024,0
73,resnext-saycam(S)-h,split_text,0.333984375,0.471634179353714,0.014738568104803562,above_below,0,0,1,1,4,,34,1024,0
74,resnext-saycam(S)-h,random_color,0.0498046875,0.21754121780395508,0.006798163056373596,above_below,0,0,1,1,4,,34,1024,0
75,resnext-saycam(S)-v,different_shapes,0.9794921875,0.141729474067688,0.00442904606461525,above_below,0,0,1,1,4,,34,1024,0
76,resnext-saycam(S)-v,split_text,0.9814453125,0.13494595885276794,0.004217061214148998,above_below,0,0,1,1,4,,34,1024,0
77,resnext-saycam(S)-v,random_color,0.9501953125,0.21754121780395508,0.006798163056373596,above_below,0,0,1,1,4,,34,1024,0
78,resnext-saycam(S)-h,different_shapes,0.5908203125,0.4916824996471405,0.01536507811397314,above_below,0,0,1,1,4,30,34,1024,0
79,resnext-saycam(S)-h,split_text,0.75390625,0.4307337999343872,0.0134604312479496,above_below,0,0,1,1,4,30,34,1024,0
80,resnext-saycam(S)-h,random_color,0.484375,0.4997557997703552,0.0156173687428236,above_below,0,0,1,1,4,30,34,1024,0
81,resnext-saycam(S)-v,different_shapes,0.748046875,0.43413448333740234,0.013566702604293823,above_below,0,0,1,1,4,30,34,1024,0
82,resnext-saycam(S)-v,split_text,0.875,0.33071890473365784,0.010334965772926807,above_below,0,0,1,1,4,30,34,1024,0
83,resnext-saycam(S)-v,random_color,0.828125,0.37727177143096924,0.011789742857217789,above_below,0,0,1,1,4,30,34,1024,0
84,resnext-saycam(S)-h,different_shapes,0.91796875,0.2744123339653015,0.008575385436415672,above_below,0,0,1,1,4,45,34,1024,0
85,resnext-saycam(S)-h,split_text,0.8857421875,0.3181241452693939,0.00994137953966856,above_below,0,0,1,1,4,45,34,1024,0
86,resnext-saycam(S)-h,random_color,0.876953125,0.3284910023212433,0.010265343822538853,above_below,0,0,1,1,4,45,34,1024,0
87,resnext-saycam(S)-v,different_shapes,0.689453125,0.46271753311157227,0.014459922909736633,above_below,0,0,1,1,4,45,34,1024,0
88,resnext-saycam(S)-v,split_text,0.8447265625,0.3621651530265808,0.01131766103208065,above_below,0,0,1,1,4,45,34,1024,0
89,resnext-saycam(S)-v,random_color,0.74609375,0.435244619846344,0.01360139437019825,above_below,0,0,1,1,4,45,34,1024,0
90,resnext-saycam(S)-h,different_shapes,0.96484375,0.18417461216449738,0.005755456630140543,above_below,0,0,1,1,4,60,34,1024,0
91,resnext-saycam(S)-h,split_text,0.9560546875,0.20497345924377441,0.0064054206013679504,above_below,0,0,1,1,4,60,34,1024,0
92,resnext-saycam(S)-h,random_color,0.9453125,0.2273692488670349,0.007105289027094841,above_below,0,0,1,1,4,60,34,1024,0
93,resnext-saycam(S)-v,different_shapes,0.5625,0.49607837200164795,0.015502449125051498,above_below,0,0,1,1,4,60,34,1024,0
94,resnext-saycam(S)-v,split_text,0.8359375,0.370332270860672,0.011572883464396,above_below,0,0,1,1,4,60,34,1024,0
95,resnext-saycam(S)-v,random_color,0.5595703125,0.4964386820793152,0.0155137088149786,above_below,0,0,1,1,4,60,34,1024,0
96,resnext-saycam(S)-h,different_shapes,0.8671875,0.3393719792366028,0.010605374351143837,above_below,0,0,2,0,1,,34,1024,0
97,resnext-saycam(S)-h,split_text,0.9853515625,0.12014100700616837,0.0037544064689427614,above_below,0,0,2,0,1,,34,1024,0
98,resnext-saycam(S)-h,random_color,0.986328125,0.11612474173307419,0.0036288981791585684,above_below,0,0,2,0,1,,34,1024,0
99,resnext-saycam(S)-v,different_shapes,0.478515625,0.49953821301460266,0.015610569156706333,above_below,0,0,2,0,1,,34,1024,0
100,resnext-saycam(S)-v,split_text,0.529296875,0.4991409480571747,0.015598154626786709,above_below,0,0,2,0,1,,34,1024,0
101,resnext-saycam(S)-v,random_color,0.369140625,0.482572078704834,0.015080377459526062,above_below,0,0,2,0,1,,34,1024,0
102,resnext-saycam(S)-h,different_shapes,0.72265625,0.4476875960826874,0.01399023737758398,above_below,0,0,2,0,1,30,34,1024,0
103,resnext-saycam(S)-h,split_text,0.84375,0.36309218406677246,0.01134663075208664,above_below,0,0,2,0,1,30,34,1024,0
104,resnext-saycam(S)-h,random_color,0.8955078125,0.305897980928421,0.009559311904013157,above_below,0,0,2,0,1,30,34,1024,0
105,resnext-saycam(S)-v,different_shapes,0.5029296875,0.49999141693115234,0.01562473177909851,above_below,0,0,2,0,1,30,34,1024,0
106,resnext-saycam(S)-v,split_text,0.6865234375,0.46390625834465027,0.014497070573270321,above_below,0,0,2,0,1,30,34,1024,0
107,resnext-saycam(S)-v,random_color,0.5224609375,0.4994952380657196,0.015609226189553738,above_below,0,0,2,0,1,30,34,1024,0
108,resnext-saycam(S)-h,different_shapes,0.66015625,0.47365596890449524,0.014801749028265476,above_below,0,0,2,0,1,45,34,1024,0
109,resnext-saycam(S)-h,split_text,0.7431640625,0.4368881285190582,0.01365275401622057,above_below,0,0,2,0,1,45,34,1024,0
110,resnext-saycam(S)-h,random_color,0.7900390625,0.40728041529655457,0.01272751297801733,above_below,0,0,2,0,1,45,34,1024,0
111,resnext-saycam(S)-v,different_shapes,0.5400390625,0.49839428067207336,0.015574821271002293,above_below,0,0,2,0,1,45,34,1024,0
112,resnext-saycam(S)-v,split_text,0.7392578125,0.43903952836990356,0.013719985261559486,above_below,0,0,2,0,1,45,34,1024,0
113,resnext-saycam(S)-v,random_color,0.6845703125,0.464686781167984,0.0145214619114995,above_below,0,0,2,0,1,45,34,1024,0
114,resnext-saycam(S)-h,different_shapes,0.5478515625,0.49770495295524597,0.015553279779851437,above_below,0,0,2,0,1,60,34,1024,0
