,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,transpose_stimuli,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-saycam(S)-hv,different_shapes,0.689453125,0.46271753311157227,0.014459922909736633,above_below,0,0,1,0,1,,34,1024,0
1,resnext-saycam(S)-hv,split_text,0.701171875,0.4577443301677704,0.014304510317742825,above_below,0,0,1,0,1,,34,1024,0
2,resnext-saycam(S)-hv,random_color,0.6826171875,0.4654577970504761,0.014545556157827377,above_below,0,0,1,0,1,,34,1024,0
3,resnext-saycam(S)-hv,different_shapes,0.7021484375,0.4573138952255249,0.014291059225797653,above_below,0,0,1,0,1,30,34,1024,0
4,resnext-saycam(S)-hv,split_text,0.654296875,0.47559696435928345,0.014862405136227608,above_below,0,0,1,0,1,30,34,1024,0
5,resnext-saycam(S)-hv,random_color,0.66015625,0.47365596890449524,0.014801749028265476,above_below,0,0,1,0,1,30,34,1024,0
6,resnext-saycam(S)-hv,different_shapes,0.7529296875,0.43130797147750854,0.013478374108672142,above_below,0,0,1,0,1,45,34,1024,0
7,resnext-saycam(S)-hv,split_text,0.80859375,0.39340806007385254,0.012294001877307892,above_below,0,0,1,0,1,45,34,1024,0
8,resnext-saycam(S)-hv,random_color,0.728515625,0.44472530484199524,0.013897665776312351,above_below,0,0,1,0,1,45,34,1024,0
9,resnext-saycam(S)-hv,different_shapes,0.7294921875,0.44422218203544617,0.013881943188607693,above_below,0,0,1,0,1,60,34,1024,0
10,resnext-saycam(S)-hv,split_text,0.806640625,0.3949322998523712,0.0123416343703866,above_below,0,0,1,0,1,60,34,1024,0
11,resnext-saycam(S)-hv,random_color,0.740234375,0.4385059177875519,0.013703309930860996,above_below,0,0,1,0,1,60,34,1024,0
12,resnext-saycam(S)-hv,different_shapes,0.68359375,0.46507346630096436,0.014533545821905136,above_below,0,0,1,0,4,,34,1024,0
13,resnext-saycam(S)-hv,split_text,0.6328125,0.4820381999015808,0.0150636937469244,above_below,0,0,1,0,4,,34,1024,0
14,resnext-saycam(S)-hv,random_color,0.6630859375,0.4726552367210388,0.014770476147532463,above_below,0,0,1,0,4,,34,1024,0
15,resnext-saycam(S)-hv,different_shapes,0.685546875,0.46429771184921265,0.014509303495287895,above_below,0,0,1,0,4,30,34,1024,0
16,resnext-saycam(S)-hv,split_text,0.630859375,0.482572078704834,0.015080377459526062,above_below,0,0,1,0,4,30,34,1024,0
17,resnext-saycam(S)-hv,random_color,0.6513671875,0.4765374958515167,0.014891796745359898,above_below,0,0,1,0,4,30,34,1024,0
18,resnext-saycam(S)-hv,different_shapes,0.751953125,0.4318791627883911,0.013496223837137222,above_below,0,0,1,0,4,45,34,1024,0
19,resnext-saycam(S)-hv,split_text,0.78125,0.4133986532688141,0.01291870791465044,above_below,0,0,1,0,4,45,34,1024,0
20,resnext-saycam(S)-hv,random_color,0.7373046875,0.44009825587272644,0.013753070496022701,above_below,0,0,1,0,4,45,34,1024,0
21,resnext-saycam(S)-hv,different_shapes,0.720703125,0.4486536979675293,0.01402042806148529,above_below,0,0,1,0,4,60,34,1024,0
22,resnext-saycam(S)-hv,split_text,0.77734375,0.4160293936729431,0.013000918552279472,above_below,0,0,1,0,4,60,34,1024,0
23,resnext-saycam(S)-hv,random_color,0.724609375,0.4467109143733978,0.013959716074168682,above_below,0,0,1,0,4,60,34,1024,0
24,resnext-saycam(S)-hv,different_shapes,0.6005859375,0.48977798223495483,0.015305561944842339,above_below,0,0,1,1,1,,34,1024,0
25,resnext-saycam(S)-hv,split_text,0.7255859375,0.4462185502052307,0.01394432969391346,above_below,0,0,1,1,1,,34,1024,0
26,resnext-saycam(S)-hv,random_color,0.62109375,0.485114723443985,0.01515983510762453,above_below,0,0,1,1,1,,34,1024,0
27,resnext-saycam(S)-hv,different_shapes,0.60546875,0.48874977231025696,0.01527343038469553,above_below,0,0,1,1,1,30,34,1024,0
28,resnext-saycam(S)-hv,split_text,0.7978515625,0.4016023576259613,0.01255007367581129,above_below,0,0,1,1,1,30,34,1024,0
29,resnext-saycam(S)-hv,random_color,0.66796875,0.4709421396255493,0.014716941863298416,above_below,0,0,1,1,1,30,34,1024,0
30,resnext-saycam(S)-hv,different_shapes,0.67578125,0.4680822193622589,0.014627569355070591,above_below,0,0,1,1,1,45,34,1024,0
31,resnext-saycam(S)-hv,split_text,0.7880859375,0.4086642861366272,0.0127707589417696,above_below,0,0,1,1,1,45,34,1024,0
32,resnext-saycam(S)-hv,random_color,0.734375,0.4416654407978058,0.01380204502493143,above_below,0,0,1,1,1,45,34,1024,0
33,resnext-saycam(S)-hv,different_shapes,0.6494140625,0.477153480052948,0.014911046251654625,above_below,0,0,1,1,1,60,34,1024,0
34,resnext-saycam(S)-hv,split_text,0.6943359375,0.46068811416625977,0.014396503567695618,above_below,0,0,1,1,1,60,34,1024,0
