,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio,unpooled_output
0,mobilenet-saycam(S),different_shapes,0.0048828125,0.06970632076263428,0.002178322523832321,above_below,0,0,1,1,0,34,1024,False,,False
1,mobilenet-saycam(S),split_text,0.005859375,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,0,34,1024,False,,False
2,mobilenet-saycam(S),random_color,0.00390625,0.06237781047821045,0.0019493065774440765,above_below,0,0,1,1,0,34,1024,False,,False
3,mobilenet-imagenet,different_shapes,0.1591796875,0.3658435642719269,0.011432611383497715,above_below,0,0,1,1,0,34,1024,False,,False
4,mobilenet-imagenet,split_text,0.0810546875,0.27291908860206604,0.008528721518814564,above_below,0,0,1,1,0,34,1024,False,,False
5,mobilenet-imagenet,random_color,0.193359375,0.3949322998523712,0.0123416343703866,above_below,0,0,1,1,0,34,1024,False,,False
6,mobilenet-random,different_shapes,0.31640625,0.46507346630096436,0.014533545821905136,above_below,0,0,1,1,0,34,1024,False,,False
7,mobilenet-random,split_text,0.4375,0.49607837200164795,0.015502449125051498,above_below,0,0,1,1,0,34,1024,False,,False
8,mobilenet-random,random_color,0.33984375,0.47365596890449524,0.014801749028265476,above_below,0,0,1,1,0,34,1024,False,,False
9,resnext-saycam(S),different_shapes,0.001953125,0.04415099322795868,0.0013797185383737087,above_below,0,0,1,1,0,34,1024,False,,False
10,resnext-saycam(S),split_text,0.0048828125,0.06970632076263428,0.002178322523832321,above_below,0,0,1,1,0,34,1024,False,,False
11,resnext-saycam(S),random_color,0.005859375,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,0,34,1024,False,,False
12,resnext-imagenet,different_shapes,0.1171875,0.32164356112480164,0.010051361285150051,above_below,0,0,1,1,0,34,1024,False,,False
13,resnext-imagenet,split_text,0.06640625,0.24899087846279144,0.007780964951962233,above_below,0,0,1,1,0,34,1024,False,,False
14,resnext-imagenet,random_color,0.1201171875,0.32509851455688477,0.010159328579902649,above_below,0,0,1,1,0,34,1024,False,,False
15,resnext-random,different_shapes,0.427734375,0.49475011229515076,0.015460941009223461,above_below,0,0,1,1,0,34,1024,False,,False
16,resnext-random,split_text,0.4130859375,0.4923880100250244,0.015387125313282013,above_below,0,0,1,1,0,34,1024,False,,False
17,resnext-random,random_color,0.4453125,0.4970002770423889,0.015531258657574654,above_below,0,0,1,1,0,34,1024,False,,False
18,mobilenet-saycam(S),different_shapes,0.0078125,0.08804240077733994,0.002751325024291873,above_below,0,0,1,1,30,34,1024,False,,False
19,mobilenet-saycam(S),split_text,0.001953125,0.04415099322795868,0.0013797185383737087,above_below,0,0,1,1,30,34,1024,False,,False
20,mobilenet-saycam(S),random_color,0.005859375,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,30,34,1024,False,,False
21,mobilenet-imagenet,different_shapes,0.111328125,0.31453803181648254,0.00982931349426508,above_below,0,0,1,1,30,34,1024,False,,False
22,mobilenet-imagenet,split_text,0.166015625,0.37209466099739075,0.01162795815616846,above_below,0,0,1,1,30,34,1024,False,,False
23,mobilenet-imagenet,random_color,0.1865234375,0.3895284831523895,0.012172765098512173,above_below,0,0,1,1,30,34,1024,False,,False
24,mobilenet-random,different_shapes,0.501953125,0.4999961853027344,0.01562488079071045,above_below,0,0,1,1,30,34,1024,False,,False
25,mobilenet-random,split_text,0.4892578125,0.49988460540771484,0.015621393918991089,above_below,0,0,1,1,30,34,1024,False,,False
26,mobilenet-random,random_color,0.46875,0.4990224838256836,0.015594452619552612,above_below,0,0,1,1,30,34,1024,False,,False
27,resnext-saycam(S),different_shapes,0.0244140625,0.15433086454868317,0.004822839517146349,above_below,0,0,1,1,30,34,1024,False,,False
28,resnext-saycam(S),split_text,0.0126953125,0.11195597797632217,0.003498624311760068,above_below,0,0,1,1,30,34,1024,False,,False
29,resnext-saycam(S),random_color,0.0380859375,0.19140376150608063,0.00598136754706502,above_below,0,0,1,1,30,34,1024,False,,False
30,resnext-imagenet,different_shapes,0.21484375,0.41071391105651855,0.012834809720516205,above_below,0,0,1,1,30,34,1024,False,,False
31,resnext-imagenet,split_text,0.3095703125,0.46231648325920105,0.014447390101850033,above_below,0,0,1,1,30,34,1024,False,,False
32,resnext-imagenet,random_color,0.26953125,0.44371628761291504,0.013866133987903595,above_below,0,0,1,1,30,34,1024,False,,False
33,resnext-random,different_shapes,0.5078125,0.49993896484375,0.015623092651367188,above_below,0,0,1,1,30,34,1024,False,,False
34,resnext-random,split_text,0.49609375,0.4999847412109375,0.015624523162841797,above_below,0,0,1,1,30,34,1024,False,,False
35,resnext-random,random_color,0.4921875,0.49993896484375,0.015623092651367188,above_below,0,0,1,1,30,34,1024,False,,False
36,mobilenet-saycam(S),different_shapes,0.0234375,0.15128840506076813,0.004727762658149004,above_below,0,0,1,1,45,34,1024,False,,False
37,mobilenet-saycam(S),split_text,0.0185546875,0.13494595885276794,0.004217061214148998,above_below,0,0,1,1,45,34,1024,False,,False
38,mobilenet-saycam(S),random_color,0.02734375,0.163083016872406,0.005096344277262688,above_below,0,0,1,1,45,34,1024,False,,False
39,mobilenet-imagenet,different_shapes,0.2802734375,0.4491327702999115,0.014035399071872234,above_below,0,0,1,1,45,34,1024,False,,False
40,mobilenet-imagenet,split_text,0.2197265625,0.4140613377094269,0.01293941680341959,above_below,0,0,1,1,45,34,1024,False,,False
41,mobilenet-imagenet,random_color,0.291015625,0.4542306959629059,0.014194709248840809,above_below,0,0,1,1,45,34,1024,False,,False
42,mobilenet-random,different_shapes,0.3818359375,0.4858366549015045,0.015182395465672016,above_below,0,0,1,1,45,34,1024,False,,False
43,mobilenet-random,split_text,0.451171875,0.49761009216308594,0.015550315380096436,above_below,0,0,1,1,45,34,1024,False,,False
44,mobilenet-random,random_color,0.4345703125,0.495700478553772,0.015490639954805374,above_below,0,0,1,1,45,34,1024,False,,False
