,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio,unpooled_output
0,resnext-DINO-S,different_shapes,0.0078125,0.08804240077733994,0.002751325024291873,above_below,0,0,1,1,0,34,1024,False,,False
1,resnext-DINO-S,split_text,0.0009765625,0.0312347374856472,0.000976085546426475,above_below,0,0,1,1,0,34,1024,False,,False
2,resnext-DINO-S,random_color,0.00390625,0.06237781047821045,0.0019493065774440765,above_below,0,0,1,1,0,34,1024,False,,False
3,resnext-DINO-ImageNet,different_shapes,0.09375,0.2914806008338928,0.00910876877605915,above_below,0,0,1,1,0,34,1024,False,,False
4,resnext-DINO-ImageNet,split_text,0.0283203125,0.16588632762432098,0.005183947738260031,above_below,0,0,1,1,0,34,1024,False,,False
5,resnext-DINO-ImageNet,random_color,0.1474609375,0.3545648157596588,0.011080150492489338,above_below,0,0,1,1,0,34,1024,False,,False
6,resnext-DINO-S,different_shapes,0.0185546875,0.13494595885276794,0.004217061214148998,above_below,0,0,1,1,30,34,1024,False,,False
7,resnext-DINO-S,split_text,0.015625,0.12401959300041199,0.0038756122812628746,above_below,0,0,1,1,30,34,1024,False,,False
8,resnext-DINO-S,random_color,0.0400390625,0.19605085253715515,0.0061265891417860985,above_below,0,0,1,1,30,34,1024,False,,False
9,resnext-DINO-ImageNet,different_shapes,0.1630859375,0.3694440722465515,0.011545127257704735,above_below,0,0,1,1,30,34,1024,False,,False
10,resnext-DINO-ImageNet,split_text,0.2080078125,0.40588244795799255,0.012683826498687267,above_below,0,0,1,1,30,34,1024,False,,False
11,resnext-DINO-ImageNet,random_color,0.2529296875,0.4346909821033478,0.013584093190729618,above_below,0,0,1,1,30,34,1024,False,,False
12,resnext-DINO-S,different_shapes,0.021484375,0.144992396235466,0.004531012382358313,above_below,0,0,1,1,45,34,1024,False,,False
13,resnext-DINO-S,split_text,0.0068359375,0.08239664882421494,0.0025748952757567167,above_below,0,0,1,1,45,34,1024,False,,False
14,resnext-DINO-S,random_color,0.0673828125,0.25068381428718567,0.007833869196474552,above_below,0,0,1,1,45,34,1024,False,,False
15,resnext-DINO-ImageNet,different_shapes,0.185546875,0.38874056935310364,0.012148142792284489,above_below,0,0,1,1,45,34,1024,False,,False
16,resnext-DINO-ImageNet,split_text,0.1796875,0.38392695784568787,0.011997717432677746,above_below,0,0,1,1,45,34,1024,False,,False
17,resnext-DINO-ImageNet,random_color,0.2265625,0.4186071455478668,0.013081473298370838,above_below,0,0,1,1,45,34,1024,False,,False
18,resnext-DINO-S,different_shapes,0.0244140625,0.15433086454868317,0.004822839517146349,above_below,0,0,1,1,60,34,1024,False,,False
19,resnext-DINO-S,split_text,0.0166015625,0.12777304649353027,0.003992907702922821,above_below,0,0,1,1,60,34,1024,False,,False
20,resnext-DINO-S,random_color,0.06640625,0.24899087846279144,0.007780964951962233,above_below,0,0,1,1,60,34,1024,False,,False
21,resnext-DINO-ImageNet,different_shapes,0.2392578125,0.4266304075717926,0.013332200236618519,above_below,0,0,1,1,60,34,1024,False,,False
22,resnext-DINO-ImageNet,split_text,0.259765625,0.4385059177875519,0.013703309930860996,above_below,0,0,1,1,60,34,1024,False,,False
