,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio,unpooled_output
0,vitb14-DINO-S,different_shapes,0.0087890625,0.09333710372447968,0.00291678449138999,above_below,0,0,1,1,0,34,1024,False,,False
1,vitb14-DINO-S,split_text,0.0830078125,0.27589401602745056,0.00862168800085783,above_below,0,0,1,1,0,34,1024,False,,False
2,vitb14-DINO-S,random_color,0.0244140625,0.15433086454868317,0.004822839517146349,above_below,0,0,1,1,0,34,1024,False,,False
3,vitb14-DINO-S,different_shapes,0.01953125,0.13838273286819458,0.004324460402131081,above_below,0,0,1,1,30,34,1024,False,,False
4,vitb14-DINO-S,split_text,0.2314453125,0.4217562973499298,0.013179884292185307,above_below,0,0,1,1,30,34,1024,False,,False
5,vitb14-DINO-S,random_color,0.0400390625,0.19605085253715515,0.0061265891417860985,above_below,0,0,1,1,30,34,1024,False,,False
6,vitb14-DINO-S,different_shapes,0.06640625,0.24899087846279144,0.007780964951962233,above_below,0,0,1,1,45,34,1024,False,,False
7,vitb14-DINO-S,split_text,0.279296875,0.4486536979675293,0.01402042806148529,above_below,0,0,1,1,45,34,1024,False,,False
8,vitb14-DINO-S,random_color,0.0859375,0.2802717387676239,0.008758491836488247,above_below,0,0,1,1,45,34,1024,False,,False
9,vitb14-DINO-S,different_shapes,0.2470703125,0.43130797147750854,0.013478374108672142,above_below,0,0,1,1,60,34,1024,False,,False
10,vitb14-DINO-S,split_text,0.4248046875,0.4943133294582367,0.015447291545569897,above_below,0,0,1,1,60,34,1024,False,,False
11,vitb14-DINO-S,random_color,0.296875,0.45688098669052124,0.014277530834078789,above_below,0,0,1,1,60,34,1024,False,,False
12,vitb14-DINO-S,different_shapes,0.587890625,0.4922146201133728,0.0153817068785429,above_below,0,0,1,1,90,34,1024,False,,False
13,vitb14-DINO-S,split_text,0.6025390625,0.48937278985977173,0.015292899683117867,above_below,0,0,1,1,90,34,1024,False,,False
14,vitb14-DINO-S,random_color,0.6826171875,0.4654577970504761,0.014545556157827377,above_below,0,0,1,1,90,34,1024,False,,False
15,vitb14-DINO-S,different_shapes,0.26171875,0.4395703077316284,0.013736572116613388,above_below,0,0,1,1,120,34,1024,False,,False
16,vitb14-DINO-S,split_text,0.4501953125,0.4975133240222931,0.015547291375696659,above_below,0,0,1,1,120,34,1024,False,,False
17,vitb14-DINO-S,random_color,0.3037109375,0.45985934138298035,0.014370604418218136,above_below,0,0,1,1,120,34,1024,False,,False
18,vitb14-DINO-S,different_shapes,0.0615234375,0.24028795957565308,0.007508998736739159,above_below,0,0,1,1,135,34,1024,False,,False
19,vitb14-DINO-S,split_text,0.28515625,0.45148882269859314,0.014109025709331036,above_below,0,0,1,1,135,34,1024,False,,False
20,vitb14-DINO-S,random_color,0.06640625,0.24899087846279144,0.007780964951962233,above_below,0,0,1,1,135,34,1024,False,,False
21,vitb14-DINO-S,different_shapes,0.0224609375,0.14817707240581512,0.004630533512681723,above_below,0,0,1,1,150,34,1024,False,,False
22,vitb14-DINO-S,split_text,0.232421875,0.4223765432834625,0.013199266977608204,above_below,0,0,1,1,150,34,1024,False,,False
23,vitb14-DINO-S,random_color,0.0361328125,0.1866205632686615,0.005831892602145672,above_below,0,0,1,1,150,34,1024,False,,False
24,vitb14-DINO-S,different_shapes,0.01953125,0.13838273286819458,0.004324460402131081,above_below,0,0,1,4,0,34,1024,False,,False
25,vitb14-DINO-S,split_text,0.1123046875,0.3157409429550171,0.009866904467344284,above_below,0,0,1,4,0,34,1024,False,,False
26,vitb14-DINO-S,random_color,0.0302734375,0.17133872210979462,0.005354335065931082,above_below,0,0,1,4,0,34,1024,False,,False
27,vitb14-DINO-S,different_shapes,0.0029296875,0.05404724180698395,0.0016889763064682484,above_below,0,0,1,4,30,34,1024,False,,False
28,vitb14-DINO-S,split_text,0.1826171875,0.3863523602485657,0.012073511257767677,above_below,0,0,1,4,30,34,1024,False,,False
29,vitb14-DINO-S,random_color,0.0205078125,0.141729474067688,0.00442904606461525,above_below,0,0,1,4,30,34,1024,False,,False
30,vitb14-DINO-S,different_shapes,0.0400390625,0.19605085253715515,0.0061265891417860985,above_below,0,0,1,4,45,34,1024,False,,False
31,vitb14-DINO-S,split_text,0.3134765625,0.46390625834465027,0.014497070573270321,above_below,0,0,1,4,45,34,1024,False,,False
32,vitb14-DINO-S,random_color,0.060546875,0.2384972721338272,0.0074530397541821,above_below,0,0,1,4,45,34,1024,False,,False
33,vitb14-DINO-S,different_shapes,0.2314453125,0.4217562973499298,0.013179884292185307,above_below,0,0,1,4,60,34,1024,False,,False
34,vitb14-DINO-S,split_text,0.4423828125,0.4966691732406616,0.015520911663770676,above_below,0,0,1,4,60,34,1024,False,,False
35,vitb14-DINO-S,random_color,0.3125,0.4635123908519745,0.014484762214124203,above_below,0,0,1,4,60,34,1024,False,,False
36,vitb14-DINO-S,different_shapes,0.650390625,0.4768465757369995,0.014901455491781235,above_below,0,0,1,4,90,34,1024,False,,False
37,vitb14-DINO-S,split_text,0.59375,0.49113228917121887,0.01534788403660059,above_below,0,0,1,4,90,34,1024,False,,False
38,vitb14-DINO-S,random_color,0.646484375,0.4780610203742981,0.014939406886696815,above_below,0,0,1,4,90,34,1024,False,,False
39,vitb14-DINO-S,different_shapes,0.2119140625,0.4086642861366272,0.0127707589417696,above_below,0,0,1,4,120,34,1024,False,,False
40,vitb14-DINO-S,split_text,0.44140625,0.4965549111366272,0.0155173409730196,above_below,0,0,1,4,120,34,1024,False,,False
41,vitb14-DINO-S,random_color,0.2861328125,0.4519522488117218,0.014123507775366306,above_below,0,0,1,4,120,34,1024,False,,False
42,vitb14-DINO-S,different_shapes,0.0517578125,0.22153767943382263,0.006923052482306957,above_below,0,0,1,4,135,34,1024,False,,False
43,vitb14-DINO-S,split_text,0.2978515625,0.4573138952255249,0.014291059225797653,above_below,0,0,1,4,135,34,1024,False,,False
44,vitb14-DINO-S,random_color,0.0458984375,0.2092648297548294,0.006539525929838419,above_below,0,0,1,4,135,34,1024,False,,False
45,vitb14-DINO-S,different_shapes,0.009765625,0.09833747148513794,0.0030730459839105606,above_below,0,0,1,4,150,34,1024,False,,False
46,vitb14-DINO-S,split_text,0.1962890625,0.3971897065639496,0.012412178330123425,above_below,0,0,1,4,150,34,1024,False,,False
47,vitb14-DINO-S,random_color,0.017578125,0.131412073969841,0.004106627311557531,above_below,0,0,1,4,150,34,1024,False,,False
48,vitb14-DINO-S,different_shapes,0.0791015625,0.2698972225189209,0.008434288203716278,above_below,0,0,2,1,0,34,1024,False,,False
49,vitb14-DINO-S,split_text,0.2529296875,0.4346909821033478,0.013584093190729618,above_below,0,0,2,1,0,34,1024,False,,False
50,vitb14-DINO-S,random_color,0.095703125,0.2941836714744568,0.009193239733576775,above_below,0,0,2,1,0,34,1024,False,,False
51,vitb14-DINO-S,different_shapes,0.1220703125,0.32736700773239136,0.01023021899163723,above_below,0,0,2,1,30,34,1024,False,,False
52,vitb14-DINO-S,split_text,0.32421875,0.4680822193622589,0.014627569355070591,above_below,0,0,2,1,30,34,1024,False,,False
53,vitb14-DINO-S,random_color,0.140625,0.34763431549072266,0.010863572359085083,above_below,0,0,2,1,30,34,1024,False,,False
54,vitb14-DINO-S,different_shapes,0.2421875,0.4284071922302246,0.013387724757194519,above_below,0,0,2,1,45,34,1024,False,,False
55,vitb14-DINO-S,split_text,0.3916015625,0.488108366727829,0.015253386460244656,above_below,0,0,2,1,45,34,1024,False,,False
56,vitb14-DINO-S,random_color,0.2275390625,0.4192434251308441,0.013101357035338879,above_below,0,0,2,1,45,34,1024,False,,False
57,vitb14-DINO-S,different_shapes,0.412109375,0.4922146201133728,0.0153817068785429,above_below,0,0,2,1,60,34,1024,False,,False
58,vitb14-DINO-S,split_text,0.453125,0.4977978765964508,0.015556183643639088,above_below,0,0,2,1,60,34,1024,False,,False
59,vitb14-DINO-S,random_color,0.4208984375,0.49370330572128296,0.015428228303790092,above_below,0,0,2,1,60,34,1024,False,,False
60,vitb14-DINO-S,different_shapes,0.5859375,0.49255937337875366,0.015392480418086052,above_below,0,0,2,1,90,34,1024,False,,False
61,vitb14-DINO-S,split_text,0.5625,0.49607837200164795,0.015502449125051498,above_below,0,0,2,1,90,34,1024,False,,False
62,vitb14-DINO-S,random_color,0.66015625,0.47365596890449524,0.014801749028265476,above_below,0,0,2,1,90,34,1024,False,,False
63,vitb14-DINO-S,different_shapes,0.4521484375,0.49770495295524597,0.015553279779851437,above_below,0,0,2,1,120,34,1024,False,,False
64,vitb14-DINO-S,split_text,0.4609375,0.49847179651260376,0.015577243641018867,above_below,0,0,2,1,120,34,1024,False,,False
65,vitb14-DINO-S,random_color,0.4287109375,0.4948917627334595,0.015465367585420609,above_below,0,0,2,1,120,34,1024,False,,False
66,vitb14-DINO-S,different_shapes,0.267578125,0.44269636273384094,0.01383426133543253,above_below,0,0,2,1,135,34,1024,False,,False
67,vitb14-DINO-S,split_text,0.3623046875,0.48066622018814087,0.015020819380879402,above_below,0,0,2,1,135,34,1024,False,,False
68,vitb14-DINO-S,random_color,0.1884765625,0.3910922408103943,0.012221632525324821,above_below,0,0,2,1,135,34,1024,False,,False
69,vitb14-DINO-S,different_shapes,0.150390625,0.3574538826942444,0.011170433834195137,above_below,0,0,2,1,150,34,1024,False,,False
70,vitb14-DINO-S,split_text,0.328125,0.4695306122303009,0.014672831632196903,above_below,0,0,2,1,150,34,1024,False,,False
71,vitb14-DINO-S,random_color,0.134765625,0.3414730727672577,0.010671033523976803,above_below,0,0,2,1,150,34,1024,False,,False
72,vitb14-DINO-S,different_shapes,0.0859375,0.2802717387676239,0.008758491836488247,above_below,0,0,2,4,0,34,1024,False,,False
73,vitb14-DINO-S,split_text,0.2900390625,0.4537801146507263,0.014180628582835197,above_below,0,0,2,4,0,34,1024,False,,False
74,vitb14-DINO-S,random_color,0.080078125,0.2714141011238098,0.008481690660119057,above_below,0,0,2,4,0,34,1024,False,,False
75,vitb14-DINO-S,different_shapes,0.1142578125,0.3181241452693939,0.00994137953966856,above_below,0,0,2,4,30,34,1024,False,,False
76,vitb14-DINO-S,split_text,0.298828125,0.4577443301677704,0.014304510317742825,above_below,0,0,2,4,30,34,1024,False,,False
77,vitb14-DINO-S,random_color,0.1181640625,0.32280227541923523,0.010087571106851101,above_below,0,0,2,4,30,34,1024,False,,False
78,vitb14-DINO-S,different_shapes,0.26171875,0.4395703077316284,0.013736572116613388,above_below,0,0,2,4,45,34,1024,False,,False
79,vitb14-DINO-S,split_text,0.380859375,0.485598087310791,0.01517494022846222,above_below,0,0,2,4,45,34,1024,False,,False
