,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio,unpooled_output
0,resnext-saycam(S)-s,different_shapes,0.0,0.0,0.0,above_below,0,0,1,1,0,34,1024,False,,False
1,resnext-saycam(S)-s,split_text,0.005859375,0.07632196694612503,0.002385061467066407,above_below,0,0,1,1,0,34,1024,False,,False
2,resnext-saycam(S)-s,random_color,0.001953125,0.04415099322795868,0.0013797185383737087,above_below,0,0,1,1,0,34,1024,False,,False
3,resnext-saycam(S)-h,different_shapes,0.0048828125,0.06970632076263428,0.002178322523832321,above_below,0,0,1,1,0,34,1024,False,,False
4,resnext-saycam(S)-h,split_text,0.0078125,0.08804240077733994,0.002751325024291873,above_below,0,0,1,1,0,34,1024,False,,False
5,resnext-saycam(S)-h,random_color,0.015625,0.12401959300041199,0.0038756122812628746,above_below,0,0,1,1,0,34,1024,False,,False
6,resnext-saycam(S)-v,different_shapes,0.47265625,0.49925175309181213,0.01560161728411913,above_below,0,0,1,1,0,34,1024,False,,False
7,resnext-saycam(S)-v,split_text,0.4609375,0.49847179651260376,0.015577243641018867,above_below,0,0,1,1,0,34,1024,False,,False
8,resnext-saycam(S)-v,random_color,0.5078125,0.49993896484375,0.015623092651367188,above_below,0,0,1,1,0,34,1024,False,,False
9,resnext-saycam(S)-hv,different_shapes,0.2705078125,0.44422218203544617,0.013881943188607693,above_below,0,0,1,1,0,34,1024,False,,False
10,resnext-saycam(S)-hv,split_text,0.310546875,0.46271753311157227,0.014459922909736633,above_below,0,0,1,1,0,34,1024,False,,False
11,resnext-saycam(S)-hv,random_color,0.2861328125,0.4519522488117218,0.014123507775366306,above_below,0,0,1,1,0,34,1024,False,,False
12,resnext-saycam(S)-s,different_shapes,0.0322265625,0.17660127580165863,0.005518789868801832,above_below,0,0,1,1,30,34,1024,False,,False
13,resnext-saycam(S)-s,split_text,0.0419921875,0.20057129859924316,0.006267853081226349,above_below,0,0,1,1,30,34,1024,False,,False
14,resnext-saycam(S)-s,random_color,0.0263671875,0.16022472083568573,0.005007022526115179,above_below,0,0,1,1,30,34,1024,False,,False
15,resnext-saycam(S)-h,different_shapes,0.0400390625,0.19605085253715515,0.0061265891417860985,above_below,0,0,1,1,30,34,1024,False,,False
16,resnext-saycam(S)-h,split_text,0.0576171875,0.23301813006401062,0.007281816564500332,above_below,0,0,1,1,30,34,1024,False,,False
17,resnext-saycam(S)-h,random_color,0.021484375,0.144992396235466,0.004531012382358313,above_below,0,0,1,1,30,34,1024,False,,False
18,resnext-saycam(S)-v,different_shapes,0.2314453125,0.4217562973499298,0.013179884292185307,above_below,0,0,1,1,30,34,1024,False,,False
19,resnext-saycam(S)-v,split_text,0.1591796875,0.3658435642719269,0.011432611383497715,above_below,0,0,1,1,30,34,1024,False,,False
20,resnext-saycam(S)-v,random_color,0.349609375,0.4768465757369995,0.014901455491781235,above_below,0,0,1,1,30,34,1024,False,,False
21,resnext-saycam(S)-hv,different_shapes,0.453125,0.4977978765964508,0.015556183643639088,above_below,0,0,1,1,30,34,1024,False,,False
22,resnext-saycam(S)-hv,split_text,0.3505859375,0.477153480052948,0.014911046251654625,above_below,0,0,1,1,30,34,1024,False,,False
23,resnext-saycam(S)-hv,random_color,0.421875,0.49385878443717957,0.015433087013661861,above_below,0,0,1,1,30,34,1024,False,,False
24,resnext-saycam(S)-s,different_shapes,0.0537109375,0.22544638812541962,0.007045199628919363,above_below,0,0,1,1,45,34,1024,False,,False
25,resnext-saycam(S)-s,split_text,0.0869140625,0.28170907497406006,0.008803408592939377,above_below,0,0,1,1,45,34,1024,False,,False
26,resnext-saycam(S)-s,random_color,0.0595703125,0.2366890162229538,0.007396531756967306,above_below,0,0,1,1,45,34,1024,False,,False
27,resnext-saycam(S)-h,different_shapes,0.052734375,0.22350271046161652,0.006984459701925516,above_below,0,0,1,1,45,34,1024,False,,False
28,resnext-saycam(S)-h,split_text,0.11328125,0.31693628430366516,0.009904258884489536,above_below,0,0,1,1,45,34,1024,False,,False
29,resnext-saycam(S)-h,random_color,0.1005859375,0.30077967047691345,0.009399364702403545,above_below,0,0,1,1,45,34,1024,False,,False
30,resnext-saycam(S)-v,different_shapes,0.185546875,0.38874056935310364,0.012148142792284489,above_below,0,0,1,1,45,34,1024,False,,False
31,resnext-saycam(S)-v,split_text,0.130859375,0.33724650740623474,0.010538953356444836,above_below,0,0,1,1,45,34,1024,False,,False
32,resnext-saycam(S)-v,random_color,0.2607421875,0.43903952836990356,0.013719985261559486,above_below,0,0,1,1,45,34,1024,False,,False
33,resnext-saycam(S)-hv,different_shapes,0.3740234375,0.483869731426239,0.01512092910706997,above_below,0,0,1,1,45,34,1024,False,,False
34,resnext-saycam(S)-hv,split_text,0.2451171875,0.4301566481590271,0.013442395254969597,above_below,0,0,1,1,45,34,1024,False,,False
35,resnext-saycam(S)-hv,random_color,0.41015625,0.49186187982559204,0.015370683744549751,above_below,0,0,1,1,45,34,1024,False,,False
36,resnext-saycam(S)-s,different_shapes,0.0556640625,0.22927182912826538,0.007164744660258293,above_below,0,0,1,1,60,34,1024,False,,False
37,resnext-saycam(S)-s,split_text,0.0751953125,0.263706237077713,0.008240819908678532,above_below,0,0,1,1,60,34,1024,False,,False
38,resnext-saycam(S)-s,random_color,0.0478515625,0.21345208585262299,0.006670377682894468,above_below,0,0,1,1,60,34,1024,False,,False
39,resnext-saycam(S)-h,different_shapes,0.2421875,0.4284071922302246,0.013387724757194519,above_below,0,0,1,1,60,34,1024,False,,False
