,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,seed,n_examples,relation,triplet_generator
0,resnext-saycam(S)-s,different_shapes,0.0751953125,0.263706237077713,0.008240819908678532,1,1,34,1024,no_reference,diagonal
1,resnext-saycam(S)-s,split_text,0.12109375,0.32623618841171265,0.01019488088786602,1,1,34,1024,no_reference,diagonal
2,resnext-saycam(S)-s,random_color,0.1767578125,0.3814636170864105,0.011920738033950329,1,1,34,1024,no_reference,diagonal
3,resnext-saycam(S)-h,different_shapes,0.0,0.0,0.0,1,1,34,1024,no_reference,diagonal
4,resnext-saycam(S)-h,split_text,0.0078125,0.08804240077733994,0.002751325024291873,1,1,34,1024,no_reference,diagonal
5,resnext-saycam(S)-h,random_color,0.0009765625,0.0312347374856472,0.000976085546426475,1,1,34,1024,no_reference,diagonal
6,resnext-saycam(S)-v,different_shapes,0.9814453125,0.13494595885276794,0.004217061214148998,1,1,34,1024,no_reference,diagonal
7,resnext-saycam(S)-v,split_text,0.9765625,0.15128840506076813,0.004727762658149004,1,1,34,1024,no_reference,diagonal
8,resnext-saycam(S)-v,random_color,0.990234375,0.09833747148513794,0.0030730459839105606,1,1,34,1024,no_reference,diagonal
9,resnext-saycam(S)-hv,different_shapes,0.09375,0.2914806008338928,0.00910876877605915,1,1,34,1024,no_reference,diagonal
10,resnext-saycam(S)-hv,split_text,0.3037109375,0.45985934138298035,0.014370604418218136,1,1,34,1024,no_reference,diagonal
11,resnext-saycam(S)-hv,random_color,0.318359375,0.46583977341651917,0.014557492919266224,1,1,34,1024,no_reference,diagonal
12,resnext-DINO-S,different_shapes,0.181640625,0.38554805517196655,0.012048376724123955,1,1,34,1024,no_reference,diagonal
13,resnext-DINO-S,split_text,0.2333984375,0.42299363017082214,0.013218550942838192,1,1,34,1024,no_reference,diagonal
14,resnext-DINO-S,random_color,0.1845703125,0.387948602437973,0.012123393826186657,1,1,34,1024,no_reference,diagonal
15,resnext-DINO-ImageNet,different_shapes,0.064453125,0.24555838108062744,0.0076736994087696075,1,1,34,1024,no_reference,diagonal
16,resnext-DINO-ImageNet,split_text,0.037109375,0.18902981281280518,0.005907181650400162,1,1,34,1024,no_reference,diagonal
17,resnext-DINO-ImageNet,random_color,0.037109375,0.18902981281280518,0.005907181650400162,1,1,34,1024,no_reference,diagonal
18,resnext-saycam(S)-s,different_shapes,0.0439453125,0.20497345924377441,0.0064054206013679504,1,4,34,1024,no_reference,diagonal
19,resnext-saycam(S)-s,split_text,0.125,0.33071890473365784,0.010334965772926807,1,4,34,1024,no_reference,diagonal
20,resnext-saycam(S)-s,random_color,0.1484375,0.3555331230163574,0.01111041009426117,1,4,34,1024,no_reference,diagonal
21,resnext-saycam(S)-h,different_shapes,0.0,0.0,0.0,1,4,34,1024,no_reference,diagonal
22,resnext-saycam(S)-h,split_text,0.0,0.0,0.0,1,4,34,1024,no_reference,diagonal
23,resnext-saycam(S)-h,random_color,0.0,0.0,0.0,1,4,34,1024,no_reference,diagonal
24,resnext-saycam(S)-v,different_shapes,0.9970703125,0.05404724180698395,0.0016889763064682484,1,4,34,1024,no_reference,diagonal
25,resnext-saycam(S)-v,split_text,0.986328125,0.11612474173307419,0.0036288981791585684,1,4,34,1024,no_reference,diagonal
26,resnext-saycam(S)-v,random_color,1.0,0.0,0.0,1,4,34,1024,no_reference,diagonal
27,resnext-saycam(S)-hv,different_shapes,0.142578125,0.3496420979499817,0.010926315560936928,1,4,34,1024,no_reference,diagonal
28,resnext-saycam(S)-hv,split_text,0.173828125,0.37896162271499634,0.011842550709843636,1,4,34,1024,no_reference,diagonal
29,resnext-saycam(S)-hv,random_color,0.2412109375,0.4278179705142975,0.013369311578571796,1,4,34,1024,no_reference,diagonal
30,resnext-DINO-S,different_shapes,0.2158203125,0.4113902151584625,0.012855944223701954,1,4,34,1024,no_reference,diagonal
31,resnext-DINO-S,split_text,0.30078125,0.45859774947166443,0.014331179670989513,1,4,34,1024,no_reference,diagonal
32,resnext-DINO-S,random_color,0.177734375,0.38228899240493774,0.011946531012654305,1,4,34,1024,no_reference,diagonal
33,resnext-DINO-ImageNet,different_shapes,0.0322265625,0.17660127580165863,0.005518789868801832,1,4,34,1024,no_reference,diagonal
34,resnext-DINO-ImageNet,split_text,0.0146484375,0.12014100700616837,0.0037544064689427614,1,4,34,1024,no_reference,diagonal
35,resnext-DINO-ImageNet,random_color,0.041015625,0.19832634925842285,0.006197698414325714,1,4,34,1024,no_reference,diagonal
