,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,seed,n_examples,relation,triplet_generator
0,mobilenet-saycam(S),different_shapes,0.00390625,0.06237781047821045,0.0019493065774440765,1,1,34,1024,no_reference,diagonal
1,mobilenet-saycam(S),split_text,0.005859375,0.07632196694612503,0.002385061467066407,1,1,34,1024,no_reference,diagonal
2,mobilenet-saycam(S),random_color,0.009765625,0.09833747148513794,0.0030730459839105606,1,1,34,1024,no_reference,diagonal
3,mobilenet-imagenet,different_shapes,0.0361328125,0.1866205632686615,0.005831892602145672,1,1,34,1024,no_reference,diagonal
4,mobilenet-imagenet,split_text,0.140625,0.34763431549072266,0.010863572359085083,1,1,34,1024,no_reference,diagonal
5,mobilenet-imagenet,random_color,0.0830078125,0.27589401602745056,0.00862168800085783,1,1,34,1024,no_reference,diagonal
6,mobilenet-random,different_shapes,0.5048828125,0.49997615814208984,0.015624254941940308,1,1,34,1024,no_reference,diagonal
7,mobilenet-random,split_text,0.4873046875,0.49983879923820496,0.015619962476193905,1,1,34,1024,no_reference,diagonal
8,mobilenet-random,random_color,0.48828125,0.4998626410961151,0.015620707534253597,1,1,34,1024,no_reference,diagonal
9,resnext-saycam(S),different_shapes,0.0048828125,0.06970632076263428,0.002178322523832321,1,1,34,1024,no_reference,diagonal
10,resnext-saycam(S),split_text,0.0029296875,0.05404724180698395,0.0016889763064682484,1,1,34,1024,no_reference,diagonal
11,resnext-saycam(S),random_color,0.0029296875,0.05404724180698395,0.0016889763064682484,1,1,34,1024,no_reference,diagonal
12,resnext-imagenet,different_shapes,0.0166015625,0.12777304649353027,0.003992907702922821,1,1,34,1024,no_reference,diagonal
13,resnext-imagenet,split_text,0.0751953125,0.263706237077713,0.008240819908678532,1,1,34,1024,no_reference,diagonal
14,resnext-imagenet,random_color,0.044921875,0.20713256299495697,0.006472892593592405,1,1,34,1024,no_reference,diagonal
15,resnext-random,different_shapes,0.546875,0.4977978765964508,0.015556183643639088,1,1,34,1024,no_reference,diagonal
16,resnext-random,split_text,0.5908203125,0.4916824996471405,0.01536507811397314,1,1,34,1024,no_reference,diagonal
17,resnext-random,random_color,0.544921875,0.49797794222831726,0.015561810694634914,1,1,34,1024,no_reference,diagonal
18,mobilenet-saycam(S),different_shapes,0.001953125,0.04415099322795868,0.0013797185383737087,1,4,34,1024,no_reference,diagonal
19,mobilenet-saycam(S),split_text,0.0009765625,0.0312347374856472,0.000976085546426475,1,4,34,1024,no_reference,diagonal
20,mobilenet-saycam(S),random_color,0.0068359375,0.08239664882421494,0.0025748952757567167,1,4,34,1024,no_reference,diagonal
21,mobilenet-imagenet,different_shapes,0.013671875,0.11612474173307419,0.0036288981791585684,1,4,34,1024,no_reference,diagonal
22,mobilenet-imagenet,split_text,0.1103515625,0.31332746148109436,0.009791483171284199,1,4,34,1024,no_reference,diagonal
23,mobilenet-imagenet,random_color,0.076171875,0.26527291536331177,0.008289778605103493,1,4,34,1024,no_reference,diagonal
24,mobilenet-random,different_shapes,0.5068359375,0.4999532699584961,0.015623539686203003,1,4,34,1024,no_reference,diagonal
25,mobilenet-random,split_text,0.521484375,0.49953821301460266,0.015610569156706333,1,4,34,1024,no_reference,diagonal
26,mobilenet-random,random_color,0.494140625,0.4999656677246094,0.015623927116394043,1,4,34,1024,no_reference,diagonal
27,resnext-saycam(S),different_shapes,0.0,0.0,0.0,1,4,34,1024,no_reference,diagonal
28,resnext-saycam(S),split_text,0.0,0.0,0.0,1,4,34,1024,no_reference,diagonal
29,resnext-saycam(S),random_color,0.001953125,0.04415099322795868,0.0013797185383737087,1,4,34,1024,no_reference,diagonal
30,resnext-imagenet,different_shapes,0.0107421875,0.10308633744716644,0.0032214480452239513,1,4,34,1024,no_reference,diagonal
31,resnext-imagenet,split_text,0.04296875,0.20278668403625488,0.006337083876132965,1,4,34,1024,no_reference,diagonal
32,resnext-imagenet,random_color,0.01953125,0.13838273286819458,0.004324460402131081,1,4,34,1024,no_reference,diagonal
33,resnext-random,different_shapes,0.470703125,0.4991409480571747,0.015598154626786709,1,4,34,1024,no_reference,diagonal
34,resnext-random,split_text,0.494140625,0.4999656677246094,0.015623927116394043,1,4,34,1024,no_reference,diagonal
35,resnext-random,random_color,0.4541015625,0.49788886308670044,0.015559026971459389,1,4,34,1024,no_reference,diagonal
36,mobilenet-saycam(S),different_shapes,0.03125,0.17399263381958008,0.0054372698068618774,2,1,34,1024,no_reference,diagonal
37,mobilenet-saycam(S),split_text,0.0361328125,0.1866205632686615,0.005831892602145672,2,1,34,1024,no_reference,diagonal
38,mobilenet-saycam(S),random_color,0.068359375,0.25236159563064575,0.00788629986345768,2,1,34,1024,no_reference,diagonal
39,mobilenet-imagenet,different_shapes,0.1923828125,0.39417213201522827,0.012317879125475883,2,1,34,1024,no_reference,diagonal
40,mobilenet-imagenet,split_text,0.322265625,0.4673440754413605,0.014604502357542515,2,1,34,1024,no_reference,diagonal
41,mobilenet-imagenet,random_color,0.2666015625,0.4421822726726532,0.013818196021020412,2,1,34,1024,no_reference,diagonal
42,mobilenet-random,different_shapes,0.4765625,0.4994503855705261,0.015607824549078941,2,1,34,1024,no_reference,diagonal
43,mobilenet-random,split_text,0.4921875,0.49993896484375,0.015623092651367188,2,1,34,1024,no_reference,diagonal
44,mobilenet-random,random_color,0.51171875,0.4998626410961151,0.015620707534253597,2,1,34,1024,no_reference,diagonal
45,resnext-saycam(S),different_shapes,0.05859375,0.2348627746105194,0.0073394617065787315,2,1,34,1024,no_reference,diagonal
46,resnext-saycam(S),split_text,0.056640625,0.2311546355485916,0.007223582360893488,2,1,34,1024,no_reference,diagonal
47,resnext-saycam(S),random_color,0.017578125,0.131412073969841,0.004106627311557531,2,1,34,1024,no_reference,diagonal
48,resnext-imagenet,different_shapes,0.216796875,0.4120630919933319,0.012876971624791622,2,1,34,1024,no_reference,diagonal
49,resnext-imagenet,split_text,0.3583984375,0.4795299768447876,0.014985311776399612,2,1,34,1024,no_reference,diagonal
50,resnext-imagenet,random_color,0.2119140625,0.4086642861366272,0.0127707589417696,2,1,34,1024,no_reference,diagonal
51,resnext-random,different_shapes,0.599609375,0.48997750878334045,0.01531179714947939,2,1,34,1024,no_reference,diagonal
52,resnext-random,split_text,0.4697265625,0.49908268451690674,0.015596333891153336,2,1,34,1024,no_reference,diagonal
53,resnext-random,random_color,0.537109375,0.49862098693847656,0.015581905841827393,2,1,34,1024,no_reference,diagonal
54,mobilenet-saycam(S),different_shapes,0.005859375,0.07632196694612503,0.002385061467066407,2,4,34,1024,no_reference,diagonal
55,mobilenet-saycam(S),split_text,0.0087890625,0.09333710372447968,0.00291678449138999,2,4,34,1024,no_reference,diagonal
56,mobilenet-saycam(S),random_color,0.015625,0.12401959300041199,0.0038756122812628746,2,4,34,1024,no_reference,diagonal
57,mobilenet-imagenet,different_shapes,0.1611328125,0.36765339970588684,0.011489168740808964,2,4,34,1024,no_reference,diagonal
58,mobilenet-imagenet,split_text,0.2919921875,0.4546787440776825,0.014208710752427578,2,4,34,1024,no_reference,diagonal
59,mobilenet-imagenet,random_color,0.2158203125,0.4113902151584625,0.012855944223701954,2,4,34,1024,no_reference,diagonal
60,mobilenet-random,different_shapes,0.5126953125,0.49983879923820496,0.015619962476193905,2,4,34,1024,no_reference,diagonal
61,mobilenet-random,split_text,0.5029296875,0.49999141693115234,0.01562473177909851,2,4,34,1024,no_reference,diagonal
62,mobilenet-random,random_color,0.5029296875,0.49999141693115234,0.01562473177909851,2,4,34,1024,no_reference,diagonal
63,resnext-saycam(S),different_shapes,0.0244140625,0.15433086454868317,0.004822839517146349,2,4,34,1024,no_reference,diagonal
64,resnext-saycam(S),split_text,0.0205078125,0.141729474067688,0.00442904606461525,2,4,34,1024,no_reference,diagonal
65,resnext-saycam(S),random_color,0.0029296875,0.05404724180698395,0.0016889763064682484,2,4,34,1024,no_reference,diagonal
66,resnext-imagenet,different_shapes,0.1875,0.3903123736381531,0.012197261676192284,2,4,34,1024,no_reference,diagonal
67,resnext-imagenet,split_text,0.33984375,0.47365596890449524,0.014801749028265476,2,4,34,1024,no_reference,diagonal
68,resnext-imagenet,random_color,0.1484375,0.3555331230163574,0.01111041009426117,2,4,34,1024,no_reference,diagonal
69,resnext-random,different_shapes,0.4482421875,0.497313916683197,0.015541059896349907,2,4,34,1024,no_reference,diagonal
70,resnext-random,split_text,0.48046875,0.49961838126182556,0.015613074414432049,2,4,34,1024,no_reference,diagonal
71,resnext-random,random_color,0.4873046875,0.49983879923820496,0.015619962476193905,2,4,34,1024,no_reference,diagonal
