,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,seed,n_examples,relation,triplet_generator
0,resnext-saycam(S)-s,different_shapes,0.1171875,0.32164356112480164,0.010051361285150051,1,1,34,1024,no_reference,equidistant
1,resnext-saycam(S)-s,split_text,0.2119140625,0.4086642861366272,0.0127707589417696,1,1,34,1024,no_reference,equidistant
2,resnext-saycam(S)-s,random_color,0.1875,0.3903123736381531,0.012197261676192284,1,1,34,1024,no_reference,equidistant
3,resnext-saycam(S)-h,different_shapes,0.1064453125,0.3084067106246948,0.009637709707021713,1,1,34,1024,no_reference,equidistant
4,resnext-saycam(S)-h,split_text,0.1044921875,0.305897980928421,0.009559311904013157,1,1,34,1024,no_reference,equidistant
5,resnext-saycam(S)-h,random_color,0.1240234375,0.329608291387558,0.010300259105861187,1,1,34,1024,no_reference,equidistant
6,resnext-saycam(S)-v,different_shapes,0.880859375,0.32395389676094055,0.010123559273779392,1,1,34,1024,no_reference,equidistant
7,resnext-saycam(S)-v,split_text,0.8740234375,0.3318229615688324,0.010369467549026012,1,1,34,1024,no_reference,equidistant
8,resnext-saycam(S)-v,random_color,0.8876953125,0.3157409429550171,0.009866904467344284,1,1,34,1024,no_reference,equidistant
9,resnext-saycam(S)-hv,different_shapes,0.26171875,0.4395703077316284,0.013736572116613388,1,1,34,1024,no_reference,equidistant
10,resnext-saycam(S)-hv,split_text,0.328125,0.4695306122303009,0.014672831632196903,1,1,34,1024,no_reference,equidistant
11,resnext-saycam(S)-hv,random_color,0.341796875,0.474311888217926,0.014822246506810188,1,1,34,1024,no_reference,equidistant
12,resnext-DINO-S,different_shapes,0.33984375,0.47365596890449524,0.014801749028265476,1,1,34,1024,no_reference,equidistant
13,resnext-DINO-S,split_text,0.38671875,0.4869983196258545,0.015218697488307953,1,1,34,1024,no_reference,equidistant
14,resnext-DINO-S,random_color,0.328125,0.4695306122303009,0.014672831632196903,1,1,34,1024,no_reference,equidistant
15,resnext-DINO-ImageNet,different_shapes,0.27734375,0.4476875960826874,0.01399023737758398,1,1,34,1024,no_reference,equidistant
16,resnext-DINO-ImageNet,split_text,0.3017578125,0.459020733833313,0.014344397932291031,1,1,34,1024,no_reference,equidistant
17,resnext-DINO-ImageNet,random_color,0.28125,0.4496092200279236,0.014050288125872612,1,1,34,1024,no_reference,equidistant
18,resnext-saycam(S)-s,different_shapes,0.078125,0.2683681845664978,0.008386505767703056,1,4,34,1024,no_reference,equidistant
19,resnext-saycam(S)-s,split_text,0.1337890625,0.3404255509376526,0.010638298466801643,1,4,34,1024,no_reference,equidistant
