,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,seed,n_examples,relation,triplet_generator
0,mobilenet-saycam(S),different_shapes,0.130859375,0.33724650740623474,0.010538953356444836,1,1,34,1024,no_reference,equidistant
1,mobilenet-saycam(S),split_text,0.119140625,0.32395389676094055,0.010123559273779392,1,1,34,1024,no_reference,equidistant
2,mobilenet-saycam(S),random_color,0.123046875,0.3284910023212433,0.010265343822538853,1,1,34,1024,no_reference,equidistant
3,mobilenet-imagenet,different_shapes,0.236328125,0.4248260259628296,0.013275813311338425,1,1,34,1024,no_reference,equidistant
4,mobilenet-imagenet,split_text,0.3525390625,0.4777606725692749,0.01493002101778984,1,1,34,1024,no_reference,equidistant
5,mobilenet-imagenet,random_color,0.3759765625,0.4843740165233612,0.015136688016355038,1,1,34,1024,no_reference,equidistant
6,mobilenet-random,different_shapes,0.5087890625,0.4999227523803711,0.015622586011886597,1,1,34,1024,no_reference,equidistant
7,mobilenet-random,split_text,0.51171875,0.4998626410961151,0.015620707534253597,1,1,34,1024,no_reference,equidistant
8,mobilenet-random,random_color,0.5185546875,0.4996556043624878,0.015614237636327744,1,1,34,1024,no_reference,equidistant
9,resnext-saycam(S),different_shapes,0.009765625,0.09833747148513794,0.0030730459839105606,1,1,34,1024,no_reference,equidistant
10,resnext-saycam(S),split_text,0.0107421875,0.10308633744716644,0.0032214480452239513,1,1,34,1024,no_reference,equidistant
11,resnext-saycam(S),random_color,0.0068359375,0.08239664882421494,0.0025748952757567167,1,1,34,1024,no_reference,equidistant
12,resnext-imagenet,different_shapes,0.1103515625,0.31332746148109436,0.009791483171284199,1,1,34,1024,no_reference,equidistant
13,resnext-imagenet,split_text,0.2158203125,0.4113902151584625,0.012855944223701954,1,1,34,1024,no_reference,equidistant
14,resnext-imagenet,random_color,0.1650390625,0.3712157905101776,0.01160049345344305,1,1,34,1024,no_reference,equidistant
15,resnext-random,different_shapes,0.5087890625,0.4999227523803711,0.015622586011886597,1,1,34,1024,no_reference,equidistant
16,resnext-random,split_text,0.494140625,0.4999656677246094,0.015623927116394043,1,1,34,1024,no_reference,equidistant
17,resnext-random,random_color,0.5224609375,0.4994952380657196,0.015609226189553738,1,1,34,1024,no_reference,equidistant
18,mobilenet-saycam(S),different_shapes,0.0751953125,0.263706237077713,0.008240819908678532,1,4,34,1024,no_reference,equidistant
19,mobilenet-saycam(S),split_text,0.0625,0.24206146597862244,0.007564420811831951,1,4,34,1024,no_reference,equidistant
20,mobilenet-saycam(S),random_color,0.0849609375,0.2788235545158386,0.008713236078619957,1,4,34,1024,no_reference,equidistant
21,mobilenet-imagenet,different_shapes,0.146484375,0.3535911440849304,0.011049723252654076,1,4,34,1024,no_reference,equidistant
22,mobilenet-imagenet,split_text,0.296875,0.45688098669052124,0.014277530834078789,1,4,34,1024,no_reference,equidistant
23,mobilenet-imagenet,random_color,0.3271484375,0.4691719710826874,0.01466162409633398,1,4,34,1024,no_reference,equidistant
24,mobilenet-random,different_shapes,0.4873046875,0.49983879923820496,0.015619962476193905,1,4,34,1024,no_reference,equidistant
25,mobilenet-random,split_text,0.5107421875,0.49988460540771484,0.015621393918991089,1,4,34,1024,no_reference,equidistant
26,mobilenet-random,random_color,0.494140625,0.4999656677246094,0.015623927116394043,1,4,34,1024,no_reference,equidistant
27,resnext-saycam(S),different_shapes,0.0,0.0,0.0,1,4,34,1024,no_reference,equidistant
28,resnext-saycam(S),split_text,0.0,0.0,0.0,1,4,34,1024,no_reference,equidistant
29,resnext-saycam(S),random_color,0.0009765625,0.0312347374856472,0.000976085546426475,1,4,34,1024,no_reference,equidistant
30,resnext-imagenet,different_shapes,0.0703125,0.2556729316711426,0.007989779114723206,1,4,34,1024,no_reference,equidistant
31,resnext-imagenet,split_text,0.154296875,0.36123308539390564,0.011288533918559551,1,4,34,1024,no_reference,equidistant
32,resnext-imagenet,random_color,0.115234375,0.31930458545684814,0.009978268295526505,1,4,34,1024,no_reference,equidistant
33,resnext-random,different_shapes,0.515625,0.4997557997703552,0.0156173687428236,1,4,34,1024,no_reference,equidistant
34,resnext-random,split_text,0.4833984375,0.49972429871559143,0.015616384334862232,1,4,34,1024,no_reference,equidistant
35,resnext-random,random_color,0.4853515625,0.4997853636741638,0.01561829261481762,1,4,34,1024,no_reference,equidistant
36,mobilenet-saycam(S),different_shapes,0.1494140625,0.3564961552619934,0.011140504851937294,2,1,34,1024,no_reference,equidistant
37,mobilenet-saycam(S),split_text,0.1435546875,0.35063761472702026,0.010957425460219383,2,1,34,1024,no_reference,equidistant
38,mobilenet-saycam(S),random_color,0.1865234375,0.3895284831523895,0.012172765098512173,2,1,34,1024,no_reference,equidistant
39,mobilenet-imagenet,different_shapes,0.3212890625,0.4669715166091919,0.014592859894037247,2,1,34,1024,no_reference,equidistant
40,mobilenet-imagenet,split_text,0.4111328125,0.4920392632484436,0.015376226976513863,2,1,34,1024,no_reference,equidistant
41,mobilenet-imagenet,random_color,0.4248046875,0.4943133294582367,0.015447291545569897,2,1,34,1024,no_reference,equidistant
42,mobilenet-random,different_shapes,0.51953125,0.49961838126182556,0.015613074414432049,2,1,34,1024,no_reference,equidistant
43,mobilenet-random,split_text,0.4892578125,0.49988460540771484,0.015621393918991089,2,1,34,1024,no_reference,equidistant
44,mobilenet-random,random_color,0.509765625,0.4999046325683594,0.01562201976776123,2,1,34,1024,no_reference,equidistant
45,resnext-saycam(S),different_shapes,0.05078125,0.2195507138967514,0.006860959809273481,2,1,34,1024,no_reference,equidistant
46,resnext-saycam(S),split_text,0.041015625,0.19832634925842285,0.006197698414325714,2,1,34,1024,no_reference,equidistant
47,resnext-saycam(S),random_color,0.0234375,0.15128840506076813,0.004727762658149004,2,1,34,1024,no_reference,equidistant
48,resnext-imagenet,different_shapes,0.2822265625,0.45008301734924316,0.014065094292163849,2,1,34,1024,no_reference,equidistant
49,resnext-imagenet,split_text,0.3857421875,0.4867701232433319,0.015211566351354122,2,1,34,1024,no_reference,equidistant
50,resnext-imagenet,random_color,0.31640625,0.46507346630096436,0.014533545821905136,2,1,34,1024,no_reference,equidistant
51,resnext-random,different_shapes,0.5322265625,0.49896037578582764,0.015592511743307114,2,1,34,1024,no_reference,equidistant
52,resnext-random,split_text,0.501953125,0.4999961853027344,0.01562488079071045,2,1,34,1024,no_reference,equidistant
53,resnext-random,random_color,0.4970703125,0.49999141693115234,0.01562473177909851,2,1,34,1024,no_reference,equidistant
54,mobilenet-saycam(S),different_shapes,0.0810546875,0.27291908860206604,0.008528721518814564,2,4,34,1024,no_reference,equidistant
55,mobilenet-saycam(S),split_text,0.0791015625,0.2698972225189209,0.008434288203716278,2,4,34,1024,no_reference,equidistant
56,mobilenet-saycam(S),random_color,0.1259765625,0.3318229615688324,0.010369467549026012,2,4,34,1024,no_reference,equidistant
57,mobilenet-imagenet,different_shapes,0.2431640625,0.4289933443069458,0.013406042009592056,2,4,34,1024,no_reference,equidistant
58,mobilenet-imagenet,split_text,0.3798828125,0.48535746335983276,0.015167420729994774,2,4,34,1024,no_reference,equidistant
59,mobilenet-imagenet,random_color,0.36328125,0.4809448719024658,0.015029527246952057,2,4,34,1024,no_reference,equidistant
60,mobilenet-random,different_shapes,0.5126953125,0.49983879923820496,0.015619962476193905,2,4,34,1024,no_reference,equidistant
61,mobilenet-random,split_text,0.4931640625,0.4999532699584961,0.015623539686203003,2,4,34,1024,no_reference,equidistant
62,mobilenet-random,random_color,0.5,0.5,0.015625,2,4,34,1024,no_reference,equidistant
63,resnext-saycam(S),different_shapes,0.0166015625,0.12777304649353027,0.003992907702922821,2,4,34,1024,no_reference,equidistant
64,resnext-saycam(S),split_text,0.013671875,0.11612474173307419,0.0036288981791585684,2,4,34,1024,no_reference,equidistant
65,resnext-saycam(S),random_color,0.001953125,0.04415099322795868,0.0013797185383737087,2,4,34,1024,no_reference,equidistant
66,resnext-imagenet,different_shapes,0.2255859375,0.41796761751174927,0.013061488047242165,2,4,34,1024,no_reference,equidistant
67,resnext-imagenet,split_text,0.3349609375,0.4719768166542053,0.014749275520443916,2,4,34,1024,no_reference,equidistant
68,resnext-imagenet,random_color,0.236328125,0.4248260259628296,0.013275813311338425,2,4,34,1024,no_reference,equidistant
69,resnext-random,different_shapes,0.4912109375,0.4999227523803711,0.015622586011886597,2,4,34,1024,no_reference,equidistant
70,resnext-random,split_text,0.5234375,0.4994503855705261,0.015607824549078941,2,4,34,1024,no_reference,equidistant
71,resnext-random,random_color,0.4765625,0.4994503855705261,0.015607824549078941,2,4,34,1024,no_reference,equidistant
