,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,same_horizontal_half,seed,n_examples,relation,triplet_generator
0,resnext-saycam(S)-s,different_shapes,0.775390625,0.41732481122016907,0.013041400350630283,1,1,True,34,1024,no_reference,same_half
1,resnext-saycam(S)-s,split_text,0.8525390625,0.3545648157596588,0.011080150492489338,1,1,True,34,1024,no_reference,same_half
2,resnext-saycam(S)-s,random_color,0.802734375,0.39793452620506287,0.012435453943908215,1,1,True,34,1024,no_reference,same_half
3,resnext-saycam(S)-h,different_shapes,0.669921875,0.4702409505844116,0.014695029705762863,1,1,True,34,1024,no_reference,same_half
4,resnext-saycam(S)-h,split_text,0.673828125,0.46881103515625,0.014650344848632812,1,1,True,34,1024,no_reference,same_half
5,resnext-saycam(S)-h,random_color,0.7373046875,0.44009825587272644,0.013753070496022701,1,1,True,34,1024,no_reference,same_half
6,resnext-saycam(S)-v,different_shapes,0.99609375,0.06237781047821045,0.0019493065774440765,1,1,True,34,1024,no_reference,same_half
7,resnext-saycam(S)-v,split_text,0.9853515625,0.12014100700616837,0.0037544064689427614,1,1,True,34,1024,no_reference,same_half
8,resnext-saycam(S)-v,random_color,0.998046875,0.04415099322795868,0.0013797185383737087,1,1,True,34,1024,no_reference,same_half
9,resnext-saycam(S)-hv,different_shapes,0.7900390625,0.40728041529655457,0.01272751297801733,1,1,True,34,1024,no_reference,same_half
10,resnext-saycam(S)-hv,split_text,0.865234375,0.3414730727672577,0.010671033523976803,1,1,True,34,1024,no_reference,same_half
11,resnext-saycam(S)-hv,random_color,0.873046875,0.33292046189308167,0.010403764434158802,1,1,True,34,1024,no_reference,same_half
12,resnext-DINO-S,different_shapes,0.919921875,0.2714141011238098,0.008481690660119057,1,1,True,34,1024,no_reference,same_half
13,resnext-DINO-S,split_text,0.9453125,0.2273692488670349,0.007105289027094841,1,1,True,34,1024,no_reference,same_half
14,resnext-DINO-S,random_color,0.9306640625,0.25402453541755676,0.007938266731798649,1,1,True,34,1024,no_reference,same_half
15,resnext-DINO-ImageNet,different_shapes,0.9013671875,0.2981683909893036,0.009317762218415737,1,1,True,34,1024,no_reference,same_half
16,resnext-DINO-ImageNet,split_text,0.94140625,0.2348627746105194,0.0073394617065787315,1,1,True,34,1024,no_reference,same_half
17,resnext-DINO-ImageNet,random_color,0.94921875,0.2195507138967514,0.006860959809273481,1,1,True,34,1024,no_reference,same_half
