,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,same_horizontal_half,seed,n_examples,relation,triplet_generator
0,mobilenet-saycam(S),different_shapes,0.73046875,0.44371628761291504,0.013866133987903595,1,1,True,34,1024,no_reference,same_half
1,mobilenet-saycam(S),split_text,0.7568359375,0.4289933443069458,0.013406042009592056,1,1,True,34,1024,no_reference,same_half
2,mobilenet-saycam(S),random_color,0.69140625,0.46191301941871643,0.014434781856834888,1,1,True,34,1024,no_reference,same_half
3,mobilenet-imagenet,different_shapes,0.888671875,0.31453803181648254,0.00982931349426508,1,1,True,34,1024,no_reference,same_half
4,mobilenet-imagenet,split_text,0.8818359375,0.32280227541923523,0.010087571106851101,1,1,True,34,1024,no_reference,same_half
5,mobilenet-imagenet,random_color,0.958984375,0.19832634925842285,0.006197698414325714,1,1,True,34,1024,no_reference,same_half
6,mobilenet-random,different_shapes,0.6337890625,0.48176807165145874,0.015055252239108086,1,1,True,34,1024,no_reference,same_half
7,mobilenet-random,split_text,0.5712890625,0.4948917627334595,0.015465367585420609,1,1,True,34,1024,no_reference,same_half
8,mobilenet-random,random_color,0.6318359375,0.48230621218681335,0.015072069130837917,1,1,True,34,1024,no_reference,same_half
9,resnext-saycam(S),different_shapes,0.3447265625,0.4752790331840515,0.01485246978700161,1,1,True,34,1024,no_reference,same_half
10,resnext-saycam(S),split_text,0.349609375,0.4768465757369995,0.014901455491781235,1,1,True,34,1024,no_reference,same_half
11,resnext-saycam(S),random_color,0.3544921875,0.4783591628074646,0.014948723837733269,1,1,True,34,1024,no_reference,same_half
12,resnext-imagenet,different_shapes,0.68359375,0.46507346630096436,0.014533545821905136,1,1,True,34,1024,no_reference,same_half
13,resnext-imagenet,split_text,0.7451171875,0.4357953369617462,0.01361860428005457,1,1,True,34,1024,no_reference,same_half
14,resnext-imagenet,random_color,0.802734375,0.39793452620506287,0.012435453943908215,1,1,True,34,1024,no_reference,same_half
15,resnext-random,different_shapes,0.673828125,0.46881103515625,0.014650344848632812,1,1,True,34,1024,no_reference,same_half
16,resnext-random,split_text,0.6748046875,0.4684477746486664,0.014638992957770824,1,1,True,34,1024,no_reference,same_half
17,resnext-random,random_color,0.67578125,0.4680822193622589,0.014627569355070591,1,1,True,34,1024,no_reference,same_half
18,mobilenet-saycam(S),different_shapes,0.0029296875,0.05404724180698395,0.0016889763064682484,1,1,False,34,1024,no_reference,same_half
19,mobilenet-saycam(S),split_text,0.0009765625,0.0312347374856472,0.000976085546426475,1,1,False,34,1024,no_reference,same_half
20,mobilenet-saycam(S),random_color,0.0009765625,0.0312347374856472,0.000976085546426475,1,1,False,34,1024,no_reference,same_half
21,mobilenet-imagenet,different_shapes,0.0419921875,0.20057129859924316,0.006267853081226349,1,1,False,34,1024,no_reference,same_half
22,mobilenet-imagenet,split_text,0.0888671875,0.2845519483089447,0.008892248384654522,1,1,False,34,1024,no_reference,same_half
23,mobilenet-imagenet,random_color,0.1083984375,0.31088295578956604,0.009715092368423939,1,1,False,34,1024,no_reference,same_half
24,mobilenet-random,different_shapes,0.3515625,0.4774581789970398,0.014920568093657494,1,1,False,34,1024,no_reference,same_half
25,mobilenet-random,split_text,0.369140625,0.482572078704834,0.015080377459526062,1,1,False,34,1024,no_reference,same_half
