,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,seed,n_examples,relation,triplet_generator
0,resnext-saycam(S)-s,different_shapes,0.3076171875,0.4615071415901184,0.0144220981746912,1,1,34,1024,no_reference,same_quadrant
1,resnext-saycam(S)-s,split_text,0.33984375,0.47365596890449524,0.014801749028265476,1,1,34,1024,no_reference,same_quadrant
2,resnext-saycam(S)-s,random_color,0.314453125,0.46429771184921265,0.014509303495287895,1,1,34,1024,no_reference,same_quadrant
3,resnext-saycam(S)-h,different_shapes,0.322265625,0.4673440754413605,0.014604502357542515,1,1,34,1024,no_reference,same_quadrant
4,resnext-saycam(S)-h,split_text,0.3447265625,0.4752790331840515,0.01485246978700161,1,1,34,1024,no_reference,same_quadrant
5,resnext-saycam(S)-h,random_color,0.3759765625,0.4843740165233612,0.015136688016355038,1,1,34,1024,no_reference,same_quadrant
6,resnext-saycam(S)-v,different_shapes,0.626953125,0.48361441493034363,0.015112950466573238,1,1,34,1024,no_reference,same_quadrant
7,resnext-saycam(S)-v,split_text,0.599609375,0.48997750878334045,0.01531179714947939,1,1,34,1024,no_reference,same_quadrant
8,resnext-saycam(S)-v,random_color,0.6279296875,0.4833570122718811,0.015104906633496284,1,1,34,1024,no_reference,same_quadrant
9,resnext-saycam(S)-hv,different_shapes,0.38671875,0.4869983196258545,0.015218697488307953,1,1,34,1024,no_reference,same_quadrant
10,resnext-saycam(S)-hv,split_text,0.427734375,0.49475011229515076,0.015460941009223461,1,1,34,1024,no_reference,same_quadrant
11,resnext-saycam(S)-hv,random_color,0.4296875,0.495031476020813,0.015469733625650406,1,1,34,1024,no_reference,same_quadrant
12,resnext-DINO-S,different_shapes,0.4150390625,0.4927287697792053,0.015397774055600166,1,1,34,1024,no_reference,same_quadrant
13,resnext-DINO-S,split_text,0.4384765625,0.49620044231414795,0.015506263822317123,1,1,34,1024,no_reference,same_quadrant
14,resnext-DINO-S,random_color,0.392578125,0.48832422494888306,0.015260132029652596,1,1,34,1024,no_reference,same_quadrant
15,resnext-DINO-ImageNet,different_shapes,0.4638671875,0.49869272112846375,0.015584147535264492,1,1,34,1024,no_reference,same_quadrant
16,resnext-DINO-ImageNet,split_text,0.4990234375,0.4999990463256836,0.015624970197677612,1,1,34,1024,no_reference,same_quadrant
17,resnext-DINO-ImageNet,random_color,0.494140625,0.4999656677246094,0.015623927116394043,1,1,34,1024,no_reference,same_quadrant
18,resnext-saycam(S)-s,different_shapes,0.115234375,0.31930458545684814,0.009978268295526505,1,4,34,1024,no_reference,same_quadrant
19,resnext-saycam(S)-s,split_text,0.1064453125,0.3084067106246948,0.009637709707021713,1,4,34,1024,no_reference,same_quadrant
20,resnext-saycam(S)-s,random_color,0.1396484375,0.34662190079689026,0.01083193439990282,1,4,34,1024,no_reference,same_quadrant
21,resnext-saycam(S)-h,different_shapes,0.1845703125,0.387948602437973,0.012123393826186657,1,4,34,1024,no_reference,same_quadrant
22,resnext-saycam(S)-h,split_text,0.1787109375,0.38311007618904114,0.011972189880907536,1,4,34,1024,no_reference,same_quadrant
23,resnext-saycam(S)-h,random_color,0.265625,0.4416654407978058,0.01380204502493143,1,4,34,1024,no_reference,same_quadrant
24,resnext-saycam(S)-v,different_shapes,0.75390625,0.4307337999343872,0.0134604312479496,1,4,34,1024,no_reference,same_quadrant
25,resnext-saycam(S)-v,split_text,0.7265625,0.4457235038280487,0.013928859494626522,1,4,34,1024,no_reference,same_quadrant
