,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,seed,n_examples,relation,triplet_generator
0,mobilenet-saycam(S),different_shapes,0.4033203125,0.4905639886856079,0.015330124646425247,1,1,34,1024,no_reference,same_quadrant
1,mobilenet-saycam(S),split_text,0.4150390625,0.4927287697792053,0.015397774055600166,1,1,34,1024,no_reference,same_quadrant
2,mobilenet-saycam(S),random_color,0.3466796875,0.4759126901626587,0.014872271567583084,1,1,34,1024,no_reference,same_quadrant
3,mobilenet-imagenet,different_shapes,0.541015625,0.49831488728523254,0.015572340227663517,1,1,34,1024,no_reference,same_quadrant
4,mobilenet-imagenet,split_text,0.541015625,0.49831488728523254,0.015572340227663517,1,1,34,1024,no_reference,same_quadrant
5,mobilenet-imagenet,random_color,0.634765625,0.48149582743644714,0.015046744607388973,1,1,34,1024,no_reference,same_quadrant
6,mobilenet-random,different_shapes,0.427734375,0.49475011229515076,0.015460941009223461,1,1,34,1024,no_reference,same_quadrant
7,mobilenet-random,split_text,0.4638671875,0.49869272112846375,0.015584147535264492,1,1,34,1024,no_reference,same_quadrant
8,mobilenet-random,random_color,0.4599609375,0.49839428067207336,0.015574821271002293,1,1,34,1024,no_reference,same_quadrant
9,resnext-saycam(S),different_shapes,0.2314453125,0.4217562973499298,0.013179884292185307,1,1,34,1024,no_reference,same_quadrant
10,resnext-saycam(S),split_text,0.2470703125,0.43130797147750854,0.013478374108672142,1,1,34,1024,no_reference,same_quadrant
11,resnext-saycam(S),random_color,0.2578125,0.4374302327632904,0.013669694773852825,1,1,34,1024,no_reference,same_quadrant
12,resnext-imagenet,different_shapes,0.2626953125,0.44009825587272644,0.013753070496022701,1,1,34,1024,no_reference,same_quadrant
13,resnext-imagenet,split_text,0.3505859375,0.477153480052948,0.014911046251654625,1,1,34,1024,no_reference,same_quadrant
14,resnext-imagenet,random_color,0.34765625,0.47622618079185486,0.014882068149745464,1,1,34,1024,no_reference,same_quadrant
15,resnext-random,different_shapes,0.521484375,0.49953821301460266,0.015610569156706333,1,1,34,1024,no_reference,same_quadrant
16,resnext-random,split_text,0.51171875,0.4998626410961151,0.015620707534253597,1,1,34,1024,no_reference,same_quadrant
17,resnext-random,random_color,0.5234375,0.4994503855705261,0.015607824549078941,1,1,34,1024,no_reference,same_quadrant
18,mobilenet-saycam(S),different_shapes,0.439453125,0.49632054567337036,0.015510017052292824,1,4,34,1024,no_reference,same_quadrant
19,mobilenet-saycam(S),split_text,0.3896484375,0.48767051100730896,0.015239703468978405,1,4,34,1024,no_reference,same_quadrant
20,mobilenet-saycam(S),random_color,0.3369140625,0.4726552367210388,0.014770476147532463,1,4,34,1024,no_reference,same_quadrant
21,mobilenet-imagenet,different_shapes,0.47265625,0.49925175309181213,0.01560161728411913,1,4,34,1024,no_reference,same_quadrant
22,mobilenet-imagenet,split_text,0.5390625,0.49847179651260376,0.015577243641018867,1,4,34,1024,no_reference,same_quadrant
23,mobilenet-imagenet,random_color,0.568359375,0.4953049421310425,0.015478279441595078,1,4,34,1024,no_reference,same_quadrant
24,mobilenet-random,different_shapes,0.3466796875,0.4759126901626587,0.014872271567583084,1,4,34,1024,no_reference,same_quadrant
25,mobilenet-random,split_text,0.4560546875,0.4980650544166565,0.015564532950520515,1,4,34,1024,no_reference,same_quadrant
26,mobilenet-random,random_color,0.3740234375,0.483869731426239,0.01512092910706997,1,4,34,1024,no_reference,same_quadrant
27,resnext-saycam(S),different_shapes,0.02734375,0.163083016872406,0.005096344277262688,1,4,34,1024,no_reference,same_quadrant
28,resnext-saycam(S),split_text,0.0078125,0.08804240077733994,0.002751325024291873,1,4,34,1024,no_reference,same_quadrant
29,resnext-saycam(S),random_color,0.0302734375,0.17133872210979462,0.005354335065931082,1,4,34,1024,no_reference,same_quadrant
30,resnext-imagenet,different_shapes,0.1953125,0.3964410722255707,0.012388783507049084,1,4,34,1024,no_reference,same_quadrant
31,resnext-imagenet,split_text,0.279296875,0.4486536979675293,0.01402042806148529,1,4,34,1024,no_reference,same_quadrant
32,resnext-imagenet,random_color,0.2099609375,0.40728041529655457,0.01272751297801733,1,4,34,1024,no_reference,same_quadrant
33,resnext-random,different_shapes,0.4560546875,0.4980650544166565,0.015564532950520515,1,4,34,1024,no_reference,same_quadrant
34,resnext-random,split_text,0.48828125,0.4998626410961151,0.015620707534253597,1,4,34,1024,no_reference,same_quadrant
35,resnext-random,random_color,0.4609375,0.49847179651260376,0.015577243641018867,1,4,34,1024,no_reference,same_quadrant
36,mobilenet-saycam(S),different_shapes,0.4208984375,0.49370330572128296,0.015428228303790092,2,1,34,1024,no_reference,same_quadrant
37,mobilenet-saycam(S),split_text,0.412109375,0.4922146201133728,0.0153817068785429,2,1,34,1024,no_reference,same_quadrant
38,mobilenet-saycam(S),random_color,0.3916015625,0.488108366727829,0.015253386460244656,2,1,34,1024,no_reference,same_quadrant
